Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Boston,511-430-20,54.3%,4.4,1.0,295-241-10,55.0%,3.8,0.4,23-14-1,62.2%,6.9,3.6,195-156-4,55.6%,3.3,1.0,309-271-15,53.3%,4.9,0.9,253-201-8,55.7%,2.3,1.2,152-108-5,58.5%,-1.9,2.9,355-320-15,52.6%,6.8,0.2,243-218-11,52.7%,6.3,0.6,85-63-3,57.4%,3.4,2.1,314-268-10,54.0%,4.5,0.7,96-86-4,52.8%,7.6,1.9,120-103-6,53.8%,3.2,1.4,89-85-6,51.2%,4.1,0.4
Okla City,448-410-14,52.2%,1.2,0.3,236-214-5,52.4%,0.9,0.2,17-12-1,58.6%,1.9,1.8,193-191-9,50.3%,-0.8,0.1,247-216-5,53.4%,2.8,0.4,219-203-6,51.9%,-1.7,-0.2,209-178-10,54.0%,-5.7,0.4,237-231-4,50.6%,6.9,0.3,221-199-8,52.6%,4.2,1.0,75-70-3,51.7%,-1.7,-0.2,277-258-6,51.8%,1.5,0.2,91-95-5,48.9%,3.0,0.4,121-101-4,54.5%,0.0,0.5,79-70-4,53.0%,2.5,1.3
Philadelphia,453-417-17,52.1%,-0.1,0.4,254-206-8,55.2%,0.5,0.7,15-15-0,50.0%,1.2,1.5,229-197-9,53.8%,-2.4,0.7,219-214-8,50.6%,2.3,0.1,210-217-11,49.2%,-2.9,0.0,216-215-8,50.1%,-6.9,0.3,234-198-9,54.2%,6.7,0.5,239-191-6,55.6%,2.8,0.8,71-74-4,49.0%,-2.9,0.0,286-241-9,54.3%,0.7,0.7,94-107-2,46.8%,-0.5,-0.8,105-104-7,50.2%,-1.0,0.9,81-87-4,48.2%,-0.4,-0.4
Dallas,446-420-20,51.5%,0.7,0.5,252-226-11,52.7%,0.8,0.9,12-18-0,40.0%,-3.1,-2.4,231-186-12,55.4%,1.3,1.9,210-228-8,48.0%,0.2,-0.7,233-196-8,54.3%,-1.5,0.9,223-205-9,52.1%,-4.1,1.3,220-211-11,51.0%,5.5,-0.3,207-215-11,49.1%,3.1,0.2,75-71-4,51.4%,-1.3,0.9,285-251-12,53.2%,1.4,0.5,90-95-4,48.7%,2.5,-0.2,104-99-5,51.2%,-1.1,0.1,74-80-4,48.1%,0.9,0.4
Miami,457-432-23,51.4%,0.8,0.2,251-243-10,50.8%,0.9,0.1,22-10-0,68.8%,5.7,3.7,226-174-10,56.5%,1.9,1.7,226-252-13,47.3%,-0.2,-1.0,235-198-8,54.3%,-1.2,0.8,212-185-6,53.4%,-3.7,1.6,243-246-17,49.7%,4.4,-0.9,201-224-15,47.3%,2.8,-0.7,74-61-7,54.8%,-1.2,0.4,272-290-14,48.4%,0.6,-0.4,109-102-6,51.7%,2.6,0.4,97-87-7,52.7%,-1.4,0.2,89-71-2,55.6%,2.6,1.5
Utah,435-414-21,51.2%,2.1,0.4,239-213-9,52.9%,2.4,0.9,13-14-1,48.2%,1.9,-1.0,188-197-9,48.8%,0.1,-0.4,242-211-12,53.4%,3.7,1.1,215-205-8,51.2%,-1.0,0.0,180-171-7,51.3%,-5.0,0.7,251-241-14,51.0%,7.0,0.2,214-199-13,51.8%,5.3,0.9,73-71-7,50.7%,0.8,0.7,276-246-8,52.9%,2.4,0.7,95-104-5,47.7%,3.4,-0.6,101-97-7,51.0%,0.1,0.5,73-83-5,46.8%,2.1,-0.5
Indiana,434-414-19,51.2%,0.3,0.4,244-232-11,51.3%,0.4,0.2,19-12-0,61.3%,3.4,0.7,226-190-10,54.3%,1.0,1.5,201-220-9,47.7%,-0.5,-0.8,212-209-6,50.4%,-2.4,0.0,220-206-9,51.6%,-4.3,1.0,210-204-10,50.7%,5.0,-0.3,215-197-13,52.2%,3.2,0.8,70-78-2,47.3%,-2.5,-0.5,269-265-12,50.4%,0.4,0.0,100-88-5,53.2%,2.6,1.3,90-94-3,48.9%,-2.3,-0.2,76-59-5,56.3%,2.4,2.5
Memphis,436-419-13,51.0%,-0.5,0.3,229-233-8,49.6%,-0.4,0.4,9-17-0,34.6%,-4.1,-4.5,214-206-6,51.0%,-1.7,0.2,219-205-7,51.7%,0.8,0.7,205-216-6,48.7%,-3.2,-0.1,229-226-5,50.3%,-5.5,0.7,202-192-8,51.3%,5.2,-0.2,228-197-7,53.7%,2.2,0.8,80-74-0,52.0%,-2.6,-0.3,270-248-8,52.1%,0.1,0.6,102-100-4,50.5%,1.4,0.1,105-86-1,55.0%,-2.8,0.3,77-80-5,49.0%,0.3,0.9
LA Clippers,454-438-7,50.9%,2.9,0.2,231-215-4,51.8%,2.6,0.5,23-9-0,71.9%,3.4,2.1,181-176-2,50.7%,2.2,0.3,264-260-5,50.4%,3.3,0.1,229-204-5,52.9%,0.9,0.9,150-154-1,49.3%,-4.6,0.6,303-280-6,52.0%,6.9,0.1,213-225-2,48.6%,4.8,-0.4,76-82-1,48.1%,2.4,1.2,276-262-4,51.3%,3.3,0.4,110-106-2,50.9%,4.3,-0.6,113-117-1,49.1%,2.1,0.4,79-85-2,48.2%,2.0,-1.6
Orlando,420-406-13,50.9%,-3.4,-0.1,251-216-6,53.8%,-2.8,0.4,16-14-0,53.3%,-0.1,2.1,244-246-10,49.8%,-4.1,0.1,170-155-3,52.3%,-2.6,-0.3,218-194-5,52.9%,-5.6,0.1,295-303-10,49.3%,-6.6,-0.1,122-102-3,54.5%,5.0,-0.1,193-204-8,48.6%,-1.3,-0.3,77-72-4,51.7%,-5.8,-0.3,259-249-9,51.0%,-2.8,0.3,76-100-2,43.2%,-3.9,-1.7,93-90-5,50.8%,-4.7,0.3,68-71-0,48.9%,-4.0,-1.4
Golden State,474-460-21,50.8%,5.2,0.0,261-254-9,50.7%,5.0,0.1,17-19-0,47.2%,3.9,-1.5,162-152-4,51.6%,3.9,1.0,307-302-17,50.4%,6.0,-0.4,226-238-9,48.7%,2.3,-0.5,114-113-2,50.2%,-5.1,0.2,359-345-19,51.0%,8.6,0.0,247-222-12,52.7%,8.1,0.5,76-73-5,51.0%,3.6,-0.2,270-273-10,49.7%,5.4,0.0,112-109-8,50.7%,6.8,-0.3,101-97-4,51.0%,3.9,0.2,111-95-6,53.9%,6.3,0.5
San Antonio,431-419-15,50.7%,1.0,0.2,238-224-7,51.5%,0.6,0.0,15-14-0,51.7%,0.2,1.9,205-188-11,52.2%,-0.8,0.7,221-225-4,49.6%,2.5,-0.3,208-209-11,49.9%,-1.7,0.0,197-200-8,49.6%,-6.5,-0.1,233-217-7,51.8%,7.6,0.5,218-202-3,51.9%,3.8,0.4,75-73-3,50.7%,-0.2,0.4,270-252-9,51.7%,1.0,0.1,98-96-3,50.5%,3.3,0.8,95-99-5,49.0%,-0.5,0.1,71-80-3,47.0%,2.1,0.2
New York,416-411-15,50.3%,-2.3,0.4,230-215-10,51.7%,-2.0,0.6,10-14-1,41.7%,-7.0,-2.6,240-241-8,49.9%,-3.0,0.7,171-165-6,50.9%,-1.2,0.1,217-196-8,52.5%,-4.0,0.9,262-281-11,48.3%,-6.3,0.3,150-127-4,54.2%,5.4,0.7,198-214-7,48.1%,-0.6,-0.1,69-73-3,48.6%,-3.9,0.7,264-245-11,51.9%,-1.6,0.6,98-99-2,49.8%,-1.8,-0.4,88-97-3,47.6%,-3.7,0.8,73-79-0,48.0%,-2.4,0.0
Toronto,449-444-13,50.3%,2.3,0.2,244-249-6,49.5%,2.1,-0.2,16-14-0,53.3%,-0.6,-3.4,189-187-5,50.3%,1.3,0.4,253-253-8,50.0%,3.1,0.2,220-215-7,50.6%,-0.1,0.4,172-165-9,51.0%,-4.1,0.8,275-277-4,49.8%,6.3,-0.1,218-220-6,49.8%,4.6,0.0,85-66-3,56.3%,0.9,1.5,274-277-8,49.7%,2.9,0.3,94-107-3,46.8%,3.3,-0.1,111-88-4,55.8%,1.8,1.7,74-87-2,46.0%,2.2,-0.4
Sacramento,403-402-24,50.1%,-2.4,-0.4,197-207-8,48.8%,-2.6,-0.7,18-9-0,66.7%,0.6,2.1,238-210-15,53.1%,-2.1,0.4,159-187-9,46.0%,-2.8,-1.4,217-182-12,54.4%,-3.6,0.6,262-241-16,52.1%,-5.8,0.4,140-159-8,46.8%,3.4,-1.6,182-215-12,45.8%,-1.1,-1.3,80-75-7,51.6%,-5.3,-0.3,241-237-11,50.4%,-1.4,-0.3,97-106-11,47.8%,-0.8,-0.3,109-89-5,55.1%,-3.6,0.3,64-81-6,44.1%,-3.0,-1.1
