Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Cleveland,16-6-0,72.7%,10.5,3.5,9-4-0,69.2%,11.7,4.2,1-0-0,100.0%,30.0,23.5,2-1-0,66.7%,5.3,-1.7,13-5-0,72.2%,10.3,3.3,6-3-0,66.7%,6.7,2.7,3-0-0,100.0%,1.3,5.2,13-6-0,68.4%,11.9,3.3,10-3-0,76.9%,13.2,4.1,3-1-0,75.0%,13.3,4.8,11-4-0,73.3%,9.7,3.5,2-2-0,50.0%,6.3,-4.1,5-0-0,100.0%,10.8,8.0,1-1-0,50.0%,1.5,-8.8
LA Clippers,16-7-0,69.6%,3.1,4.8,8-3-0,72.7%,2.2,4.5,1-0-0,100.0%,-3.0,2.0,5-4-0,55.6%,0.7,1.5,10-3-0,76.9%,5.3,7.3,7-3-0,70.0%,0.5,5.1,10-5-0,66.7%,-2.3,3.5,6-2-0,75.0%,13.3,7.3,9-4-0,69.2%,5.2,4.6,2-3-0,40.0%,-5.0,-0.4,12-3-0,80.0%,6.4,7.1,4-2-0,66.7%,3.5,2.3,4-2-0,66.7%,4.5,7.8,1-1-0,50.0%,2.0,1.8
Toronto,15-7-0,68.2%,-3.3,4.4,8-4-0,66.7%,-2.3,4.9,0-1-0,0.0%,-30.0,-23.5,11-4-0,73.3%,-1.5,5.7,4-2-0,66.7%,-3.5,5.8,7-5-0,58.3%,-6.0,3.2,15-7-0,68.2%,-3.3,4.4,,,,,8-2-0,80.0%,-0.1,5.8,4-1-0,80.0%,-6.6,4.5,9-3-0,75.0%,0.4,7.1,2-1-0,66.7%,1.7,5.5,5-2-0,71.4%,-7.1,3.0,2-2-0,50.0%,-3.8,3.0
Houston,15-7-0,68.2%,7.5,4.4,9-5-0,64.3%,10.0,4.9,0-1-0,0.0%,-5.0,-13.0,5-1-0,83.3%,10.3,8.6,10-5-0,66.7%,7.1,3.9,6-4-0,60.0%,3.0,3.4,5-2-0,71.4%,-0.3,3.4,10-5-0,66.7%,11.1,4.9,9-3-0,75.0%,11.2,5.3,3-2-0,60.0%,2.4,-3.0,9-4-0,69.2%,10.9,7.7,3-0-0,100.0%,5.0,8.7,3-2-0,60.0%,1.8,0.6,3-0-0,100.0%,5.0,8.7
Memphis,14-8-0,63.6%,8.1,5.7,8-6-0,57.1%,8.4,5.1,0-1-0,0.0%,2.0,-0.5,6-1-0,85.7%,8.0,7.4,8-6-0,57.1%,8.6,5.3,5-4-0,55.6%,4.2,5.5,5-2-0,71.4%,1.6,6.5,9-6-0,60.0%,11.2,5.3,9-4-0,69.2%,10.8,5.8,3-0-0,100.0%,14.0,17.5,9-7-0,56.3%,8.1,4.0,1-2-0,33.3%,-1.3,-8.0,5-0-0,100.0%,13.0,15.4,2-0-0,100.0%,3.0,4.5
Charlotte,13-8-0,61.9%,-4.7,1.3,9-5-0,64.3%,-5.3,1.6,1-0-0,100.0%,5.0,13.0,8-6-0,57.1%,-5.8,-0.7,4-2-0,66.7%,-3.7,4.0,5-3-0,62.5%,-8.6,-1.4,13-7-0,65.0%,-5.2,1.5,0-1-0,0.0%,5.0,-1.5,8-5-0,61.5%,-2.2,3.0,2-2-0,50.0%,-8.8,-0.6,9-4-0,69.2%,-5.2,1.1,3-1-0,75.0%,-1.0,1.5,1-2-0,33.3%,-6.7,-0.5,1-2-0,33.3%,0.0,0.8
Brooklyn,13-8-1,61.9%,-4.3,2.7,6-5-1,54.6%,-4.5,1.9,1-0-0,100.0%,-4.0,2.5,7-4-1,63.6%,-2.5,4.9,5-4-0,55.6%,-6.7,-0.2,9-3-1,75.0%,-3.3,5.7,11-6-1,64.7%,-5.1,3.9,2-2-0,50.0%,-0.8,-2.5,4-5-0,44.4%,-5.7,-1.6,4-1-0,80.0%,-1.6,8.2,7-6-1,53.9%,-4.5,1.3,3-2-0,60.0%,-7.8,0.5,4-1-0,80.0%,-0.2,6.8,1-1-0,50.0%,-9.5,-1.3
Dallas,13-8-1,61.9%,6.4,3.0,6-3-1,66.7%,5.8,3.2,1-0-0,100.0%,11.0,2.5,4-3-1,57.1%,8.9,3.6,8-5-0,61.5%,4.5,2.7,6-4-1,60.0%,1.4,1.6,5-2-1,71.4%,3.3,6.9,8-6-0,57.1%,8.2,0.8,7-4-0,63.6%,11.5,4.5,4-1-0,80.0%,3.4,4.3,5-7-1,41.7%,5.8,1.0,2-1-0,66.7%,9.3,1.5,5-4-0,55.6%,6.1,3.4,3-0-0,100.0%,12.7,9.8
Orlando,14-9-0,60.9%,4.9,2.5,10-6-0,62.5%,7.4,3.7,1-0-0,100.0%,19.0,21.0,2-5-0,28.6%,-3.6,-0.4,11-4-0,73.3%,7.9,2.5,6-8-0,42.9%,-1.9,-1.0,2-6-0,25.0%,-8.1,-2.6,12-3-0,80.0%,11.8,5.1,8-1-0,88.9%,15.4,7.9,2-2-0,50.0%,-6.0,-1.6,10-7-0,58.8%,6.3,2.1,2-1-0,66.7%,9.3,2.8,2-2-0,50.0%,-8.5,-2.8,1-0-0,100.0%,10.0,5.5
Golden State,12-8-0,60.0%,5.9,3.3,10-3-0,76.9%,10.7,8.8,1-0-0,100.0%,36.0,28.5,5-2-0,71.4%,4.0,3.8,6-6-0,50.0%,4.4,0.8,7-5-0,58.3%,6.1,4.7,6-2-0,75.0%,0.8,5.0,6-6-0,50.0%,9.3,2.1,5-3-0,62.5%,5.5,1.1,1-1-0,50.0%,2.5,-0.8,8-4-0,66.7%,6.7,3.6,2-4-0,33.3%,-2.0,-6.1,0-1-0,0.0%,-10.0,-13.5,2-3-0,40.0%,-0.8,-1.1
