Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Okla City,951-862-31,52.5%,1.0,0.3,503-435-14,53.6%,1.4,0.5,36-25-2,59.0%,1.1,0.2,436-388-19,52.9%,-0.6,0.5,503-465-11,52.0%,2.4,0.1,470-424-17,52.6%,-2.1,0.2,432-386-21,52.8%,-5.7,0.5,512-475-10,51.9%,6.6,0.1,471-430-14,52.3%,4.1,0.4,174-164-7,51.5%,-1.7,0.1,569-523-15,52.1%,1.5,0.3,215-206-9,51.1%,2.6,0.3,233-221-8,51.3%,-1.4,-0.2,172-150-7,53.4%,1.9,0.6
San Antonio,980-897-38,52.2%,3.7,0.5,531-482-21,52.4%,3.3,0.3,39-32-0,54.9%,5.2,2.2,366-331-18,52.5%,2.2,0.8,602-556-20,52.0%,4.6,0.3,473-461-17,50.6%,0.6,0.3,293-297-8,49.7%,-5.6,0.0,683-594-30,53.5%,8.0,0.7,502-428-20,54.0%,7.0,0.8,175-169-8,50.9%,2.4,0.5,584-529-23,52.5%,3.8,0.4,221-196-8,53.0%,6.0,0.9,228-219-9,51.0%,2.5,0.6,182-167-7,52.2%,4.5,0.5
Boston,995-926-38,51.8%,3.0,0.6,566-523-19,52.0%,2.4,0.3,38-33-1,53.5%,4.1,2.5,424-374-8,53.1%,1.7,0.7,557-545-29,50.5%,3.9,0.5,510-434-15,54.0%,0.6,1.1,371-308-15,54.6%,-3.1,2.0,619-612-23,50.3%,6.4,-0.1,470-481-22,49.4%,5.2,0.1,196-161-6,54.9%,2.2,1.8,583-557-18,51.1%,3.1,0.3,195-195-10,50.0%,5.3,0.9,234-208-9,52.9%,2.6,1.3,178-175-13,50.4%,3.1,0.2
Golden State,948-886-38,51.7%,2.3,0.3,488-442-20,52.5%,2.4,0.4,31-37-0,45.6%,0.4,-2.7,430-364-13,54.2%,1.2,1.4,507-511-25,49.8%,3.1,-0.5,454-460-19,49.7%,-1.2,-0.2,395-355-16,52.7%,-5.3,0.6,550-526-22,51.1%,7.6,0.1,493-426-19,53.7%,5.7,0.7,186-171-8,52.1%,-0.1,0.6,534-514-22,51.0%,2.7,0.2,241-218-13,52.5%,4.5,0.3,219-226-5,49.2%,-0.4,0.0,197-164-8,54.6%,3.8,0.7
Dallas,947-888-39,51.6%,2.1,0.2,500-474-21,51.3%,1.7,0.2,29-35-1,45.3%,0.1,-1.1,421-339-20,55.4%,2.4,1.4,515-538-19,48.9%,1.9,-0.7,502-417-14,54.6%,-0.6,0.5,387-319-10,54.8%,-3.8,1.3,555-562-29,49.7%,5.8,-0.6,439-462-24,48.7%,4.9,-0.1,178-165-7,51.9%,0.4,0.3,558-527-24,51.4%,2.5,0.1,210-200-8,51.2%,4.7,0.2,237-214-10,52.6%,0.6,0.0,182-161-7,53.1%,3.0,0.6
Denver,932-883-35,51.4%,1.9,0.2,482-437-13,52.5%,1.9,0.4,43-23-2,65.2%,4.4,3.4,405-366-10,52.5%,1.7,0.6,513-510-24,50.2%,2.0,-0.2,447-443-20,50.2%,-2.0,-0.3,382-350-16,52.2%,-4.3,0.9,544-530-19,50.7%,6.1,-0.3,468-430-14,52.1%,5.8,0.5,163-187-7,46.6%,-2.0,-1.1,565-501-20,53.0%,2.8,0.6,234-206-13,53.2%,4.6,0.5,216-240-9,47.4%,-0.8,-0.7,161-172-6,48.4%,2.2,-0.4
Memphis,913-866-31,51.3%,-0.3,0.3,469-486-19,49.1%,-0.5,0.1,16-34-1,32.0%,-4.4,-4.0,442-436-13,50.3%,-1.6,0.2,466-413-18,53.0%,1.1,0.7,445-438-16,50.4%,-3.1,0.5,476-455-15,51.1%,-5.2,0.9,429-405-16,51.4%,5.0,-0.4,465-422-15,52.4%,2.4,0.2,206-173-2,54.4%,-2.1,0.3,505-479-21,51.3%,0.2,0.5,210-207-7,50.4%,1.6,0.1,234-173-5,57.5%,-2.0,1.2,186-180-7,50.8%,0.6,0.6
Miami,980-932-43,51.3%,1.8,0.1,544-510-22,51.6%,2.0,0.3,41-30-0,57.8%,3.6,1.0,437-368-18,54.3%,1.5,1.0,532-553-25,49.0%,2.1,-0.5,495-444-20,52.7%,-0.9,0.3,376-351-17,51.7%,-4.6,0.9,601-578-26,51.0%,5.8,-0.3,464-478-23,49.3%,4.6,-0.1,168-163-13,50.8%,-0.6,-0.4,577-561-23,50.7%,2.2,0.1,214-205-8,51.1%,3.1,0.1,222-217-13,50.6%,0.1,-0.1,194-178-7,52.2%,2.7,0.6
Indiana,915-886-43,50.8%,0.6,0.3,510-476-29,51.7%,0.8,0.5,39-20-3,66.1%,4.6,2.3,456-399-24,53.3%,0.7,1.1,444-480-19,48.1%,0.4,-0.6,446-454-17,49.6%,-2.8,-0.2,438-425-24,50.8%,-4.5,0.9,468-454-19,50.8%,5.3,-0.3,462-424-26,52.1%,4.0,0.8,175-210-5,45.5%,-2.1,-1.0,506-504-25,50.1%,0.8,0.2,206-205-10,50.1%,2.6,0.5,199-205-4,49.3%,-2.2,-0.5,195-152-10,56.2%,2.3,1.6
New York,878-853-24,50.7%,-2.1,0.2,470-446-13,51.3%,-1.9,0.1,29-24-1,54.7%,-4.1,-0.9,498-494-14,50.2%,-3.0,0.1,368-350-9,51.3%,-0.7,0.2,451-412-14,52.3%,-4.2,0.7,543-543-18,50.0%,-5.9,0.5,325-305-6,51.6%,4.4,-0.5,426-440-10,49.2%,0.1,-0.3,175-176-7,49.9%,-3.5,0.2,519-490-12,51.4%,-1.5,0.4,201-204-4,49.6%,-0.9,-0.2,207-203-7,50.5%,-3.5,0.6,155-163-4,48.7%,-2.0,-0.5
Toronto,900-878-34,50.6%,0.4,0.3,487-495-18,49.6%,0.5,0.1,33-26-1,55.9%,0.6,0.3,446-429-18,51.0%,-0.7,0.3,441-440-16,50.1%,1.5,0.3,455-423-16,51.8%,-2.3,0.6,449-438-22,50.6%,-4.8,0.7,446-433-12,50.7%,5.8,-0.2,434-446-18,49.3%,3.0,0.0,185-166-7,52.7%,-1.4,0.9,530-530-19,50.0%,0.9,0.3,194-185-7,51.2%,2.1,0.2,219-198-9,52.5%,-1.2,0.8,152-156-7,49.4%,0.8,-0.4
Utah,892-877-37,50.4%,1.0,0.1,453-450-18,50.2%,0.4,-0.1,26-31-1,45.6%,0.5,-0.8,415-414-15,50.1%,-0.1,0.0,465-453-22,50.7%,1.8,0.1,430-452-15,48.8%,-2.9,-0.5,395-413-16,48.9%,-5.6,0.2,491-459-21,51.7%,6.5,-0.1,456-415-22,52.4%,4.9,0.7,172-191-9,47.4%,-1.4,-0.5,535-482-17,52.6%,1.6,0.5,222-209-9,51.5%,3.8,0.2,217-218-10,49.9%,-0.6,0.3,159-173-10,47.9%,1.6,-0.4
Philadelphia,897-883-30,50.4%,-1.1,0.1,482-457-17,51.3%,-0.8,0.0,28-31-0,47.5%,-0.4,0.2,486-450-13,51.9%,-2.3,0.6,400-422-17,48.7%,0.3,-0.5,446-442-13,50.2%,-3.7,0.2,488-492-14,49.8%,-6.3,0.3,402-387-16,51.0%,5.3,-0.3,447-432-17,50.9%,1.6,-0.1,179-192-5,48.3%,-3.1,0.1,515-485-19,51.5%,-0.2,0.2,205-210-4,49.4%,-0.4,-0.4,210-216-9,49.3%,-2.2,0.5,175-175-6,50.0%,-1.3,-0.3
Phoenix,900-896-28,50.1%,0.5,-0.1,465-435-14,51.7%,1.0,0.4,30-37-1,44.8%,1.9,-0.6,431-415-13,51.0%,-1.1,0.1,460-468-15,49.6%,2.0,-0.3,456-429-16,51.5%,-2.2,0.1,398-416-13,48.9%,-5.9,0.3,497-477-15,51.0%,5.9,-0.5,435-466-11,48.3%,3.1,-0.5,181-174-3,51.0%,-1.3,-0.1,552-506-17,52.2%,1.3,0.5,233-243-8,49.0%,2.4,-0.2,202-218-6,48.1%,-2.5,-1.2,137-179-7,43.4%,-0.5,-2.1
New Orleans,869-867-30,50.1%,-1.1,0.2,434-454-14,48.9%,-1.2,0.0,24-31-1,43.6%,-1.1,-0.1,460-458-19,50.1%,-1.8,0.4,397-399-11,49.9%,-0.4,-0.1,432-430-17,50.1%,-3.5,0.6,512-483-17,51.5%,-4.9,1.2,350-375-13,48.3%,4.2,-1.1,435-430-13,50.3%,1.4,-0.1,191-168-7,53.2%,-3.1,0.6,475-513-19,48.1%,-0.9,-0.1,222-213-8,51.0%,0.9,0.6,213-200-8,51.6%,-2.9,0.4,179-155-3,53.6%,0.5,0.9
Chicago,888-889-24,50.0%,-0.4,0.1,457-483-13,48.6%,-0.9,-0.3,26-30-0,46.4%,0.5,0.0,458-423-12,52.0%,-0.7,0.9,423-451-12,48.4%,-0.2,-0.7,457-429-14,51.6%,-2.5,0.8,480-474-12,50.3%,-5.1,0.6,406-411-12,49.7%,4.9,-0.6,430-459-10,48.4%,1.6,-0.7,196-187-6,51.2%,-1.0,0.2,486-487-10,50.0%,-0.2,0.1,238-218-4,52.2%,1.2,0.4,193-188-7,50.7%,-1.3,0.6,180-185-8,49.3%,-0.6,-0.2
Orlando,874-880-37,49.8%,-1.4,-0.1,490-457-21,51.7%,-1.1,0.2,27-34-0,44.3%,1.0,0.7,466-488-20,48.9%,-2.7,-0.2,396-382-17,50.9%,0.1,-0.2,448-428-19,51.1%,-4.0,0.1,502-511-23,49.6%,-6.2,0.2,367-366-14,50.1%,5.2,-0.6,417-444-18,48.4%,1.3,-0.3,178-178-7,50.0%,-3.3,-0.4,516-498-23,50.9%,-0.7,0.3,194-230-8,45.8%,-0.6,-1.1,190-193-8,49.6%,-3.0,0.2,153-170-7,47.4%,-1.7,-1.3
Houston,897-908-26,49.7%,1.4,0.2,482-475-13,50.4%,1.6,0.6,27-28-1,49.1%,2.5,0.7,397-408-13,49.3%,0.1,0.5,492-487-12,50.3%,2.6,0.1,454-440-8,50.8%,-1.4,0.4,381-386-11,49.7%,-4.9,0.9,510-519-15,49.6%,6.0,-0.3,434-456-18,48.8%,4.1,0.1,172-191-5,47.4%,-0.9,-0.2,516-517-18,50.0%,1.7,0.3,210-214-4,49.5%,3.0,0.0,205-219-9,48.4%,-0.8,-0.2,182-172-2,51.4%,2.7,0.5
Charlotte,791-811-33,49.4%,-3.5,-0.1,440-440-16,50.0%,-2.9,0.3,25-25-1,50.0%,-1.2,1.3,476-483-23,49.6%,-4.5,-0.3,305-318-9,49.0%,-2.1,0.1,395-404-19,49.4%,-6.4,-0.2,545-573-28,48.8%,-6.9,-0.1,242-234-5,50.8%,4.5,-0.2,395-407-14,49.3%,-0.6,0.0,185-186-6,49.9%,-4.9,0.0,437-436-20,50.1%,-3.0,0.0,186-203-7,47.8%,-2.8,-0.8,165-168-10,49.6%,-6.0,-0.3,144-164-6,46.8%,-3.8,-1.0
Portland,870-894-27,49.3%,-1.2,-0.3,425-451-18,48.5%,-1.8,-0.6,30-32-0,48.4%,-0.7,-0.1,432-467-9,48.1%,-2.4,-0.7,425-418-18,50.4%,-0.1,0.1,428-451-12,48.7%,-4.5,-0.5,456-493-15,48.1%,-6.7,-0.3,411-392-12,51.2%,5.2,-0.2,435-437-13,49.9%,2.1,-0.1,190-168-7,53.1%,-1.3,1.3,484-544-14,47.1%,-1.7,-1.0,220-221-6,49.9%,0.6,-0.1,225-222-3,50.3%,-2.0,0.1,166-150-6,52.5%,0.2,0.2
Sacramento,837-862-41,49.3%,-2.4,-0.4,408-441-14,48.1%,-2.9,-0.8,37-22-1,62.7%,0.6,1.3,501-466-24,51.8%,-2.4,0.4,325-386-16,45.7%,-2.4,-1.5,439-407-20,51.9%,-4.9,0.0,536-520-24,50.8%,-6.1,0.3,298-337-17,46.9%,3.8,-1.5,394-450-21,46.7%,0.1,-0.8,178-183-10,49.3%,-5.5,-0.9,476-490-21,49.3%,-1.5,-0.3,204-211-16,49.2%,-0.1,0.1,225-210-11,51.7%,-3.8,-0.1,146-167-9,46.7%,-2.2,-0.4
Cleveland,904-932-36,49.2%,0.3,-0.3,484-489-20,49.7%,0.6,-0.1,36-30-0,54.6%,2.4,0.8,407-452-15,47.4%,-2.1,-0.7,486-469-21,50.9%,2.4,0.1,443-465-24,48.8%,-2.8,-0.5,414-438-14,48.6%,-6.6,-0.2,484-491-22,49.6%,6.2,-0.4,460-467-12,49.6%,3.3,-0.1,175-201-10,46.5%,-2.9,-1.4,496-514-23,49.1%,0.6,-0.2,211-224-5,48.5%,2.1,-0.1,209-219-11,48.8%,-2.2,-1.0,197-187-3,51.3%,2.2,0.4
