Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Hofstra,1-0-0,100.0%,20.5,+9.5,1-0-0,100.0%,14.0,9.5,0-0-0,0.0%,27.0,--,,,,,1-0-0,100.0%,14.0,+9.5,,,,,,,,,1-0-0,100.0%,14.0,9.5,1-0-0,100.0%,20.5,+9.5,,,,,,,,,0-0-0,0.0%,27.0,--,,,,,1-0-0,100.0%,14.0,+9.5
Lipscomb,3-0-0,100.0%,-0.7,+4.3,1-0-0,100.0%,5.0,9.0,1-0-0,100.0%,5.0,+9.0,1-0-0,100.0%,9.0,+3.5,1-0-0,100.0%,-16.0,+0.5,2-0-0,100.0%,-5.5,4.8,2-0-0,100.0%,-5.5,4.8,1-0-0,100.0%,9.0,3.5,1-0-0,100.0%,9.0,+3.5,,,,,1-0-0,100.0%,-16.0,+0.5,,,,,2-0-0,100.0%,-3.5,2.0,1-0-0,100.0%,9.0,+3.5
Portland St,1-0-0,100.0%,19.5,+6.5,1-0-0,100.0%,-8.0,6.5,1-0-0,100.0%,-8.0,+6.5,0-0-0,0.0%,47.0,--,,,,,1-0-0,100.0%,-8.0,6.5,1-0-0,100.0%,-8.0,6.5,,,,,0-0-0,0.0%,47.0,--,,,,,,,,,0-0-0,0.0%,47.0,--,,,,,0-0-0,0.0%,47.0,--
La Salle,2-0-0,100.0%,17.0,+11.0,2-0-0,100.0%,17.0,11.0,2-0-0,100.0%,17.0,+11.0,,,,,1-0-0,100.0%,21.0,+13.5,,,,,,,,,2-0-0,100.0%,17.0,11.0,2-0-0,100.0%,17.0,+11.0,,,,,,,,,,,,,,,,,,,,
Neb Omaha,2-0-0,100.0%,5.0,+12.0,1-0-0,100.0%,3.0,7.5,0-0-0,0.0%,16.0,--,,,,,2-0-0,100.0%,-0.5,+12.0,2-0-0,100.0%,-0.5,12.0,2-0-0,100.0%,-0.5,12.0,,,,,0-0-0,0.0%,16.0,--,,,,,1-0-0,100.0%,-4.0,+16.5,0-0-0,0.0%,16.0,--,1-0-0,100.0%,-4.0,16.5,1-0-0,100.0%,3.0,+7.5
North Texas,1-0-0,100.0%,29.5,+3.5,1-0-0,100.0%,17.0,3.5,1-0-0,100.0%,17.0,+3.5,,,,,0-0-0,0.0%,42.0,--,,,,,,,,,1-0-0,100.0%,17.0,3.5,1-0-0,100.0%,29.5,+3.5,,,,,0-0-0,0.0%,42.0,--,0-0-0,0.0%,42.0,--,,,,,,,,
IL-Chicago,1-0-0,100.0%,30.0,+18.0,1-0-0,100.0%,12.0,18.0,0-0-0,0.0%,48.0,--,,,,,1-0-0,100.0%,12.0,+18.0,,,,,1-0-0,100.0%,12.0,18.0,,,,,1-0-0,100.0%,30.0,+18.0,,,,,,,,,0-0-0,0.0%,48.0,--,,,,,1-0-0,100.0%,12.0,+18.0
Maryland,2-0-0,100.0%,32.0,+7.0,2-0-0,100.0%,32.0,7.0,1-0-0,100.0%,30.0,+4.0,,,,,1-0-0,100.0%,34.0,+10.0,,,,,,,,,2-0-0,100.0%,32.0,7.0,2-0-0,100.0%,32.0,+7.0,,,,,,,,,,,,,,,,,1-0-0,100.0%,34.0,+10.0
Memphis,2-0-0,100.0%,7.0,+6.0,2-0-0,100.0%,7.0,6.0,2-0-0,100.0%,7.0,+6.0,,,,,1-0-0,100.0%,6.0,+7.5,1-0-0,100.0%,6.0,7.5,1-0-0,100.0%,6.0,7.5,1-0-0,100.0%,8.0,4.5,1-0-0,100.0%,8.0,+4.5,,,,,,,,,,,,,,,,,,,,
Hsn Christian,1-0-0,100.0%,-2.0,+2.5,1-0-0,100.0%,-31.0,2.5,0-0-0,0.0%,27.0,--,,,,,1-0-0,100.0%,-31.0,+2.5,1-0-0,100.0%,-31.0,2.5,1-0-0,100.0%,-31.0,2.5,,,,,0-0-0,0.0%,27.0,--,,,,,,,,,0-0-0,0.0%,27.0,--,,,,,1-0-0,100.0%,-31.0,+2.5
Liberty,2-0-0,100.0%,11.0,+6.3,1-0-0,100.0%,20.0,9.5,2-0-0,100.0%,11.0,+6.3,,,,,1-0-0,100.0%,2.0,+3.0,1-0-0,100.0%,2.0,3.0,1-0-0,100.0%,2.0,3.0,1-0-0,100.0%,20.0,9.5,,,,,,,,,,,,,1-0-0,100.0%,2.0,+3.0,,,,,,,,
