Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,81.0,10:00 PM,Golden 1 Center,11,Minnesota,12,Sacramento,MIN Timberwolves,Minnesota,SAC Kings,Sacramento,-1.5,−112,False,+1.5,−108,True,Minnesota,4-8-0,33.3%,2.7,-4.5,2-4-0,33.3%,-3.5,-9.2,Sacramento,6-5-1,54.6%,4.0,-1.0,2-2-1,50.0%,8.0,0.4,Sacramento,+1.5,−108,2-2-0,50.0%,1.0,2.0,Minnesota,-1.5,−112,4-8-0,33.3%,2.7,-4.5
2,78.1,10:00 PM,Chase Center,6,Memphis,4,Golden State,MEM Grizzlies,Memphis,GS Warriors,Golden State,+7.5,−112,True,-7.5,−108,False,Memphis,7-5-0,58.3%,8.2,6.6,3-3-0,50.0%,6.2,6.8,Golden State,9-2-0,81.8%,11.1,9.6,3-1-0,75.0%,7.0,3.8,Memphis,+7.5,−112,3-1-0,75.0%,3.8,8.3,Golden State,-7.5,−108,5-1-0,83.3%,16.7,10.1
3,77.5,8:00 PM,Toyota Center,17,La Clippers,8,Houston,LA Clippers,L.A. Clippers,HOU Rockets,Houston,+4.5,−108,True,-4.5,−112,False,La Clippers,7-5-0,58.3%,0.7,3.1,4-1-0,80.0%,1.6,8.5,Houston,7-5-0,58.3%,5.2,2.5,5-2-0,71.4%,10.1,4.7,La Clippers,+4.5,−108,5-3-0,62.5%,-1.8,4.4,Houston,-4.5,−112,5-4-0,55.6%,7.0,1.7
4,73.5,7:00 PM,Gainbridge Fieldhouse,18,Miami,16,Indiana,MIA Heat,Miami,IND Pacers,Indiana,+4,−108,True,-4,−112,False,Miami,4-6-0,40.0%,-1.0,-2.1,4-2-0,66.7%,1.8,1.6,Indiana,6-5-0,54.6%,-2.7,-3.2,3-1-0,75.0%,4.3,3.4,Miami,+4,−108,2-2-0,50.0%,-6.0,-1.6,Indiana,-4,−112,2-3-0,40.0%,-3.6,-9.7
5,73.4,7:30 PM,Frost Bank Center,15,La Lakers,19,San Antonio,LA Lakers,L.A. Lakers,SA Spurs,San Antonio,-3,−112,False,+3,−108,True,La Lakers,6-5-0,54.6%,0.2,-2.5,1-4-0,20.0%,-10.2,-10.9,San Antonio,6-6-0,50.0%,0.7,2.3,4-3-0,57.1%,7.0,5.6,San Antonio,+3,−108,4-4-0,50.0%,-3.9,1.3,La Lakers,-3,−112,4-3-0,57.1%,5.7,-0.5
6,69.3,8:00 PM,Paycom Center,13,Phoenix,1,Okla City,PHO Suns,Phoenix,OKC Thunder,Oklahoma City,+7.5,−108,True,-7.5,−112,False,Phoenix,4-8-0,33.3%,0.5,-2.0,3-3-0,50.0%,-2.0,-2.4,Okla City,8-4-0,66.7%,12.7,4.2,4-3-0,57.1%,12.0,1.9,Phoenix,+7.5,−108,2-2-0,50.0%,-4.3,-0.4,Okla City,-7.5,−112,7-4-0,63.6%,12.5,3.0
7,67.3,8:00 PM,Smoothie King Center,9,Denver,21,New Orleans,DEN Nuggets,Denver,NO Pelicans,New Orleans,-4.5,−110,False,+4.5,−110,True,Denver,4-5-1,44.4%,2.9,-1.1,1-2-0,33.3%,1.3,-2.2,New Orleans,2-10-0,16.7%,-10.3,-8.6,2-4-0,33.3%,-4.2,-2.8,New Orleans,+4.5,−110,1-6-0,14.3%,-11.3,-5.6,Denver,-4.5,−110,2-5-1,28.6%,3.8,-2.6
8,66.5,7:30 PM,Madison Square Garden,27,Brooklyn,5,New York,BKN Nets,Brooklyn,NY Knicks,New York,+9.5,−110,True,-9.5,−110,False,Brooklyn,9-3-0,75.0%,-2.8,3.7,5-1-0,83.3%,-2.2,6.9,New York,5-6-0,45.5%,3.6,0.0,2-2-0,50.0%,10.0,4.4,Brooklyn,+9.5,−110,7-2-0,77.8%,-3.3,6.0,New York,-9.5,−110,5-5-0,50.0%,6.3,1.7
9,60.1,7:00 PM,Kia Center,20,Philadelphia,10,Orlando,PHI 76ers,Philadelphia,ORL Magic,Orlando,+2.5,−110,True,-2.5,−110,False,Philadelphia,3-8-0,27.3%,-8.0,-5.5,2-3-0,40.0%,-5.6,-1.7,Orlando,6-7-0,46.2%,3.7,2.3,5-1-0,83.3%,17.0,9.2,Philadelphia,+2.5,−110,3-4-0,42.9%,-7.9,-1.7,Orlando,-2.5,−110,5-2-0,71.4%,14.1,6.6
10,58.8,7:00 PM,Scotiabank Arena,23,Detroit,26,Toronto,DET Pistons,Detroit,TOR Raptors,Toronto,-1.5,−108,False,+1.5,−112,True,Detroit,7-5-1,58.3%,-2.5,2.6,3-2-1,60.0%,-0.7,4.7,Toronto,8-4-0,66.7%,-8.0,1.0,4-1-0,80.0%,-5.4,2.3,Toronto,+1.5,−112,8-4-0,66.7%,-8.0,1.0,Detroit,-1.5,−108,0-2-0,0.0%,0.0,-1.5
11,54.2,7:30 PM,Rocket Mortgage FieldHouse,24,Chicago,3,Cleveland,CHI Bulls,Chicago,CLE Cavaliers,Cleveland,+10.5,−108,True,-10.5,−112,False,Chicago,6-6-0,50.0%,-5.0,0.6,4-3-0,57.1%,-1.9,4.1,Cleveland,9-4-0,69.2%,11.7,5.3,4-2-0,66.7%,12.2,4.6,Chicago,+10.5,−108,6-5-0,54.6%,-4.6,2.2,Cleveland,-10.5,−112,7-4-0,63.6%,13.2,5.2
