Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,83.4,7:30 PM,Target Center,13,La Clippers,11,Minnesota,LA Clippers,L.A. Clippers,MIN Timberwolves,Minnesota,+6,−112,True,-6,−108,False,La Clippers,453-438-7,50.8%,2.9,0.2,228-204-5,52.8%,0.9,0.9,Minnesota,390-441-14,46.9%,-1.2,-0.1,184-230-7,44.4%,0.7,-0.7,La Clippers,+6,−112,149-154-1,49.2%,-4.7,0.5,Minnesota,-6,−108,157-194-7,44.7%,5.0,-0.9
2,78.0,7:30 PM,Barclays Center,10,Orlando,21,Brooklyn,ORL Magic,Orlando,BKN Nets,Brooklyn,-7,−115,False,+7,−105,True,Orlando,419-406-13,50.8%,-3.5,-0.1,217-194-5,52.8%,-5.7,0.1,Brooklyn,418-421-16,49.8%,-2.0,0.0,187-221-10,45.8%,-0.3,-0.7,Brooklyn,+7,−105,270-246-12,52.3%,-5.9,0.7,Orlando,-7,−115,121-102-3,54.3%,4.9,-0.2
3,74.3,10:00 PM,Crypto.com Arena,1,Okla City,17,La Lakers,OKC Thunder,Oklahoma City,LA Lakers,L.A. Lakers,-3,−108,False,+3,−112,True,Okla City,447-410-14,52.2%,1.1,0.3,218-203-6,51.8%,-1.7,-0.2,La Lakers,405-452-12,47.3%,-1.8,-0.4,197-216-6,47.7%,0.7,0.2,La Lakers,+3,−112,233-253-6,47.9%,-6.5,0.4,Okla City,-3,−108,236-231-4,50.5%,6.9,0.3
4,69.1,12:00 PM,Spectrum Center,6,New York,25,Charlotte,NY Knicks,New York,CHA Hornets,Charlotte,-12.5,−112,False,+12.5,−108,True,New York,416-410-15,50.4%,-2.3,0.4,217-195-8,52.7%,-4.0,0.9,Charlotte,390-412-18,48.6%,-2.7,-0.3,193-209-5,48.0%,-0.4,-0.4,Charlotte,+12.5,−108,240-265-16,47.5%,-6.9,-0.5,New York,-12.5,−112,150-126-4,54.4%,5.5,0.7
5,66.1,8:00 PM,Kaseya Center,22,Toronto,15,Miami,TOR Raptors,Toronto,MIA Heat,Miami,+8,−110,True,-8,−110,False,Toronto,449-443-13,50.3%,2.3,0.3,220-214-7,50.7%,-0.1,0.4,Miami,456-432-23,51.4%,0.8,0.2,200-224-15,47.2%,2.8,-0.7,Toronto,+8,−110,172-164-9,51.2%,-4.1,0.8,Miami,-8,−110,242-246-17,49.6%,4.4,-0.9
6,64.2,8:00 PM,Gainbridge Fieldhouse,24,Detroit,19,Indiana,DET Pistons,Detroit,IND Pacers,Indiana,+5.5,−110,True,-5.5,−110,False,Detroit,391-409-22,48.9%,-3.6,-0.1,192-208-13,48.0%,-6.1,-0.3,Indiana,434-413-19,51.2%,0.3,0.4,215-196-13,52.3%,3.2,0.8,Detroit,+5.5,−110,273-285-19,48.9%,-6.7,0.3,Indiana,-5.5,−110,210-203-10,50.9%,5.1,-0.2
7,63.4,10:00 PM,Moda Center,16,Sacramento,28,Portland,SAC Kings,Sacramento,POR Trail Blazers,Portland,-7,−112,False,+7,−108,True,Sacramento,403-401-24,50.1%,-2.4,-0.3,217-181-12,54.5%,-3.6,0.6,Portland,421-434-18,49.2%,-1.4,-0.4,206-210-10,49.5%,1.6,-0.2,Portland,+7,−108,211-239-10,46.9%,-7.5,-0.8,Sacramento,-7,−112,140-158-8,47.0%,3.4,-1.6
8,63.1,8:00 PM,United Center,2,Boston,26,Chicago,BOS Celtics,Boston,CHI Bulls,Chicago,-11.5,−108,False,+11.5,−112,True,Boston,511-429-20,54.4%,4.4,1.0,253-200-8,55.9%,2.3,1.2,Chicago,404-423-13,48.9%,-1.9,-0.4,197-216-5,47.7%,-0.7,-1.4,Chicago,+11.5,−112,243-261-9,48.2%,-5.9,-0.1,Boston,-11.5,−108,355-319-15,52.7%,6.8,0.2
9,62.8,2:30 PM,State Farm Arena,3,Cleveland,23,Atlanta,CLE Cavaliers,Cleveland,ATL Hawks,Atlanta,-6,−108,False,+6,−112,True,Cleveland,423-468-21,47.5%,0.6,-0.4,203-236-13,46.2%,-1.8,-0.5,Atlanta,421-450-8,48.3%,-1.0,-0.6,217-218-2,49.9%,1.8,-0.4,Atlanta,+6,−112,220-233-3,48.6%,-5.6,0.3,Cleveland,-6,−108,244-265-15,47.9%,6.2,-0.5
10,50.2,5:00 PM,FedExForum,27,New Orleans,8,Memphis,NO Pelicans,New Orleans,MEM Grizzlies,Memphis,+11,−105,True,-11,−115,False,New Orleans,417-419-11,49.9%,-0.5,0.3,206-205-7,50.1%,-2.3,0.8,Memphis,436-418-13,51.1%,-0.5,0.3,228-196-7,53.8%,2.2,0.8,New Orleans,+11,−105,235-227-7,50.9%,-4.4,1.3,Memphis,-11,−115,202-191-8,51.4%,5.1,-0.2
