,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,99.4,9:00 PM,State Farm Arena,15,Kentucky,3,Duke,Kentucky,Duke,1-1-0,50.0%,34.5,+9.5,,,,,1-1-0,50.0%,34.5,9.5,2-0-0,100.0%,38.0,+4.8,2-0-0,100.0%,38.0,+4.8,,,,
1,2,99.3,6:30 PM,State Farm Arena,8,Kansas,17,Michigan St,Kansas,Michigan State,1-1-0,50.0%,16.5,-1.3,,,,,1-1-0,50.0%,16.5,-1.3,2-0-0,100.0%,30.0,+5.0,2-0-0,100.0%,30.0,+5.0,,,,
2,3,92.7,7:00 PM,Addition Financial Arena,71,Fla Atlantic,53,Ucf,Florida Atlantic,,1-0-0,100.0%,41.5,+26.0,,,,,1-0-0,100.0%,33.0,26.0,1-1-0,50.0%,5.0,+2.5,1-1-0,50.0%,5.0,+2.5,1-0-0,100.0%,3.0,9.5
3,4,90.3,8:00 PM,Paul and Alejandra Foster Pavilion,103,Sam Hous St,36,Baylor,Sam Houston,Baylor,1-1-0,50.0%,6.5,+9.0,1-1-0,50.0%,6.5,9.0,1-0-0,100.0%,29.0,23.5,1-1-0,50.0%,-16.5,-15.5,,,,,0-1-0,0.0%,-38.0,-31.5
4,5,86.3,7:00 PM,Colonial Life Arena,110,Towson,75,S Carolina,Towson,South Carolina,1-0-0,100.0%,24.0,+4.0,1-0-0,100.0%,-7.0,4.0,,,,,1-1-0,50.0%,9.5,-9.8,1-1-0,50.0%,9.5,-9.8,,,,
5,6,86.1,5:00 PM,Michael J. Hagan Arena,62,Villanova,129,St Josephs,Villanova,Saint Josephs,1-2-0,33.3%,13.0,-6.3,,,,,1-2-0,33.3%,13.0,-6.3,0-2-0,0.0%,0.5,-16.0,0-2-0,0.0%,0.5,-16.0,,,,
6,6,86.1,7:00 PM,Welsh-Ryan Arena,141,Il-Chicago,27,Northwestern,,Northwestern,1-0-0,100.0%,30.0,+18.0,,,,,,,,,1-1-0,50.0%,19.5,+14.0,1-0-0,100.0%,44.0,+28.5,0-1-0,0.0%,-5.0,-0.5
7,8,83.7,10:00 PM,University Credit Union Pavilion,145,Akron,55,St Marys,Akron,Saint Marys,1-0-0,100.0%,13.0,+0.5,1-0-0,100.0%,-5.0,0.5,,,,,0-2-0,0.0%,9.5,-4.3,0-2-0,0.0%,9.5,-4.3,,,,
8,9,82.6,8:00 PM,Ed and Rae Schollmaier Arena,158,Texas St,44,Tx Christian,Texas State,,1-0-0,100.0%,30.0,+11.5,,,,,1-0-0,100.0%,20.0,11.5,1-1-0,50.0%,31.0,+8.5,1-1-0,50.0%,31.0,+8.5,,,,
9,10,82.4,7:00 PM,Stegeman Coliseum,151,N Florida,74,Georgia,North Florida,Georgia,3-0-0,100.0%,13.0,+21.5,2-0-0,100.0%,7.5,24.0,1-0-0,100.0%,24.0,16.5,1-1-0,50.0%,16.5,-5.0,1-1-0,50.0%,16.5,-5.0,,,,
10,11,78.4,9:00 PM,Dollar Loan Center,180,Tx A&M-Cc,59,New Mexico,,New Mexico,1-0-0,100.0%,17.0,+8.0,1-0-0,100.0%,-17.0,8.0,,,,,1-1-0,50.0%,7.5,+1.0,0-1-0,0.0%,7.0,-10.5,1-0-0,100.0%,8.0,12.5
11,12,77.3,7:00 PM,The Liacouras Center,154,Drexel,118,Temple,Drexel,Temple,1-0-0,100.0%,34.5,+20.5,,,,,,,,,1-1-0,50.0%,20.0,+9.8,0-1-0,0.0%,11.0,-3.0,,,,
12,13,74.1,6:30 PM,John Glaser Arena,155,Cornell,144,La Salle,Cornell,La Salle,1-0-0,100.0%,21.5,+4.5,,,,,,,,,2-0-0,100.0%,17.0,+11.0,2-0-0,100.0%,17.0,+11.0,,,,
13,14,72.3,7:00 PM,JMA Wireless Dome,210,Colgate,85,Syracuse,Colgate,Syracuse,1-1-0,50.0%,8.0,-8.0,0-1-0,0.0%,-17.0,-20.5,1-1-0,50.0%,8.0,-8.0,0-1-0,0.0%,4.0,-18.0,0-1-0,0.0%,4.0,-18.0,,,,
14,15,71.9,10:00 PM,Dale E. and Sarah Ann Fowler Events Center,146,Uc Riverside,166,Cal Baptist,,California Baptist,2-0-0,100.0%,-10.5,+8.8,2-0-0,100.0%,-10.5,8.8,,,,,0-2-0,0.0%,4.5,-6.5,0-2-0,0.0%,4.5,-6.5,,,,
15,16,71.7,9:00 PM,Carver-Hawkeye Arena,228,South Dakota,50,Iowa,,Iowa,1-1-0,50.0%,17.3,+4.5,,,,,1-1-0,50.0%,11.0,4.5,0-2-0,0.0%,18.5,-9.8,0-2-0,0.0%,18.5,-9.8,,,,
16,17,71.5,8:00 PM,C.M. 'Tad' Smith Coliseum,233,S Alabama,47,Mississippi,South Alabama,Ole Miss,1-1-0,50.0%,1.0,+1.0,1-0-0,100.0%,6.0,11.5,0-1-0,0.0%,-4.0,-9.5,0-1-1,0.0%,16.0,-11.0,0-1-1,0.0%,16.0,-11.0,,,,
17,18,70.9,8:00 PM,Allen Arena,187,Belmont,130,Lipscomb,Belmont,Lipscomb,0-1-0,0.0%,10.5,-4.5,,,,,0-1-0,0.0%,-2.0,-4.5,3-0-0,100.0%,-0.7,+4.3,1-0-0,100.0%,9.0,+3.5,2-0-0,100.0%,-5.5,4.8
18,19,69.3,7:00 PM,Littlejohn Coliseum,251,E Kentucky,34,Clemson,Eastern Kentucky,Clemson,1-0-0,100.0%,16.5,+16.0,1-0-0,100.0%,4.0,16.0,,,,,1-1-0,50.0%,26.5,+0.8,1-1-0,50.0%,26.5,+0.8,,,,
19,20,68.5,10:00 PM,Maples Pavilion,235,N Arizona,68,Stanford,Northern Arizona,Stanford,0-0-0,0.0%,49.5,--,,,,,,,,,2-0-0,100.0%,25.0,+8.3,2-0-0,100.0%,25.0,+8.3,,,,
20,21,67.5,8:00 PM,CEFCU Arena - Home of the Redbirds,152,Ohio,195,Illinois St,Ohio,Illinois State,0-2-0,0.0%,-2.0,-5.3,0-1-0,0.0%,-10.0,-7.0,0-1-0,0.0%,6.0,-3.5,1-1-0,50.0%,3.5,-1.3,0-1-0,0.0%,-2.0,-15.0,1-0-0,100.0%,9.0,12.5
21,22,66.8,9:00 PM,Jon M. Huntsman Center,257,Queens,46,Utah,Queens NC,Utah,1-0-0,100.0%,32.0,+8.5,,,,,1-0-0,100.0%,13.0,8.5,2-0-0,100.0%,38.0,+11.5,2-0-0,100.0%,38.0,+11.5,,,,
22,23,65.5,8:00 PM,Carver Arena,248,Utsa,88,Bradley,,Bradley,0-0-0,0.0%,26.0,--,,,,,,,,,1-1-0,50.0%,5.5,-3.8,1-0-0,100.0%,28.0,+8.0,0-1-0,0.0%,-17.0,-15.5
