,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,89.7,8:00 PM,Williams Arena,86,North Texas,75,Minnesota,North Texas,Minnesota,1-0-0,100.0%,29.5,+3.5,,,,,1-0-0,100.0%,17.0,3.5,1-1-0,50.0%,13.5,-4.5,1-1-0,50.0%,13.5,-4.5,,,,
1,2,88.5,8:00 PM,Neville Arena,122,Kent St,1,Auburn,Kent State,Auburn,1-0-0,100.0%,24.5,+2.0,1-0-0,100.0%,4.0,2.0,1-0-0,100.0%,4.0,2.0,2-0-0,100.0%,28.0,+22.0,1-0-0,100.0%,51.0,+33.5,1-0-0,100.0%,5.0,10.5
2,3,88.4,8:00 PM,Bud Walton Arena,123,Troy,35,Arkansas,,Arkansas,2-0-0,100.0%,13.5,+4.3,1-0-0,100.0%,17.0,4.5,2-0-0,100.0%,13.5,4.3,0-2-0,0.0%,5.5,-0.5,0-1-0,0.0%,16.0,-0.5,0-1-0,0.0%,-5.0,-0.5
3,4,83.8,6:00 PM,Nassau Veterans Memorial Coliseum,96,U Mass,120,La Tech,Massachusetts,,2-0-0,100.0%,11.5,+7.8,1-0-0,100.0%,-6.0,3.0,1-0-0,100.0%,29.0,12.5,1-0-0,100.0%,21.0,+16.5,0-0-0,0.0%,27.0,--,1-0-0,100.0%,15.0,16.5
4,5,82.8,8:00 PM,United Supermarkets Arena,168,Wyoming,21,Texas Tech,Wyoming,Texas Tech,1-0-0,100.0%,19.0,+4.0,,,,,1-0-0,100.0%,15.0,4.0,1-1-0,50.0%,27.0,-6.3,1-1-0,50.0%,27.0,-6.3,,,,
5,6,81.5,10:00 PM,Lawlor Events Center,164,Weber St,47,Nevada,Weber State,Nevada,0-1-0,0.0%,27.5,-23.0,0-1-0,0.0%,-28.0,-23.0,,,,,2-0-0,100.0%,13.0,+4.5,2-0-0,100.0%,13.0,+4.5,,,,
6,7,81.0,8:00 PM,Fertitta Center,180,Louisiana,2,Houston,Louisiana-Lafayette,Houston,0-1-0,0.0%,6.5,-2.0,,,,,,,,,1-1-0,50.0%,26.0,+5.0,1-0-0,100.0%,57.0,+20.5,,,,
7,8,80.1,8:00 PM,Memorial Gymnasium,137,California,105,Vanderbilt,California,Vanderbilt,1-0-1,100.0%,15.5,+1.8,,,,,1-0-1,100.0%,15.5,1.8,1-1-0,50.0%,24.0,-4.8,1-1-0,50.0%,24.0,-4.8,,,,
8,9,79.2,8:00 PM,Nassau Veterans Memorial Coliseum,151,Hofstra,104,Seton Hall,Hofstra,Seton Hall,1-0-0,100.0%,20.5,+9.5,,,,,1-0-0,100.0%,14.0,9.5,0-2-0,0.0%,1.5,-10.5,0-2-0,0.0%,1.5,-10.5,,,,
9,10,78.3,7:00 PM,Stuart C. Siegel Center,193,Merrimack,44,Vcu,Merrimack,,1-0-0,100.0%,14.0,+21.5,,,,,,,,,1-1-0,50.0%,22.0,+5.8,0-1-0,0.0%,19.0,-2.5,,,,
10,11,75.5,11:00 PM,Galen Center,198,Tx-Arlington,59,Usc,,,0-1-0,0.0%,10.0,-16.5,,,,,0-1-0,0.0%,-15.0,-16.5,1-1-0,50.0%,16.0,-3.3,1-1-0,50.0%,16.0,-3.3,,,,
11,12,75.4,7:00 PM,Thompson-Boling Arena at Food City Center,217,Montana,10,Tennessee,Montana,Tennessee,0-1-0,0.0%,16.7,-13.0,0-1-0,0.0%,-31.0,-13.0,,,,,1-1-0,50.0%,19.0,+6.5,0-1-0,0.0%,16.0,-11.5,1-0-0,100.0%,22.0,24.5
12,13,71.9,7:00 PM,Alico Arena,114,St Bonavent,191,Fla Gulf Cst,Saint Bonaventure,FGCU,2-0-0,100.0%,11.5,+3.8,1-0-0,100.0%,9.0,1.5,2-0-0,100.0%,11.5,3.8,1-1-0,50.0%,-12.5,-1.0,,,,,1-1-0,50.0%,-12.5,-1.0
13,14,70.4,10:00 PM,War Memorial at the Sobrato Center,226,Lg Beach St,78,San Francisco,Long Beach State,San Francisco,1-0-0,100.0%,22.0,+8.5,1-0-0,100.0%,-1.0,8.5,,,,,1-1-0,50.0%,9.5,+0.3,1-1-0,50.0%,9.5,+0.3,1-0-0,100.0%,11.0,13.0
14,15,69.2,7:00 PM,EagleBank Arena,233,Central Mich,77,Geo Mason,Central Michigan,George Mason,2-1-0,66.7%,-1.7,+7.2,2-0-0,100.0%,-2.0,14.0,0-1-0,0.0%,-1.0,-6.5,2-1-0,66.7%,12.0,+6.2,2-0-0,100.0%,27.5,+12.0,0-1-0,0.0%,-19.0,-5.5
15,16,68.9,7:00 PM,University of Dayton Arena,245,Ball St,45,Dayton,Ball State,Dayton,0-1-0,0.0%,11.0,-2.5,0-1-0,0.0%,-5.0,-2.5,,,,,2-0-0,100.0%,17.5,+4.0,2-0-0,100.0%,17.5,+4.0,,,,
16,16,68.9,9:00 PM,State Farm Center,256,Oakland,14,Illinois,Oakland,Illinois,0-1-0,0.0%,-10.5,-27.0,0-1-0,0.0%,-44.0,-27.0,,,,,2-0-0,100.0%,38.5,+12.8,2-0-0,100.0%,38.5,+12.8,,,,
17,16,68.9,7:00 PM,Dale F. Halton Arena,174,Richmond,158,Charlotte,Richmond,Charlotte,0-1-0,0.0%,13.0,-16.0,,,,,0-1-0,0.0%,-7.0,-16.0,0-2-0,0.0%,-10.0,-9.0,0-1-0,0.0%,9.0,-3.0,0-1-0,0.0%,-29.0,-15.0
18,19,67.3,7:00 PM,Savage Arena,200,Wright St,148,Toledo,Wright State,Toledo,1-1-0,50.0%,0.3,-1.3,1-1-0,50.0%,-14.0,-1.3,,,,,1-1-0,50.0%,0.0,+2.5,,,,,0-1-0,0.0%,-10.0,-4.0
19,20,66.0,10:00 PM,Leavey Center,241,N Dakota St,92,Santa Clara,North Dakota State,Santa Clara,0-2-0,0.0%,7.7,-7.5,0-1-0,0.0%,-5.0,-2.5,0-1-0,0.0%,-9.0,-12.5,1-1-0,50.0%,0.0,-3.8,,,,,,,,
20,21,64.4,9:00 PM,Marriott Center,279,Queens,36,Byu,Queens NC,,1-1-0,50.0%,11.0,+0.5,0-1-0,0.0%,-31.0,-7.5,1-0-0,100.0%,13.0,8.5,1-1-0,50.0%,22.0,-6.0,1-1-0,50.0%,22.0,-6.0,,,,
21,22,64.1,6:30 PM,Carnesecca Arena,282,Wagner,19,St Johns,Wagner,Saint Johns,0-1-0,0.0%,9.5,-6.0,0-1-0,0.0%,-23.0,-6.0,,,,,2-0-0,100.0%,27.5,+8.0,2-0-0,100.0%,27.5,+8.0,,,,
22,23,63.9,9:00 PM,CU Events Center,259,Cs Fullerton,84,Colorado,,Colorado,1-1-0,50.0%,-18.5,-1.0,1-1-0,50.0%,-18.5,-1.0,,,,,1-1-0,50.0%,11.0,-4.0,1-1-0,50.0%,11.0,-4.0,,,,
23,24,63.7,7:30 PM,Murphy Center,225,Evansville,139,Middle Tenn,Evansville,Middle Tennessee,0-1-0,0.0%,15.0,-3.5,0-1-0,0.0%,-17.0,-3.5,,,,,1-0-0,100.0%,34.5,+27.0,0-0-0,0.0%,46.0,--,1-0-0,100.0%,23.0,27.0
24,25,62.8,10:00 PM,The Thunderdome,258,Fresno St,99,Ucsb,Fresno State,,0-0-1,0.0%,7.0,0.0,,,,,0-0-1,0.0%,7.0,0.0,1-0-0,100.0%,45.0,+34.0,0-0-0,0.0%,49.0,--,,,,
25,26,62.1,7:00 PM,Ross E. Templeton Physical Education Center,135,Wofford,242,Presbyterian,,Presbyterian,0-1-0,0.0%,22.5,-3.5,0-1-0,0.0%,-9.0,-3.5,,,,,2-0-0,100.0%,19.0,+8.0,0-0-0,0.0%,75.0,--,2-0-0,100.0%,-9.0,8.0
26,27,60.1,7:00 PM,Lenovo Center,290,Coastal Car,60,Nc State,Coastal Carolina,,1-0-1,100.0%,0.0,+4.3,1-0-0,100.0%,-4.0,8.5,0-0-1,0.0%,4.0,0.0,1-1-0,50.0%,20.0,-2.8,1-1-0,50.0%,20.0,-2.8,,,,
27,28,59.8,8:00 PM,Reynolds Center,230,Oral Roberts,162,Tulsa,,Tulsa,0-1-0,0.0%,16.5,-7.5,0-1-0,0.0%,-23.0,-7.5,,,,,1-0-0,100.0%,18.5,+1.5,1-0-0,100.0%,18.5,+1.5,,,,
28,29,59.5,7:00 PM,Joan Perry Brock Center,192,Wi-Milwkee,206,Longwood,,Longwood,0-1-0,0.0%,18.5,-12.5,0-1-0,0.0%,-19.0,-12.5,,,,,1-0-0,100.0%,14.5,+8.5,1-0-0,100.0%,14.5,+8.5,,,,
29,30,58.3,7:00 PM,Pete Mathews Coliseum,216,Georgia St,195,Jksnville St,Georgia State,Jacksonville State,1-1-0,50.0%,-15.0,-4.5,0-1-0,0.0%,-35.0,-11.5,1-0-0,100.0%,5.0,2.5,0-1-0,0.0%,29.0,-4.5,0-0-0,0.0%,64.0,--,0-1-0,0.0%,-6.0,-4.5
