Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,98.7,7:00 PM,Baha Mar Convention Center,11,Baylor,23,St Johns,Baylor,Baylor,Saint Johns,St. John'S,-2.5,−110,False,+2.5,−110,True,Baylor,380-348-15,52.2%,5.4,0.6,142-127-4,52.8%,-4.8,0.0,St Johns,385-391-16,49.6%,1.4,-0.1,187-204-9,47.8%,5.8,-0.5,St Johns,+2.5,−110,207-199-8,51.0%,-7.1,0.4,Baylor,-2.5,−110,215-198-7,52.1%,10.3,0.6
2,95.3,10:00 PM,Chase Center,41,Memphis,51,San Francisco,Memphis,Memphis,San Francisco,San Francisco,-1,−105,False,+1,−115,True,Memphis,441-392-20,52.9%,7.8,0.7,151-131-6,53.6%,1.5,0.8,San Francisco,371-380-16,49.4%,1.8,0.2,157-193-4,44.9%,6.8,-0.5,San Francisco,+1,−115,179-173-9,50.9%,-7.9,0.3,Memphis,-1,−105,312-283-16,52.4%,11.4,0.5
3,92.9,9:30 PM,Baha Mar Convention Center,82,Virginia,6,Tennessee,Virginia,Virginia,Tennessee,Tennessee,+12,−115,True,-12,−105,False,Virginia,388-380-17,50.5%,5.3,-0.3,144-145-7,49.8%,-2.6,-0.7,Tennessee,428-399-11,51.8%,6.1,0.4,208-179-6,53.8%,12.3,1.3,Virginia,+12,−115,125-132-6,48.6%,-8.3,-1.1,Tennessee,-12,−105,272-286-8,48.8%,9.3,-0.3
4,91.6,7:00 PM,Barclays Center,19,Texas,98,Syracuse,Texas,Texas,Syracuse,Syracuse,-10.5,−108,False,+10.5,−112,True,Texas,408-426-12,48.9%,6.7,0.1,143-142-1,50.2%,-1.3,-0.4,Syracuse,422-424-13,49.9%,6.7,0.1,199-225-7,46.9%,11.6,-0.7,Syracuse,+10.5,−112,124-120-6,50.8%,-3.9,1.4,Texas,-10.5,−108,260-296-9,46.8%,9.9,-0.4
5,91.4,7:30 PM,TD Arena,96,Vanderbilt,33,Nevada,Vanderbilt,Vanderbilt,Nevada,Nevada,+4,−115,True,-4,−105,False,Vanderbilt,407-390-17,51.1%,2.7,0.2,155-130-8,54.4%,-4.8,1.0,Nevada,392-325-16,54.7%,3.7,0.9,181-147-7,55.2%,9.0,0.8,Vanderbilt,+4,−115,210-195-10,51.9%,-6.1,0.5,Nevada,-4,−105,257-207-10,55.4%,8.8,0.8
6,90.4,2:30 PM,TD Arena,80,Oklahoma St,73,Fla Atlantic,Oklahoma State,Oklahoma State,Florida Atlantic,Florida Atlantic,-1,−112,False,+1,−108,True,Oklahoma St,392-392-15,50.0%,5.4,0.4,130-151-6,46.3%,-2.7,-0.3,Fla Atlantic,242-256-10,48.6%,-1.7,0.3,100-97-2,50.8%,4.6,1.2,Fla Atlantic,+1,−108,140-141-6,49.8%,-7.7,0.5,Oklahoma St,-1,−112,247-217-10,53.2%,9.9,0.8
7,90.3,10:00 PM,Gill Coliseum,37,Oregon,105,Oregon St,Oregon,Oregon,Oregon State,Oregon St.,-6.5,−108,False,+6.5,−112,True,Oregon,435-410-17,51.5%,5.1,0.5,148-148-5,50.0%,-2.7,-0.3,Oregon St,370-385-14,49.0%,-1.3,-0.3,185-187-5,49.7%,3.9,-0.3,Oregon St,+6.5,−112,237-242-10,49.5%,-8.5,0.2,Oregon,-6.5,−108,277-266-13,51.0%,9.4,0.2
8,89.7,5:00 PM,TD Arena,45,Vcu,97,Seton Hall,VCU,VCU,Seton Hall,Seton Hall,N/A,N/A,False,N/A,N/A,False,Vcu,419-388-20,51.9%,6.0,0.7,155-144-5,51.8%,1.3,0.4,Seton Hall,387-378-12,50.6%,2.6,0.2,174-190-6,47.8%,7.7,-0.2,Seton Hall,N/A,N/A,200-168-3,54.4%,-5.5,0.9,Vcu,N/A,N/A,294-267-15,52.4%,9.6,0.7
9,89.3,9:00 PM,Barclays Center,112,St Josephs,14,Texas Tech,Saint Josephs,Saint Joseph'S,Texas Tech,Texas Tech,+10.5,−112,True,-10.5,−108,False,St Josephs,401-383-20,51.2%,1.6,0.3,180-153-10,54.1%,-1.6,1.1,Texas Tech,372-414-8,47.3%,2.9,-0.4,201-186-4,51.9%,10.3,0.7,St Josephs,+10.5,−112,189-174-12,52.1%,-6.0,0.7,Texas Tech,-10.5,−108,204-199-6,50.6%,11.0,0.5
10,87.8,12:00 PM,TD Arena,44,Miami,120,Drake,Miami FL,Miami-Florida,Drake,Drake,-10,−110,False,+10,−110,True,Miami,403-365-19,52.5%,4.2,0.4,163-123-10,57.0%,-1.6,1.5,Drake,378-368-19,50.7%,0.7,0.1,176-156-4,53.0%,7.2,1.0,Drake,+10,−110,212-213-16,49.9%,-7.3,0.0,Miami,-10,−110,201-219-11,47.9%,7.6,-0.7
