Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,98.0,4:00 PM,T-Mobile Center,33,Arkansas,16,Illinois,Arkansas,Arkansas,Illinois,Illinois,+2.5,−112,True,-2.5,−108,False,Arkansas,2-4-0,33.3%,22.0,5.0,0,0,0.0,0.0,Illinois,4-2-0,66.7%,30.2,9.1,4-1-0,80.0%,38.8,+11.8,Arkansas,+2.5,−112,0-1-0,0.0%,-5.0,-0.5,Illinois,-2.5,−108,4-1-0,80.0%,38.8,11.8
2,97.3,5:00 PM,Imperial Arena,48,Oklahoma,11,Arizona,Oklahoma,Oklahoma,Arizona,Arizona,+6.5,−108,True,-6.5,−112,False,Oklahoma,2-3-0,40.0%,20.0,-1.5,0,0,0.0,0.0,Arizona,2-3-0,40.0%,18.2,0.4,1-2-0,33.3%,24.3,+1.3,Oklahoma,+6.5,−108,0,0,0.0,0.0,Arizona,-6.5,−112,2-3-0,40.0%,18.2,0.4
3,96.8,5:30 PM,LionTree Arena,29,Byu,41,Mississippi,BYU,Brigham Young,Ole Miss,Mississippi,-3,−115,False,+3,−105,True,Byu,2-3-0,40.0%,31.2,-1.0,0,0,0.0,0.0,Mississippi,2-2-1,50.0%,17.8,-1.9,1-2-1,33.3%,18.5,-4.8,Mississippi,+3,−105,0,0,0.0,0.0,Byu,-3,−115,2-3-0,40.0%,31.2,-1.0
3,96.8,2:30 PM,Imperial Arena,45,Indiana,4,Gonzaga,Indiana,Indiana,Gonzaga,Gonzaga,+9.5,−112,True,-9.5,−108,False,Indiana,2-3-0,40.0%,10.6,-6.2,0,0,0.0,0.0,Gonzaga,4-2-0,66.7%,25.5,6.3,3-1-0,75.0%,37.0,+14.6,Indiana,+9.5,−112,0,0,0.0,0.0,Gonzaga,-9.5,−108,4-2-0,66.7%,25.5,6.3
5,95.9,3:00 PM,LionTree Arena,19,Purdue,55,Nc State,Purdue,Purdue,North Carolina State,NC State,-7,−110,False,N/A,N/A,False,Purdue,3-3-0,50.0%,12.2,0.3,0-1-0,0.0%,-18.0,-12.5,Nc State,3-2-0,60.0%,19.6,1.4,3-2-0,60.0%,19.6,+1.4,Nc State,N/A,N/A,0,0,0.0,0.0,Purdue,-7,−110,2-2-0,50.0%,20.5,0.4
6,95.6,12:00 PM,Imperial Arena,52,W Virginia,40,Louisville,West Virginia,West Virginia,Louisville,Louisville,+4,−115,True,-4,−105,False,W Virginia,3-2-0,60.0%,12.2,8.7,0-1-0,0.0%,-24.0,-16.5,Louisville,3-2-0,60.0%,20.2,6.0,2-2-0,50.0%,18.3,-0.6,W Virginia,+4,−115,1-1-0,50.0%,-8.0,3.3,Louisville,-4,−105,2-2-0,50.0%,18.3,-0.6
7,94.9,12:30 AM,MGM Grand Arena,69,Notre Dame,3,Houston,Notre Dame,Notre Dame,Houston,Houston,N/A,N/A,False,N/A,N/A,False,Notre Dame,3-3-1,50.0%,8.1,-1.8,1-0-0,100.0%,21.0,18.0,Houston,3-3-0,50.0%,23.3,2.8,3-0-0,100.0%,46.3,+14.0,Houston,N/A,N/A,0,0,0.0,0.0,Notre Dame,N/A,N/A,2-3-0,40.0%,13.8,-3.6
8,93.3,11:30 PM,Acrisure Arena,46,New Mexico,70,Arizona St,New Mexico,New Mexico,Arizona State,Arizona State,-4,−110,False,+4,−110,True,New Mexico,3-3-0,50.0%,12.2,0.4,0-1-0,0.0%,-14.0,-7.0,Arizona St,4-2-0,66.7%,6.0,3.7,1-2-0,33.3%,8.7,-7.0,Arizona St,+4,−110,3-0-0,100.0%,3.3,14.3,New Mexico,-4,−110,2-2-0,50.0%,19.8,-0.8
9,93.0,7:00 PM,Mullett Arena,57,Northwestern,68,Butler,Northwestern,Northwestern,Butler,Butler,-2.5,−108,False,+2.5,−112,True,Northwestern,1-4-1,20.0%,13.0,-0.7,0-1-0,0.0%,-5.0,-0.5,Butler,3-2-0,60.0%,15.0,2.5,3-2-0,60.0%,15.0,+2.5,Butler,+2.5,−112,1-0-0,100.0%,11.0,12.5,Northwestern,-2.5,−108,1-3-1,25.0%,16.6,-0.7
10,91.6,2:30 PM,Wide World of Sports Complex,87,Wake Forest,24,Florida,Wake Forest,Wake Forest,Florida,Florida,+7,−112,True,-7,−108,False,Wake Forest,1-6-0,14.3%,6.6,-11.7,0-1-0,0.0%,-15.0,-7.5,Florida,3-3-0,50.0%,20.3,0.1,1-3-0,25.0%,23.5,-2.8,Wake Forest,+7,−112,1-1-0,50.0%,-6.5,-1.8,Florida,-7,−108,3-3-0,50.0%,20.3,0.1
11,91.1,9:00 PM,Acrisure Arena,58,St Marys,78,Usc,Saint Marys,Saint Mary'S,USC,Southern California,-4.5,−108,False,+4.5,−112,True,St Marys,1-4-0,20.0%,15.8,-2.3,0,0,0.0,0.0,Usc,1-5-0,16.7%,9.2,-7.6,1-5-0,16.7%,9.2,-7.6,Usc,+4.5,−112,0,0,0.0,0.0,St Marys,-4.5,−108,1-4-0,20.0%,11.0,-2.3
