,Rank_current_season,Hotness Score_current_season,Time_current_season,Location_current_season,Away Team Rank_current_season,Away Team_current_season,Home Team Rank_current_season,Home Team_current_season,Away Team Covers_current_season,Home Team Covers_current_season,Away Team Spread_current_season,Away Team Implied Odds_current_season,Away Team Underdog_current_season,Home Team Spread_current_season,Home Team Implied Odds_current_season,Home Team Underdog_current_season,Away Team all_games_Sample Size_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_Sample Size_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team all_games_Sample Size_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_Sample Size_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Underdog is_dog Team_current_season,Underdog is_dog Spread_current_season,Underdog is_dog Implied Odds_current_season,Underdog is_dog Sample Size_current_season,Underdog is_dog Cover %_current_season,Underdog is_dog MOV_current_season,Underdog is_dog ATS +/-_current_season,Favorite is_fav Team_current_season,Favorite is_fav Spread_current_season,Favorite is_fav Implied Odds_current_season,Favorite is_fav Sample Size_current_season,Favorite is_fav Cover %_current_season,Favorite is_fav MOV_current_season,Favorite is_fav ATS +/-_current_season,Away Team Covers_all_time,Home Team Covers_all_time,Away Team Spread_all_time,Home Team Spread_all_time,Away Team all_games_Sample Size_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_Sample Size_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team all_games_Sample Size_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_Sample Size_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Underdog is_dog Spread_all_time,Underdog is_dog Sample Size_all_time,Underdog is_dog Cover %_all_time,Underdog is_dog MOV_all_time,Underdog is_dog ATS +/-_all_time,Favorite is_fav Spread_all_time,Favorite is_fav Sample Size_all_time,Favorite is_fav Cover %_all_time,Favorite is_fav MOV_all_time,Favorite is_fav ATS +/-_all_time,Away Team Covers_last_10_seasons,Home Team Covers_last_10_seasons,Away Team Spread_last_10_seasons,Home Team Spread_last_10_seasons,Away Team all_games_Sample Size_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_Sample Size_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team all_games_Sample Size_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_Sample Size_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Underdog is_dog Spread_last_10_seasons,Underdog is_dog Sample Size_last_10_seasons,Underdog is_dog Cover %_last_10_seasons,Underdog is_dog MOV_last_10_seasons,Underdog is_dog ATS +/-_last_10_seasons,Favorite is_fav Spread_last_10_seasons,Favorite is_fav Sample Size_last_10_seasons,Favorite is_fav Cover %_last_10_seasons,Favorite is_fav MOV_last_10_seasons,Favorite is_fav ATS +/-_last_10_seasons,Away Team_current_season_map,Home Team_current_season_map,Favorite is_fav Team_current_season_map,Underdog is_dog Team_current_season_map,Away Team,Home Team,Home Cover
0,1,98.5,2:30 PM,Value City Arena,19,Pittsburgh,12,Ohio St,Pittsburgh,Ohio St.,5.0,0.5283,True,-5.0,0.5192,False,0,0.714,21.1,5.9,0,0.0,0.0,0.0,6,0.833,25.8,11.3,4,1.0,40.3,+16.8,Pittsburgh,5.0,0.5283,0,0.0,0.0,0.0,Ohio St,-5.0,0.5192,0,1.0,40.3,16.8,Pittsburgh,Ohio St.,5.0,-5.0,0,0.5,5.4,0.2,0,0.519,-1.9,1.0,863,0.515,7.5,0.6,430,0.533,14.0,1.0,5.0,310,0.497,-6.1,0.7,-5.0,0,0.521,11.5,0.6,Pittsburgh,Ohio St.,5.0,-5.0,0,0.494,1.1,0.0,0,0.51,-5.7,1.1,338,0.487,6.2,0.3,178,0.526,13.0,1.1,5.0,167,0.484,-7.8,-0.2,-5.0,0,0.507,11.9,0.6,233.0,223.0,223.0,233.0,Pittsburgh,Ohio St.,False
1,2,97.1,6:00 PM,LionTree Arena,40,Mississippi,17,Purdue,Mississippi,Purdue,2.5,0.5192,True,-2.5,0.5283,False,0,0.6,16.7,0.7,0,0.0,0.0,0.0,7,0.571,11.9,0.9,5,0.6,18.2,+2.9,Mississippi,2.5,0.5192,0,1.0,11.0,13.5,Purdue,-2.5,0.5283,0,0.6,18.4,1.2,Mississippi,Purdue,2.5,-2.5,0,0.502,3.4,-0.6,0,0.517,-4.6,-0.5,859,0.501,6.8,0.4,392,0.537,13.9,1.8,2.5,353,0.501,-6.3,-0.2,-2.5,0,0.516,11.0,0.6,Mississippi,Purdue,2.5,-2.5,0,0.505,1.8,-1.0,0,0.558,-4.0,0.1,344,0.526,10.0,1.1,156,0.563,17.5,2.8,2.5,141,0.536,-5.1,0.8,-2.5,0,0.528,12.4,1.1,178.0,240.0,240.0,178.0,,,
2,6,94.2,9:30 PM,Mullett Arena,65,Butler,22,Miss State,Butler,Mississippi State,8.0,0.5238,True,-8.0,0.5238,False,0,0.667,12.8,2.8,0,0.0,0.0,0.0,6,0.667,20.5,5.0,3,0.667,30.3,+5.3,Butler,8.0,0.5238,0,1.0,6.5,8.5,Miss State,-8.0,0.5238,0,0.667,20.5,5.0,Butler,Mississippi State,8.0,-8.0,0,0.521,5.8,0.7,0,0.472,-0.1,-0.3,798,0.525,4.0,0.5,370,0.548,9.9,0.9,8.0,278,0.528,-5.3,0.3,-8.0,0,0.523,9.2,0.7,Butler,Mississippi State,8.0,-8.0,0,0.511,3.5,0.1,0,0.477,-4.3,-1.1,326,0.531,4.0,0.7,158,0.568,9.5,1.4,8.0,135,0.459,-7.5,-1.6,-8.0,0,0.544,10.1,0.9,34.0,176.0,176.0,34.0,Butler,Mississippi State,False
3,8,93.1,3:30 PM,Wide World of Sports Complex,75,Wichita St,23,Florida,Wichita St.,Florida,10.0,0.5238,True,-10.0,0.5238,False,0,0.6,10.7,3.9,0,1.0,7.0,6.0,7,0.571,19.9,1.4,4,0.25,23.5,-2.8,Wichita St,10.0,0.5238,0,0.0,0.0,0.0,Florida,-10.0,0.5238,0,0.571,19.9,1.4,Wichita St.,Florida,10.0,-10.0,0,0.52,6.0,0.5,0,0.557,0.4,0.8,844,0.508,9.4,0.5,364,0.489,16.0,0.7,10.0,251,0.508,-5.4,0.4,-10.0,0,0.511,10.4,0.5,Wichita St.,Florida,10.0,-10.0,0,0.518,7.8,0.3,0,0.606,3.5,1.1,339,0.473,5.8,-0.1,150,0.443,10.6,-0.4,10.0,77,0.562,-5.0,0.5,-10.0,0,0.502,9.8,0.0,352.0,89.0,89.0,352.0,Wichita St.,Florida,True
4,9,92.0,6:30 PM,Wide World of Sports Complex,38,Utah St,87,North Texas,Utah St.,North Texas,-3.5,0.5349,False,3.5,0.5122,True,0,0.6,28.8,9.4,0,0.0,0.0,0.0,5,0.6,12.1,4.0,2,0.5,17.3,+0.8,North Texas,3.5,0.5122,0,0.5,-2.0,0.8,Utah St,-3.5,0.5349,0,0.5,25.3,9.1,Utah St.,North Texas,-3.5,3.5,0,0.53,7.7,1.2,0,0.477,1.2,0.4,713,0.516,0.5,0.1,301,0.483,7.3,-0.2,3.5,401,0.519,-8.9,0.4,-3.5,0,0.551,10.9,1.5,Utah St.,North Texas,-3.5,3.5,0,0.519,6.9,1.3,0,0.412,-0.5,-0.6,296,0.543,3.9,0.9,132,0.534,9.7,0.9,3.5,132,0.531,-6.6,1.0,-3.5,0,0.579,11.3,2.0,328.0,216.0,328.0,216.0,Utah St.,North Texas,True
5,10,91.3,11:00 AM,Imperial Arena,48,Indiana,89,Providence,Indiana,Providence,-4.5,0.5192,False,4.5,0.5283,True,0,0.333,6.2,-6.3,0,0.0,0.0,0.0,7,0.429,10.1,-5.4,5,0.4,16.8,-4.4,Providence,4.5,0.5283,0,1.0,-2.0,1.0,Indiana,-4.5,0.5192,0,0.4,10.6,-6.2,Indiana,Providence,-4.5,4.5,0,0.493,4.6,-0.1,0,0.424,-4.2,-1.2,809,0.495,2.7,0.4,404,0.475,7.8,0.2,4.5,387,0.537,-4.8,1.6,-4.5,0,0.51,10.3,-0.1,Indiana,Providence,-4.5,4.5,0,0.499,4.6,-0.3,0,0.386,-4.6,-1.1,334,0.529,3.6,0.7,170,0.506,8.6,0.4,4.5,147,0.607,-2.8,2.6,-4.5,0,0.515,11.0,-0.2,122.0,239.0,122.0,239.0,Indiana,Providence,False
6,11,89.4,8:30 PM,Imperial Arena,4,Gonzaga,119,Davidson,Gonzaga,Davidson,-19.5,0.5238,False,19.5,0.5238,True,0,0.714,24.1,6.3,0,1.0,13.0,2.0,5,0.8,9.7,1.5,2,1.0,24.7,+4.0,Davidson,19.5,0.5238,0,0.5,-11.0,-0.5,Gonzaga,-19.5,0.5238,0,0.714,24.1,6.3,Gonzaga,Davidson,-19.5,19.5,0,0.527,14.2,1.2,0,0.502,9.3,1.3,714,0.534,6.4,0.5,288,0.535,14.2,0.5,19.5,218,0.5,-7.1,0.0,-19.5,0,0.522,15.5,1.1,Gonzaga,Davidson,-19.5,19.5,0,0.527,18.1,1.5,0,0.511,15.1,2.7,307,0.536,5.3,0.5,130,0.535,12.1,1.2,19.5,97,0.474,-6.5,-0.8,-19.5,0,0.535,18.9,1.8,104.0,66.0,104.0,66.0,Gonzaga,Davidson,False
7,14,88.2,8:00 PM,United Supermarkets Arena,134,N Colorado,24,Texas Tech,Northern Colorado,Texas Tech,22.5,0.5283,True,-22.5,0.5192,False,0,0.6,17.4,6.6,0,0.667,-1.7,8.0,6,0.333,23.2,-1.5,4,0.5,33.8,+2.3,N Colorado,22.5,0.5283,0,0.75,1.0,9.1,Texas Tech,-22.5,0.5192,0,0.333,23.2,-1.5,Northern Colorado,Texas Tech,22.5,-22.5,0,0.502,0.4,0.2,0,0.555,-6.1,1.4,796,0.472,2.9,-0.4,391,0.519,10.3,0.7,22.5,226,0.527,-6.9,1.1,-22.5,0,0.504,10.9,0.5,Northern Colorado,Texas Tech,22.5,-22.5,0,0.502,2.5,0.0,0,0.567,-2.9,1.9,330,0.485,7.2,0.7,169,0.533,14.4,1.6,22.5,133,0.512,-7.2,0.8,-22.5,0,0.493,12.7,0.8,191.0,298.0,298.0,191.0,Northern Colorado,Texas Tech,True
8,16,86.9,4:30 PM,Acrisure Arena,90,Santa Clara,100,Washington,Santa Clara,Washington,-1.5,0.5238,False,1.5,0.5238,True,0,0.429,3.3,0.3,0,0.0,-26.0,-18.5,5,0.2,6.5,-5.0,3,0.0,10.8,-8.7,Washington,1.5,0.5238,0,0.0,-10.0,-3.5,Santa Clara,-1.5,0.5238,0,0.4,6.4,-0.3,Santa Clara,Washington,-1.5,1.5,0,0.509,0.4,-0.3,0,0.53,-5.1,0.2,844,0.495,2.3,-0.1,426,0.475,7.6,-0.1,1.5,380,0.5,-7.7,-0.5,-1.5,0,0.478,6.6,-1.0,Santa Clara,Washington,-1.5,1.5,0,0.515,0.3,0.1,0,0.563,-4.9,1.0,322,0.481,0.5,-0.2,165,0.448,5.1,-0.8,1.5,171,0.485,-7.8,-0.6,-1.5,0,0.471,7.7,-0.2,269.0,348.0,269.0,348.0,Santa Clara,Washington,True
9,16,86.9,1:00 PM,Wide World of Sports Complex,98,Minnesota,92,Wake Forest,Minnesota,Wake Forest,2.5,0.5192,True,-2.5,0.5283,False,0,0.167,5.6,-4.1,0,0.0,0.0,0.0,8,0.125,3.6,-11.4,5,0.0,11.8,-15.7,Minnesota,2.5,0.5192,0,0.0,-2.0,0.0,Wake Forest,-2.5,0.5283,0,0.0,11.8,-15.7,Minnesota,Wake Forest,2.5,-2.5,0,0.481,2.0,-0.5,0,0.435,-7.0,-1.1,795,0.476,1.9,-0.2,387,0.519,8.1,0.8,2.5,412,0.463,-7.0,-0.2,-2.5,0,0.493,8.9,0.2,Minnesota,Wake Forest,2.5,-2.5,0,0.482,0.7,-0.3,0,0.425,-8.3,-1.1,313,0.485,0.4,0.0,155,0.52,5.8,0.5,2.5,173,0.45,-7.9,-0.7,-2.5,0,0.519,10.3,0.8,175.0,346.0,346.0,175.0,Minnesota,Wake Forest,True
