Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,97.9,9:00 PM,State Farm Center,37,Wisconsin,12,Illinois,Wisconsin,Wisconsin,Illinois,Illinois,+6.5,−108,True,-6.5,−112,False,Wisconsin,171-169-11,50.3%,6.0,0.1,56-56-4,50.0%,-0.2,0.1,Illinois,160-160-11,50.0%,5.2,0.4,80-74-7,52.0%,12.2,1.3,Wisconsin,+6.5,−108,57-47-6,54.8%,-2.2,2.4,Illinois,-6.5,−112,106-95-8,52.7%,11.1,0.6
2,97.3,9:00 PM,Madison Square Garden,36,Arkansas,22,Michigan,Arkansas,Arkansas,Michigan,Michigan,+4.5,−115,True,-4.5,−105,False,Arkansas,172-168-4,50.6%,5.5,0.1,55-52-0,51.4%,-2.9,-0.1,Michigan,178-166-2,51.7%,6.0,0.7,83-78-2,51.6%,11.1,0.0,Arkansas,+4.5,−115,54-59-0,47.8%,-6.6,-1.2,Michigan,-4.5,−105,125-109-1,53.4%,10.4,0.4
3,94.5,7:00 PM,Jersey Mike's Arena,25,Penn St,67,Rutgers,Penn State,Penn St.,Rutgers,Rutgers,N/A,N/A,False,N/A,N/A,False,Penn St,175-144-7,54.9%,2.4,1.1,56-51-3,52.3%,-4.9,0.7,Rutgers,150-154-6,49.3%,-0.4,-0.4,84-74-4,53.2%,6.2,0.5,Rutgers,N/A,N/A,91-91-1,50.0%,-8.8,-0.3,Penn St,N/A,N/A,76-77-5,49.7%,8.8,0.1
4,92.4,6:30 PM,Madison Square Garden,84,Miami,5,Tennessee,Miami FL,Miami-Florida,Tennessee,Tennessee,+15.5,−110,True,-15.5,−110,False,Miami,163-168-6,49.2%,3.4,-0.6,60-49-1,55.1%,-1.7,1.0,Tennessee,171-163-4,51.2%,7.4,0.8,81-79-3,50.6%,13.4,1.1,Miami,+15.5,−110,73-61-1,54.5%,-5.2,0.8,Tennessee,-15.5,−110,122-119-3,50.6%,11.1,0.3
5,89.6,8:30 PM,Wintrust Arena,81,Providence,79,Depaul,Providence,Providence,DePaul,DePaul,+1.5,−110,True,-1.5,−110,False,Providence,175-157-5,52.7%,3.6,0.7,63-44-2,58.9%,-1.7,1.9,Depaul,143-163-8,46.7%,-3.9,-0.7,79-89-3,47.0%,0.6,-0.8,Providence,+1.5,−110,89-58-2,60.5%,-2.8,2.6,Depaul,-1.5,−110,47-50-1,48.5%,8.5,-0.4
6,88.8,8:00 PM,Fertitta Center,123,Troy,4,Houston,,Troy,Houston,Houston,N/A,N/A,False,-27,−110,False,Troy,140-149-5,48.4%,1.1,-0.1,73-71-3,50.7%,-5.4,0.6,Houston,183-144-7,56.0%,12.4,2.4,91-59-6,60.7%,18.8,3.8,Houston,-27,−110,31-25-0,55.4%,-2.9,3.2,Troy,N/A,N/A,50-62-1,44.6%,3.9,-1.9
7,80.1,7:00 PM,Michael J. Hagan Arena,146,Col Charlestn,102,St Josephs,Charleston,Charleston,Saint Josephs,Saint Joseph'S,+8.5,−110,True,-8.5,−110,False,Col Charlestn,146-159-7,47.9%,4.1,0.0,62-61-2,50.4%,0.8,0.7,St Josephs,158-149-7,51.5%,-1.0,0.0,68-68-2,50.0%,3.2,-0.5,Col Charlestn,+8.5,−110,47-54-2,46.5%,-5.6,0.6,St Josephs,-8.5,−110,64-64-1,50.0%,6.1,-0.8
8,79.7,10:00 PM,Haas Pavilion,129,Cornell,121,California,Cornell,Cornell,California,California,+9.5,−112,True,-9.5,−108,False,Cornell,116-112-3,50.9%,-0.2,0.5,61-66-2,48.0%,-6.0,0.1,California,154-170-5,47.5%,-3.1,-1.3,84-88-4,48.8%,2.2,-0.6,Cornell,+9.5,−112,78-74-3,51.3%,-7.0,0.8,California,-9.5,−108,55-68-4,44.7%,7.0,-1.8
9,78.0,6:30 PM,Hinkle Fieldhouse,181,N Dakota St,64,Butler,North Dakota State,North Dakota State,Butler,Butler,+13.5,−115,True,-13.5,−105,False,N Dakota St,139-160-4,46.5%,3.2,-0.1,65-78-2,45.5%,-3.8,-0.2,Butler,165-159-5,50.9%,3.5,0.1,84-76-3,52.5%,10.1,1.0,N Dakota St,+13.5,−115,48-70-2,40.7%,-8.7,-1.0,Butler,-13.5,−105,100-85-3,54.1%,11.2,1.3
10,75.9,7:00 PM,Pizzitola Sports Center,89,Rhode Island,184,Brown,Rhode Island,Rhode Island,Brown,Brown,-4,−112,False,+4,−108,True,Rhode Island,146-167-2,46.7%,3.3,-0.3,50-67-1,42.7%,-0.9,-0.2,Brown,115-116-6,49.8%,-0.5,0.2,43-57-3,43.0%,3.8,-1.4,Brown,+4,−108,75-68-2,52.5%,-6.2,1.4,Rhode Island,-4,−112,97-99-1,49.5%,7.6,-0.2
11,69.5,7:00 PM,WVU Coliseum,239,Nc Central,51,W Virginia,North Carolina Central,North Carolina Central,West Virginia,West Virginia,N/A,N/A,False,-26.5,−108,False,Nc Central,115-82-5,58.4%,5.9,1.0,55-44-2,55.6%,-5.4,0.1,W Virginia,167-170-2,49.6%,5.3,0.1,86-75-0,53.4%,11.7,1.4,W Virginia,-26.5,−108,51-67-1,43.2%,-7.3,-1.2,Nc Central,N/A,N/A,61-41-2,59.8%,8.8,1.8
