Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-,all_games_ATS Record_numeric,equal_rest_ATS Record_numeric,four_plus_days_off_ATS Record_numeric,is_after_loss_ATS Record_numeric,is_after_win_ATS Record_numeric,is_away_ATS Record_numeric,is_dog_ATS Record_numeric,is_fav_ATS Record_numeric,is_home_ATS Record_numeric,no_rest_ATS Record_numeric,one_day_off_ATS Record_numeric,rest_advantage_ATS Record_numeric,rest_disadvantage_ATS Record_numeric,two_three_days_off_ATS Record_numeric,Home_Away_Advantage,Rest_Days_Advantage,Momentum_all_games_ATS Record_numeric_Last5,Matchup_Strength_Diff
Boston,510-427-20,1.0,0.8876404494382022,1.0,294-241-10,0.9696969696969697,0.8526315789473684,0.7727272727272727,23-14-1,0.7487046632124352,1.0,0.9787234042553192,195-156-4,0.918032786885246,0.9135802469135803,0.7419354838709677,308-268-15,1.0,0.8829787234042553,0.9199999999999999,253-199-8,1.0,0.9999999999999998,1.0,152-108-5,1.0,1.0,0.9999999999999999,354-317-15,0.8041237113402051,0.627450980392157,0.7200000000000002,242-217-11,0.7272727272727266,0.797872340425532,0.8,84-63-3,1.0000000000000004,0.9541284403669723,1.0,314-267-10,0.9629629629629628,0.8999999999999999,1.0,96-85-4,0.821138211382114,1.0,1.0,120-101-6,0.8636363636363642,0.9157894736842105,0.9428571428571428,89-83-6,0.7245508982035931,0.7766990291262136,0.625,93.0,58.0,9.5,41.0,47.5,58.0,46.5,44.5,30.5,22.5,52.0,13.0,22.0,9.0,-0.20212765957446777,0.08421052631578951,93.0,-0.37254901960784303
Okla City,446-409-14,0.7027027027027035,0.5280898876404494,0.5882352941176471,235-213-5,0.7171717171717171,0.5578947368421052,0.6818181818181819,16-12-1,0.616580310880829,0.6266666666666666,0.7340425531914895,193-191-9,0.4836065573770485,0.40740740740740744,0.4516129032258065,245-215-5,0.9764705882352942,0.648936170212766,0.72,217-202-6,0.5714285714285712,0.506024096385542,0.41666666666666663,209-178-10,0.6641791044776122,0.3090909090909091,0.3243243243243243,235-230-4,0.5670103092783503,0.6666666666666669,0.7200000000000002,221-199-8,0.7181818181818178,0.5851063829787234,1.0,75-70-3,0.6029411764705888,0.5045871559633027,0.5434782608695653,276-257-6,0.6913580246913575,0.5666666666666667,0.761904761904762,90-95-5,0.4715447154471546,0.5948275862068966,0.627906976744186,121-101-4,0.8818181818181827,0.5789473684210527,0.657142857142857,79-70-4,0.8023952095808387,0.6310679611650485,0.7857142857142858,44.0,24.5,4.5,6.5,32.5,18.0,36.0,7.0,26.0,6.5,22.0,-2.5,22.0,11.0,0.0790822865931814,0.01588021778584392,68.5,0.35757575757575777
Philadelphia,451-415-17,0.6891891891891904,0.3932584269662921,0.6470588235294118,254-205-8,1.0,0.5157894736842106,0.9090909090909092,15-15-0,0.4326424870466321,0.6199999999999999,0.7553191489361704,227-196-9,0.7622950819672134,0.19753086419753085,0.6451612903225806,219-213-8,0.6705882352941179,0.6170212765957446,0.6,209-217-11,0.2959183673469381,0.3734939759036144,0.5,216-213-8,0.3955223880597014,0.09090909090909083,0.3243243243243243,232-198-9,0.9278350515463911,0.627450980392157,0.8000000000000002,238-189-6,1.0,0.44680851063829785,0.9200000000000002,71-74-4,0.4044117647058827,0.39449541284403666,0.5869565217391305,285-240-9,1.0,0.4888888888888889,1.0,93-106-2,0.30894308943089444,0.3017241379310345,0.34883720930232553,104-104-7,0.47272727272727355,0.4631578947368421,0.7714285714285714,80-86-4,0.5149700598802398,0.34951456310679613,0.48214285714285715,44.5,53.0,0.0,35.5,10.0,-2.5,7.0,38.5,52.0,-1.0,49.5,-12.0,3.5,-4.0,0.07331453473468347,-0.16143375680580763,60.5,0.5365418894830661
Indiana,434-410-18,0.5945945945945947,0.4382022471910112,0.6470588235294118,244-229-10,0.6262626262626263,0.5052631578947369,0.7272727272727273,19-12-0,0.7253886010362693,0.7666666666666666,0.6702127659574469,226-189-9,0.8278688524590159,0.6296296296296297,0.903225806451613,201-217-9,0.36470588235294166,0.3085106382978723,0.23999999999999988,212-208-6,0.43877551020408134,0.4337349397590361,0.5,220-205-9,0.5,0.5636363636363636,0.4864864864864864,210-201-9,0.6288659793814428,0.3137254901960783,0.56,215-194-12,0.7181818181818178,0.47872340425531923,0.9600000000000002,70-77-2,0.3014705882352944,0.4311926605504587,0.5,269-262-11,0.5555555555555554,0.4444444444444444,0.7142857142857144,100-88-5,0.8373983739837394,0.5689655172413793,0.8604651162790697,90-93-3,0.40000000000000124,0.33684210526315794,0.4571428571428571,76-59-5,1.0,0.6213592233009708,1.0,33.0,20.0,7.0,41.5,-11.5,7.0,19.5,13.5,27.0,-6.0,12.5,14.5,-1.5,19.5,0.04498846449628313,0.2321234119782214,53.625,-0.24991087344028529
Miami,455-430-23,0.5945945945945947,0.4943820224719101,0.5294117647058824,250-243-10,0.5353535353535355,0.5578947368421052,0.6363636363636364,21-10-0,0.8911917098445596,0.9199999999999999,1.0,226-173-10,1.0,0.7407407407407408,0.967741935483871,224-251-13,0.25882352941176556,0.34042553191489355,0.15999999999999992,235-197-8,0.8367346938775508,0.5783132530120481,0.8333333333333334,212-185-6,0.6194029850746268,0.6727272727272727,0.6486486486486486,241-244-17,0.48453608247422686,0.17647058823529416,0.2800000000000001,199-223-15,0.22727272727272663,0.43617021276595747,0.3200000000000001,74-60-7,0.8602941176470593,0.5504587155963302,0.673913043478261,271-289-14,0.27160493827160437,0.4555555555555555,0.4761904761904762,108-102-6,0.6910569105691051,0.5689655172413793,0.6511627906976745,97-85-7,0.7727272727272734,0.43157894736842106,0.6,89-71-2,0.9580838323353298,0.6407766990291262,0.8214285714285714,36.5,12.0,11.0,58.0,-20.5,42.0,30.0,5.5,-16.5,17.5,-11.0,9.0,15.5,19.0,-0.1421430402460906,0.13738656987295828,50.2,-0.4962566844919786
Utah,434-411-21,0.5945945945945947,0.6404494382022472,0.7058823529411764,239-211-9,0.7777777777777777,0.7157894736842105,1.0,13-14-1,0.38601036269430056,0.6666666666666665,0.4893617021276596,187-195-9,0.3770491803278686,0.5308641975308642,0.2903225806451613,242-210-12,1.0,0.7553191489361701,1.0,215-205-8,0.5102040816326534,0.6024096385542168,0.5,179-168-7,0.4850746268656718,0.4363636363636363,0.4054054054054054,251-241-14,0.6185567010309274,0.6862745098039217,0.7200000000000002,213-196-13,0.672727272727272,0.7127659574468086,0.9600000000000002,73-70-7,0.5588235294117649,0.7431192660550457,0.7608695652173914,275-246-8,0.814814814814814,0.6666666666666666,1.0,95-104-5,0.39024390243902474,0.6379310344827587,0.41860465116279066,100-96-7,0.5636363636363644,0.6,0.6285714285714286,73-81-5,0.46706586826347296,0.6116504854368932,0.48214285714285715,33.5,32.5,-0.5,-3.5,38.0,14.0,14.5,17.0,23.5,6.5,33.0,-6.5,7.5,-5.5,0.11035631889259179,0.037931034482758696,38.3,0.2499108734402854
Dallas,442-419-20,0.5810810810810816,0.47191011235955055,0.6470588235294118,249-226-11,0.7070707070707067,0.5368421052631579,1.0,12-18-0,0.1735751295336787,0.33333333333333326,0.34042553191489366,230-186-12,0.8934426229508192,0.654320987654321,1.0,207-227-8,0.31764705882353006,0.3723404255319149,0.23999999999999988,230-195-8,0.8061224489795915,0.542168674698795,0.875,220-204-9,0.5074626865671643,0.5818181818181818,0.5405405405405405,219-211-11,0.608247422680412,0.37254901960784326,0.5200000000000001,206-215-11,0.38181818181818095,0.45744680851063835,0.6400000000000001,74-71-4,0.5514705882352944,0.5321100917431192,0.7608695652173914,284-250-12,0.8641975308641978,0.5555555555555555,0.9047619047619049,90-95-4,0.4715447154471546,0.560344827586207,0.5116279069767442,103-98-5,0.5818181818181829,0.4526315789473685,0.5428571428571428,72-80-4,0.46706586826347296,0.46601941747572817,0.6071428571428572,33.0,28.5,-6.0,50.0,-16.0,39.0,20.5,13.5,-3.5,5.0,40.0,-3.0,7.5,-6.0,-0.08472186618815669,0.10771324863883847,36.1,-0.20926916221033853
Golden State,473-456-21,0.5270270270270272,1.0,0.47058823529411764,260-252-9,0.545454545454545,0.9999999999999999,0.6363636363636364,17-19-0,0.36010362694300535,0.7999999999999999,0.4361702127659575,161-150-4,0.6065573770491799,1.0,0.7741935483870968,307-300-17,0.658823529411765,1.0,0.3999999999999999,226-235-9,0.2857142857142856,0.9999999999999998,0.3333333333333333,113-112-2,0.38059701492537323,0.4181818181818182,0.27027027027027023,359-342-19,0.6391752577319592,1.0,0.6800000000000002,246-221-12,0.7272727272727266,1.0,0.8,76-72-5,0.5808823529411766,0.9999999999999999,0.5652173913043479,269-271-10,0.44444444444444375,1.0,0.7142857142857144,112-108-8,0.6504065040650406,0.9396551724137931,0.5116279069767442,101-96-4,0.5909090909090908,1.0,0.6,111-94-6,0.8742514970059885,1.0,0.6428571428571429,27.5,12.5,-2.0,13.0,15.5,-4.5,2.0,26.5,31.0,6.5,3.0,8.0,7.0,20.0,2.220446049250313e-16,-0.06034482758620685,32.7,0.5818181818181818
Memphis,433-418-13,0.5270270270270272,0.33707865168539325,0.5882352941176471,227-232-8,0.41414141414141437,0.4105263157894737,0.7727272727272727,9-17-0,0.03367875647668406,0.2666666666666666,0.11702127659574468,214-206-6,0.5409836065573765,0.2962962962962963,0.4838709677419355,216-204-7,0.7529411764705882,0.42553191489361697,0.7999999999999999,204-216-6,0.24489795918367285,0.33734939759036137,0.41666666666666663,229-226-5,0.3880597014925371,0.34545454545454546,0.4054054054054054,199-191-8,0.6185567010309274,0.2941176470588235,0.5200000000000001,226-196-7,0.8090909090909086,0.3617021276595745,0.8800000000000001,80-74-0,0.625,0.4220183486238531,0.5217391304347827,268-247-8,0.716049382716049,0.38888888888888884,0.9047619047619049,101-100-4,0.6016260162601625,0.4655172413793104,0.5813953488372093,105-86-1,0.9272727272727277,0.2842105263157895,0.6,76-80-5,0.544910179640719,0.4174757281553398,0.6964285714285715,21.5,-1.0,-8.0,11.0,15.5,-9.0,5.5,12.0,33.5,6.0,25.0,3.0,19.5,-1.5,0.024352730069213124,0.18130671506352086,30.4,-0.051336898395721975
LA Clippers,450-437-7,0.5000000000000009,0.7303370786516854,0.5294117647058824,229-214-4,0.6363636363636367,0.736842105263158,0.8181818181818182,23-9-0,1.0,0.7666666666666666,0.8191489361702129,180-176-2,0.5081967213114753,0.7777777777777779,0.4838709677419355,261-259-5,0.6117647058823534,0.7127659574468085,0.6,226-203-5,0.6632653061224492,0.8313253012048192,0.875,148-153-1,0.30597014925373145,0.5090909090909091,0.3513513513513513,301-280-6,0.7010309278350508,0.6470588235294118,0.6800000000000002,212-225-2,0.3454545454545448,0.6382978723404256,0.44000000000000006,76-81-1,0.3602941176470589,0.8990825688073394,0.8695652173913044,272-262-4,0.5802469135802468,0.7555555555555555,0.8095238095238096,109-106-2,0.6341463414634143,0.706896551724138,0.39534883720930236,112-117-1,0.372727272727273,0.7894736842105263,0.6285714285714286,79-85-2,0.5149700598802398,0.5825242718446602,0.26785714285714285,16.5,17.0,14.0,5.0,4.5,25.5,-4.5,24.0,-12.0,-4.5,12.0,4.0,-4.5,-5.0,-0.1930274288643936,-0.08257713248638832,26.4,0.13796791443850265
