Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-,all_games_ATS Record_numeric,equal_rest_ATS Record_numeric,four_plus_days_off_ATS Record_numeric,is_after_loss_ATS Record_numeric,is_after_win_ATS Record_numeric,is_away_ATS Record_numeric,is_dog_ATS Record_numeric,is_fav_ATS Record_numeric,is_home_ATS Record_numeric,no_rest_ATS Record_numeric,one_day_off_ATS Record_numeric,rest_advantage_ATS Record_numeric,rest_disadvantage_ATS Record_numeric,two_three_days_off_ATS Record_numeric,Home_Away_Advantage,Rest_Days_Advantage,Momentum_all_games_ATS Record_numeric_Last5,Matchup_Strength_Diff
Cleveland,18-7-0,1.0,0.9288256227758006,0.748091603053435,11-5-0,0.818770226537217,0.8938356164383561,0.6745562130177515,1-0-0,1.0,0.9166666666666666,0.9122807017543859,2-1-0,0.6419965576592083,0.676923076923077,0.47674418604651164,15-6-0,0.9999999999999999,0.9240924092409242,0.8010471204188481,7-4-0,0.7803468208092486,0.806122448979592,0.6702702702702703,3-0-0,1.0,0.5608974358974359,0.5986394557823129,15-7-0,0.9093333333333334,0.9602169981916818,0.9136960600375236,11-3-0,0.8246153846153845,0.9569536423841059,0.7744360902255638,3-2-0,0.6,0.720879120879121,0.45192307692307687,13-4-0,0.9384885764499122,0.9700854700854701,0.769736842105263,2-2-0,0.3997599039615847,0.7737704918032787,0.19786096256684493,5-0-0,1.0,0.8920634920634921,0.7525083612040133,1-1-0,0.5,0.6490683229813664,0.09649122807017535,11.0,6.0,1.0,1.0,9.0,3.0,3.0,8.0,8.0,1.0,9.0,0.0,5.0,0.0,0.1508311934045139,-0.11829300026021339,11.0,0.3993195622942459
Memphis,17-8-0,0.9078341013824885,0.8861209964412811,1.0,10-6-0,0.7168284789644015,0.8527397260273972,0.8165680473372782,0-1-0,0.0,0.5277777777777778,0.49122807017543857,7-1-0,0.9999999999999999,0.7476923076923077,0.9651162790697675,10-6-0,0.8550488599348532,0.9273927392739274,0.9999999999999999,7-4-0,0.7803468208092486,0.8265306122448981,1.0,6-2-0,0.75,0.5865384615384616,0.6700680272108844,11-6-0,0.8626666666666668,0.972875226039783,0.9718574108818012,10-4-0,0.713846153846154,0.8675496688741722,0.8571428571428571,4-0-0,1.0,0.9120879120879122,0.9679487179487178,11-7-0,0.6678383128295255,0.8717948717948718,0.8223684210526315,2-2-0,0.3997599039615847,0.5836065573770493,0.26737967914438504,5-0-0,1.0,0.9619047619047619,1.0,2-0-0,1.0,0.6956521739130433,0.6798245614035088,9.0,4.0,-1.0,6.0,4.0,3.0,4.0,5.0,6.0,4.0,4.0,0.0,5.0,2.0,0.041019056629274075,-0.3782982045277127,10.0,0.3863367645013215
Toronto,16-8-0,0.8778801843317973,0.4021352313167259,0.7404580152671756,9-5-0,0.7459546925566345,0.35616438356164387,0.6213017751479291,0-1-0,0.0,0.08333333333333337,0.08771929824561409,12-4-0,0.7848537005163511,0.4584615384615385,0.8895348837209303,4-3-0,0.767100977198697,0.3333333333333333,0.7172774869109947,7-5-0,0.6782273603082851,0.4013605442176872,0.7783783783783784,16-8-0,0.667,0.3621794871794872,0.5204081632653061,0,0.0,0.759493670886076,0.8630393996247656,9-3-0,0.7692307692307694,0.3973509933774835,0.6466165413533834,4-1-0,0.8,0.3824175824175824,0.548076923076923,10-4-0,0.8488576449912129,0.41880341880341876,0.8157894736842104,2-1-0,0.6002400960384154,0.6229508196721312,0.7112299465240641,5-2-0,0.7140000000000001,0.3238095238095239,0.5852842809364548,2-2-0,0.5,0.4844720496894409,0.6140350877192982,8.0,4.0,-1.0,8.0,1.0,2.0,8.0,0.0,6.0,3.0,6.0,1.0,3.0,0.0,-0.004009550840203713,0.2991412958626073,9.333333333333334,0.3973141837065888
Houston,16-8-0,0.8778801843317973,0.8256227758007116,0.8244274809160306,9-6-0,0.6763754045307444,0.8356164383561644,0.7100591715976332,0-1-0,0.0,0.4305555555555556,0.2719298245614035,6-2-0,0.7848537005163511,0.7723076923076924,0.9360465116279071,10-5-0,0.9234527687296415,0.8415841584158417,0.8638743455497381,7-5-0,0.6782273603082851,0.7040816326530613,0.7513513513513514,5-2-0,0.7140000000000001,0.5096153846153847,0.5374149659863946,11-6-0,0.8626666666666668,0.9421338155515371,0.9418386491557225,9-3-0,0.7692307692307694,0.8940397350993377,0.8421052631578947,3-2-0,0.6,0.5802197802197803,0.30769230769230765,9-5-0,0.7240773286467486,0.9529914529914529,0.9539473684210525,3-0-0,1.0000000000000002,0.7311475409836066,0.8823529411764706,4-2-0,0.667,0.653968253968254,0.5451505016722408,4-0-0,1.0,0.8043478260869564,0.8552631578947367,8.0,3.0,-1.0,4.0,5.0,2.0,3.0,5.0,6.0,1.0,4.0,3.0,2.0,4.0,0.1899581024462763,0.0771792870153526,9.0,0.4325184309361524
Brooklyn,15-8-1,0.8433179723502305,0.4412811387900355,0.748091603053435,6-5-1,0.5889967637540454,0.3767123287671233,0.591715976331361,1-0-0,1.0,0.4444444444444444,0.543859649122807,8-4-1,0.6419965576592083,0.4646153846153846,0.8953488372093024,6-4-0,0.8143322475570031,0.3927392739273927,0.6544502617801047,9-3-1,1.0,0.49319727891156473,0.9135135135135135,13-6-1,0.684,0.3782051282051282,0.5646258503401361,2-2-0,0.6666666666666667,0.7450271247739603,0.8161350844277675,6-5-0,0.45538461538461544,0.380794701986755,0.44360902255639095,4-1-0,0.8,0.49230769230769234,0.6666666666666665,8-6-1,0.5975395430579966,0.3846153846153846,0.6710526315789473,5-2-0,0.6566626650660264,0.4032786885245902,0.5401069518716577,4-1-0,0.8,0.5428571428571429,0.7123745819397993,2-1-0,0.667,0.3540372670807453,0.4605263157894736,7.5,1.5,1.0,4.5,2.0,6.5,7.5,0.0,1.0,3.0,2.5,3.0,3.0,1.0,-0.1124025769248097,-0.13957845433255273,8.7,0.3668219965688321
LA Clippers,16-9-0,0.815668202764977,0.6227758007117437,0.7633587786259541,8-3-0,0.881877022653722,0.6061643835616438,0.7455621301775148,1-0-0,1.0,0.4583333333333333,0.5350877192982456,5-5-0,0.3545611015490533,0.49846153846153846,0.6104651162790697,10-4-0,0.9999999999999999,0.702970297029703,0.9267015706806281,7-3-0,0.9036608863198459,0.6224489795918369,0.8810810810810812,10-7-0,0.588,0.38141025641025644,0.46258503401360546,6-2-0,1.0,1.0,1.0000000000000002,9-6-0,0.5384615384615385,0.5860927152317881,0.5864661654135338,2-4-0,0.33299999999999996,0.33406593406593404,0.26602564102564097,12-3-0,1.0,0.811965811965812,0.9999999999999999,4-3-0,0.4849939975990396,0.6131147540983607,0.4652406417112299,4-3-0,0.5710000000000001,0.5460317460317461,0.5953177257525083,1-2-0,0.33299999999999996,0.531055900621118,0.41666666666666663,7.0,5.0,1.0,0.0,6.0,4.0,3.0,4.0,3.0,-2.0,9.0,1.0,1.0,-1.0,-0.036356264360048796,0.0670830080666146,7.9,0.6185897435897436
Golden State,14-9-0,0.7442396313364056,0.7544483985765124,0.7404580152671756,12-3-0,1.0000000000000002,0.8801369863013698,1.0,1-0-0,1.0,1.0,1.0,7-2-0,0.8330464716006883,0.6584615384615384,0.8546511627906976,6-7-0,0.5895765472312703,0.6996699669966997,0.6387434554973821,7-5-0,0.6782273603082851,0.8129251700680273,0.8594594594594596,7-3-0,0.7000000000000001,0.5032051282051282,0.5408163265306123,7-6-0,0.7186666666666667,0.925858951175407,0.9080675422138839,7-4-0,0.5938461538461539,0.6456953642384106,0.5112781954887218,1-2-0,0.33299999999999996,0.43956043956043955,0.22115384615384612,10-4-0,0.8488576449912129,0.8247863247863247,0.8157894736842104,2-4-0,0.19927971188475388,0.5016393442622952,0.09090909090909094,0-2-0,0.0,0.1206349206349207,0.0,2-3-0,0.4,0.5776397515527949,0.43421052631578944,5.0,9.0,1.0,5.0,-1.0,2.0,4.0,1.0,3.0,-1.0,6.0,-2.0,-2.0,-1.0,-0.16722980582961677,0.38100442362737447,7.1,0.42265382297027876
Dallas,14-9-1,0.7442396313364056,0.8505338078291814,0.8015267175572519,7-4-1,0.7346278317152106,0.8184931506849316,0.7396449704142012,1-0-0,1.0,0.6527777777777778,0.543859649122807,4-3-1,0.4767641996557659,0.7876923076923077,0.7848837209302326,9-6-0,0.8143322475570031,0.8316831683168318,0.8586387434554973,7-5-1,0.6782273603082851,0.7585034013605443,0.7675675675675676,5-2-1,0.7140000000000001,0.625,0.6564625850340137,9-7-0,0.7506666666666667,0.9385171790235082,0.902439024390244,7-4-0,0.5938461538461539,0.9039735099337748,0.7819548872180451,4-1-0,0.8,0.6021978021978022,0.5416666666666666,6-8-1,0.3479789103690685,0.8760683760683761,0.6842105263157894,2-1-0,0.6002400960384154,0.8721311475409836,0.49732620320855614,5-4-0,0.556,0.7428571428571429,0.5986622073578595,3-0-0,1.0,0.996894409937888,0.9122807017543859,5.5,3.5,1.0,1.5,3.0,2.5,3.5,2.0,3.0,3.0,-1.5,1.0,1.0,3.0,0.1454701085732305,0.12927400468384076,6.6,0.3135171790235082
Okla City,14-9-0,0.7442396313364056,0.9999999999999999,0.8167938931297709,9-3-0,0.9190938511326863,1.0,0.834319526627219,2-0-0,1.0,0.75,0.8035087719298246,2-3-0,0.18244406196213425,0.8584615384615384,0.6395348837209303,11-6-0,0.8908794788273614,1.0,0.8638743455497381,8-4-0,0.8400770712909442,1.0000000000000002,0.9027027027027028,1-0-0,1.0,1.0,1.0,13-9-0,0.788,0.972875226039783,0.9249530956848031,6-5-0,0.45538461538461544,0.9304635761589404,0.6015037593984962,2-2-0,0.5,0.8197802197802198,0.5448717948717948,10-6-0,0.6924428822495607,1.0,0.6907894736842104,3-2-0,0.5198079231692677,1.0,0.6310160427807486,2-4-0,0.33299999999999996,0.780952380952381,0.46822742474916385,0-1-0,0.0,0.9751552795031054,0.4605263157894736,5.0,6.0,2.0,-1.0,5.0,4.0,1.0,4.0,1.0,0.0,4.0,1.0,-2.0,-1.0,-0.06953642384105985,0.21904761904761905,6.0,-0.027124773960216952
Charlotte,14-10-0,0.684331797235023,0.38078291814946613,0.6259541984732824,9-7-0,0.6165048543689322,0.29109589041095896,0.5266272189349113,1-0-0,1.0,0.5694444444444444,0.7280701754385965,9-8-0,0.40447504302925985,0.3046153846153846,0.5581395348837209,4-2-0,0.9234527687296415,0.48514851485148514,0.869109947643979,6-4-0,0.7109826589595376,0.3027210884353742,0.5783783783783785,14-9-0,0.609,0.3269230769230769,0.47278911564625853,0-1-0,0.0,0.8499095840867993,0.8348968105065667,8-6-0,0.4938461538461539,0.42052980132450335,0.6466165413533834,3-2-0,0.6,0.3912087912087912,0.4871794871794871,9-6-0,0.6485061511423551,0.23504273504273504,0.5526315789473684,3-1-0,0.6998799519807923,0.5344262295081967,0.49732620320855614,2-2-0,0.5,0.4222222222222223,0.6020066889632106,1-2-0,0.33299999999999996,0.6024844720496894,0.5175438596491228,4.0,2.0,1.0,1.0,2.0,2.0,5.0,-1.0,2.0,1.0,3.0,2.0,0.0,-1.0,0.11780871288912914,0.11220400728597446,5.3,0.5229865071637223
