Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-,all_games_ATS Record_numeric,equal_rest_ATS Record_numeric,four_plus_days_off_ATS Record_numeric,is_after_loss_ATS Record_numeric,is_after_win_ATS Record_numeric,is_away_ATS Record_numeric,is_dog_ATS Record_numeric,is_fav_ATS Record_numeric,is_home_ATS Record_numeric,no_rest_ATS Record_numeric,one_day_off_ATS Record_numeric,rest_advantage_ATS Record_numeric,rest_disadvantage_ATS Record_numeric,two_three_days_off_ATS Record_numeric,Home_Away_Advantage,Rest_Days_Advantage,Momentum_all_games_ATS Record_numeric_Last5,Matchup_Strength_Diff
Mercyhurst,2-0-0,1.0,0.6,1.0,2-0-0,1.0,0.5555555555555556,1.0,1-0-0,1.0,0.3284671532846716,0.8461538461538461,1-0-0,1.0,0.6496519721577726,1.0,0-0-0,0.0,0.9999999999999998,0.6617647058823529,2-0-0,0.9999999999999999,0.43764172335600915,1.0,2-0-0,0.9999999999999999,0.8185053380782918,1.0,0,0.0,0.21338912133891214,0.47826086956521735,0-0-0,0.0,0.9999999999999998,0.36666666666666664,0,0.0,0.631578947368421,0.5727554179566564,1-0-0,1.0000000000000002,0.7052896725440805,1.0,0-0-0,0.0,1.0,0.3680555555555556,0-0-0,0.0,0.14888337468982632,0.3389830508474576,0-0-0,0.0,1.0,0.3904761904761904,2.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5623582766439906,0.8511166253101736,2.0,-0.6051162167393798
Le Moyne,18-12-1,0.34426229508196726,0.6446808510638298,0.7068965517241379,8-10-0,0.444,0.6149425287356322,0.5950920245398773,9-4-0,0.6920000000000001,0.6843065693430658,1.0,9-5-1,0.44822256568778973,0.6844547563805103,0.6026490066225166,8-6-0,0.9548494983277592,0.29972752043596723,0.8823529411764706,11-8-1,0.34525660964230165,0.4580498866213152,0.6206896551724138,12-9-1,0.3035714285714286,0.7295373665480427,0.5431034482758621,6-3-0,0.667,0.7615062761506277,1.0,7-4-0,0.9394387001477105,0.6677215189873417,1.0,0,0.0,0.631578947368421,0.5727554179566564,3-6-1,0.2115839243498818,0.5919395465994961,0.46,4-1-0,1.0,0.9086757990867581,1.0,6-1-1,0.8570000000000001,0.3002481389578164,0.9999999999999999,6-2-0,0.9003601440576231,0.5546558704453441,1.0,6.5,-2.0,5.0,4.5,2.0,3.5,3.5,3.0,3.0,0.0,-2.5,3.0,5.5,4.0,0.20967163236602648,0.6084276601289418,4.25,0.03196890960258503
St. Thomas,51-37-2,0.3114754098360656,0.7042553191489361,0.5258620689655172,38-19-2,0.667,0.7241379310344828,0.7975460122699387,16-20-0,0.444,0.6715328467153285,0.6538461538461539,21-17-2,0.3091190108191654,0.6403712296983758,0.32450331125827814,28-19-0,0.9966555183946488,0.3978201634877383,0.8529411764705882,24-21-2,0.2737169517884913,0.5510204081632654,0.37931034482758624,23-20-2,0.2451298701298702,0.8220640569395018,0.5431034482758621,28-17-0,0.622,0.5062761506276151,0.5714285714285714,19-14-0,0.8508124076809453,0.6170886075949367,0.6888888888888889,7-1-0,0.875,0.7052631578947368,0.8049535603715171,15-10-2,0.5271867612293145,0.6448362720403022,0.43,3-7-0,0.375,0.7990867579908676,0.11805555555555558,10-11-0,0.47600000000000003,0.4689826302729529,0.17796610169491525,13-6-0,0.8211284513805523,0.6740890688259109,0.819047619047619,15.0,20.0,-4.0,5.0,9.0,4.0,4.0,11.0,5.0,6.0,6.0,-4.0,-1.0,7.0,0.0660681994316713,0.3301041277179147,7.833333333333333,-0.3157879063118867
NC Central,111-81-3,0.30819672131147535,0.7404255319148936,0.45689655172413796,62-48-2,0.564,0.7088122605363985,0.6073619631901841,43-31-0,0.5810000000000001,0.7317518248175183,0.8846153846153846,46-28-2,0.4157650695517775,0.6960556844547563,0.32450331125827814,60-49-1,0.9214046822742474,0.47411444141689363,0.7058823529411764,53-43-2,0.30326594090202175,0.5374149659863946,0.37931034482758624,50-39-1,0.2889610389610391,0.6832740213523132,0.3879310344827586,61-41-2,0.598,0.5815899581589958,0.5900621118012421,36-25-1,0.8714918759231906,0.8037974683544302,0.5666666666666667,9-7-0,0.563,0.6605263157894736,0.5325077399380805,33-27-0,0.46808510638297873,0.707808564231738,0.33499999999999996,22-14-0,0.76375,0.8287671232876713,0.513888888888889,27-19-1,0.5870000000000001,0.5086848635235732,0.3813559322033898,26-16-3,0.7430972388955582,0.6518218623481782,0.5619047619047619,31.5,15.0,12.0,19.0,11.5,11.0,11.5,21.0,11.5,2.0,6.0,8.0,8.5,11.5,0.2663825023680356,0.3200822597640981,13.75,-0.10168406319331735
Sam Hous St,117-86-5,0.30491803278688523,0.7553191489361702,0.5086206896551725,59-45-2,0.5670000000000001,0.7298850574712643,0.6441717791411044,42-26-2,0.618,0.7791970802919709,0.8846153846153846,40-28-1,0.3632148377125193,0.6728538283062644,0.2582781456953643,75-56-4,0.9581939799331103,0.46321525885558573,0.9117647058823529,61-43-3,0.35769828926905134,0.6122448979591837,0.4913793103448276,50-45-2,0.23051948051948057,0.7651245551601424,0.4137931034482759,66-40-3,0.623,0.6276150627615064,0.639751552795031,41-26-1,0.9039881831610044,0.6898734177215188,0.6222222222222222,5-10-0,0.33299999999999996,0.5499999999999999,0.5386996904024768,20-11-1,0.5803782505910166,0.7229219143576826,0.495,22-20-0,0.655,0.7739726027397261,0.3819444444444445,36-21-3,0.632,0.6104218362282879,0.559322033898305,50-39-2,0.674669867947179,0.6133603238866396,0.48571428571428565,33.5,15.0,17.0,12.5,21.0,19.5,6.0,27.5,15.5,-5.0,9.5,2.0,16.5,12.0,0.07762851976233509,0.16355076651143818,17.7,-0.13750949239863608
Yale,130-100-8,0.28688524590163933,0.7680851063829788,0.4913793103448276,88-70-6,0.557,0.7662835249042146,0.5950920245398773,66-40-4,0.623,0.8029197080291972,0.9,32-30-1,0.2519319938176199,0.7192575406032482,0.25165562913907286,93-68-7,0.9665551839464882,0.45776566757493176,0.8235294117647058,67-53-5,0.31259720062208385,0.6870748299319728,0.47413793103448276,33-37-3,0.14123376623376627,0.7580071174377224,0.33620689655172414,97-61-5,0.614,0.6317991631799164,0.6211180124223602,43-38-3,0.7843426883308715,0.6613924050632911,0.45555555555555555,30-25-1,0.546,0.7947368421052632,0.5882352941176471,11-7-1,0.5401891252955083,0.8236775818639798,0.44,18-15-1,0.6825000000000001,0.7716894977168951,0.5347222222222222,24-15-1,0.615,0.684863523573201,0.5932203389830508,23-28-2,0.5414165666266507,0.5526315789473684,0.3428571428571428,34.0,21.0,28.0,2.5,28.5,16.5,-2.5,38.5,6.5,5.5,4.5,3.5,9.5,-4.0,-0.025682424868681664,0.08682597414369408,24.1,-0.12620795425780607
E Washingtn,170-131-3,0.28688524590163933,0.7127659574468085,0.5,106-88-3,0.546,0.7337164750957854,0.6196319018404908,73-60-1,0.549,0.7171532846715329,0.8,62-44-1,0.3585780525502319,0.6078886310904872,0.3973509933774835,105-82-2,0.939799331103679,0.438692098092643,0.7794117647058824,95-69-2,0.34525660964230165,0.5986394557823129,0.5,74-56-1,0.3003246753246753,0.7900355871886121,0.4913793103448276,93-75-2,0.554,0.5606694560669456,0.5652173913043478,58-48-1,0.8079763663220089,0.6139240506329113,0.5888888888888888,10-6-0,0.625,0.7447368421052631,0.6191950464396285,57-44-1,0.48463356973995275,0.7027707808564231,0.46,34-26-0,0.7087500000000001,0.6575342465753425,0.5069444444444444,30-17-0,0.638,0.5384615384615385,0.5847457627118644,30-21-1,0.7058823529411765,0.5607287449392713,0.5428571428571428,40.5,19.5,13.5,18.5,24.0,27.0,18.5,19.0,10.5,4.0,13.5,8.0,13.0,9.5,0.01528459485059841,0.119072708113804,30.9,-0.22936613112166648
Furman,159-123-5,0.28524590163934427,0.774468085106383,0.4827586206896552,110-72-0,0.604,0.7758620689655172,0.656441717791411,40-30-0,0.5710000000000001,0.7992700729927008,0.7307692307692307,51-42-2,0.3013910355486862,0.6890951276102087,0.2450331125827815,107-80-3,0.9565217391304348,0.4768392370572206,0.8823529411764706,73-62-3,0.286158631415241,0.6825396825396826,0.47413793103448276,45-39-2,0.24675324675324684,0.7900355871886121,0.4224137931034483,112-83-3,0.574,0.6527196652719666,0.577639751552795,71-44-2,0.9113737075332349,0.6455696202531644,0.5888888888888888,6-9-0,0.4,0.6499999999999999,0.5386996904024768,26-23-1,0.4456264775413712,0.7178841309823677,0.41,29-30-1,0.6150000000000001,0.7214611872146119,0.36111111111111116,20-21-4,0.488,0.6228287841191068,0.47457627118644063,87-61-4,0.7058823529411765,0.631578947368421,0.5904761904761904,38.5,38.0,10.0,10.0,28.5,12.5,7.0,30.5,28.0,-3.0,3.5,-0.5,1.0,28.0,-0.03697006228651811,0.09863240309550514,35.6,-0.13731592191664554
Nevada,179-139-6,0.2836065573770491,0.7297872340425532,0.4655172413793104,94-72-4,0.5660000000000001,0.7394636015325671,0.5705521472392638,48-34-2,0.585,0.7627737226277373,0.8153846153846154,54-48-1,0.27202472952086554,0.5962877030162412,0.19867549668874174,117-88-5,0.9548494983277592,0.46321525885558573,0.8676470588235294,64-56-3,0.2737169517884913,0.6417233560090703,0.4051724137931035,51-49-1,0.20454545454545459,0.804270462633452,0.3879310344827586,127-90-5,0.585,0.6192468619246863,0.577639751552795,86-56-3,0.8951255539143279,0.5221518987341771,0.5888888888888888,12-8-0,0.6,0.6921052631578947,0.5975232198142415,16-10-1,0.5449172576832152,0.7556675062972291,0.52,44-38-2,0.6712500000000001,0.5616438356164384,0.4375,41-29-0,0.5860000000000001,0.7518610421836229,0.6271186440677965,103-87-3,0.6506602641056424,0.5688259109311741,0.4666666666666666,43.0,24.0,15.0,6.5,31.5,9.5,2.5,39.5,31.5,4.0,6.5,7.0,12.0,17.5,-0.11957145727489316,-0.19021720656718455,37.9,-0.18502360070876578
Houston,180-141-7,0.2803278688524591,0.8787234042553191,0.5775862068965517,82-58-2,0.5860000000000001,0.89272030651341,0.7607361963190185,52-39-3,0.5710000000000001,0.9142335766423358,0.8769230769230769,35-31-0,0.27357032457496144,0.7563805104408352,0.337748344370861,138-109-7,0.9347826086956521,0.6185286103542234,0.9705882352941176,52-55-1,0.2006220839813374,0.7573696145124716,0.4655172413793104,31-25-0,0.275974025974026,0.9288256227758007,0.646551724137931,148-115-7,0.563,0.8242677824267783,0.6211180124223602,88-59-6,0.8847858197932053,0.7594936708860758,0.7777777777777777,14-10-0,0.583,0.8105263157894737,0.5944272445820434,15-14-1,0.4290780141843973,0.7884130982367757,0.455,42-43-2,0.6175,0.7054794520547946,0.4027777777777778,56-40-3,0.583,0.8784119106699753,0.5677966101694916,99-78-3,0.6710684273709484,0.7186234817813765,0.6666666666666665,42.5,25.0,14.5,4.0,32.5,-2.5,6.0,36.5,32.0,4.0,1.5,0.0,17.5,22.5,0.002124056373604133,-0.1729324586151807,39.7,-0.10455784034902238
