Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-,all_games_ATS Record_numeric,equal_rest_ATS Record_numeric,four_plus_days_off_ATS Record_numeric,is_after_loss_ATS Record_numeric,is_after_win_ATS Record_numeric,is_away_ATS Record_numeric,is_dog_ATS Record_numeric,is_fav_ATS Record_numeric,is_home_ATS Record_numeric,no_rest_ATS Record_numeric,one_day_off_ATS Record_numeric,rest_advantage_ATS Record_numeric,rest_disadvantage_ATS Record_numeric,two_three_days_off_ATS Record_numeric,Home_Away_Advantage,Rest_Days_Advantage,Momentum_all_games_ATS Record_numeric_Last5,Matchup_Strength_Diff
Dayton,2-0-0,1.0,0.627906976744186,0.5588235294117647,2-0-0,1.0,0.6535087719298245,0.5634920634920635,2-0-0,1.0,0.5253623188405797,0.3385416666666667,0,0.0,0.43609022556390975,0.42016806722689076,1-0-0,1.0,0.5137614678899083,0.5073529411764706,0,0.0,0.5858585858585859,0.4809160305343511,0,0.0,0.7160493827160493,0.5573770491803279,2-0-0,1.0,0.4655172413793104,0.3974358974358974,2-0-0,1.0,0.4151785714285714,0.4470588235294118,0,0.0,0.1694915254237288,0.5,0,0.0,0.47663551401869153,0.5537190082644629,0,0.0,0.3140495867768595,0.31543624161073824,0,0.0,0.5365853658536586,0.5666666666666667,0,0.0,0.3818181818181818,0.5619834710743802,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.17068001443001446,-0.22253577907679906,2.0,-0.25053214133673896
Memphis,2-0-0,1.0,0.5058139534883721,0.5882352941176471,2-0-0,1.0,0.5614035087719298,0.5952380952380952,2-0-0,1.0,0.4492753623188406,0.359375,0,0.0,0.43609022556390975,0.42016806722689076,1-0-0,1.0,0.5229357798165137,0.6102941176470589,1-0-0,1.0,0.6464646464646464,0.5954198473282443,1-0-0,1.0,0.7901234567901234,0.6803278688524591,1-0-0,1.0,0.3563218390804598,0.40384615384615385,1-0-0,1.0,0.3303571428571428,0.45294117647058824,0,0.0,0.1694915254237288,0.5,0,0.0,0.47663551401869153,0.5537190082644629,0,0.0,0.3140495867768595,0.31543624161073824,0,0.0,0.5365853658536586,0.5666666666666667,0,0.0,0.3818181818181818,0.5619834710743802,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3161075036075036,-0.22253577907679906,2.0,-0.43380161770966363
N Florida,3-0-0,1.0,0.5755813953488371,0.8161764705882353,2-0-0,1.0,0.618421052631579,0.8063492063492064,1-0-0,1.0,0.42028985507246375,0.5260416666666666,0,0.0,0.43609022556390975,0.42016806722689076,2-0-0,1.0,0.6330275229357798,0.8132352941176471,2-0-0,1.0,0.6616161616161617,0.8473282442748091,2-0-0,1.0,0.8086419753086419,0.9508196721311476,1-0-0,1.0,0.5402298850574713,0.5576923076923077,1-0-0,1.0,0.4732142857142857,0.5941176470588235,0,0.0,0.1694915254237288,0.5,0,0.0,0.47663551401869153,0.5537190082644629,0,0.0,0.3140495867768595,0.31543624161073824,1-0-0,1.0,0.6829268292682927,1.0,2-0-0,1.0,0.5454545454545454,0.9140495867768595,3.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-0.18840187590187596,-0.3688772424914332,2.3333333333333335,-0.26841209025117063
Detroit,2-0-0,1.0,0.513953488372093,0.5485294117647059,2-0-0,1.0,0.4298245614035088,0.5523809523809524,0-0-0,0.0,0.681159420289855,0.296875,1-0-0,1.0,0.48120300751879697,0.4957983193277311,1-0-0,1.0,0.26605504587155965,0.5294117647058824,1-0-0,1.0,0.36363636363636365,0.5114503816793893,1-0-0,1.0,0.4444444444444444,0.5901639344262296,1-0-0,1.0,0.33333333333333337,0.40384615384615385,1-0-0,1.0,0.4598214285714285,0.45294117647058824,0,0.0,0.1694915254237288,0.5,0,0.0,0.47663551401869153,0.5537190082644629,0-0-0,0.0,0.6363636363636365,0.31543624161073824,0,0.0,0.5365853658536586,0.5666666666666667,2-0-0,1.0,0.3090909090909091,0.6165289256198347,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.09618506493506485,0.0997782705099779,2.25,-0.11111111111111105
VMI,1-0-0,1.0,0.7383720930232558,0.7279411764705882,1-0-0,1.0,0.543859649122807,0.746031746031746,1-0-0,1.0,0.5942028985507246,0.4583333333333333,0,0.0,0.43609022556390975,0.42016806722689076,1-0-0,1.0,0.5137614678899083,0.7279411764705882,1-0-0,1.0,0.6363636363636364,0.7175572519083969,1-0-0,1.0,0.7777777777777777,0.8114754098360657,0,0.0,0.26436781609195403,0.34615384615384615,0-0-0,0.0,0.6964285714285714,0.4,0,0.0,0.1694915254237288,0.5,0,0.0,0.47663551401869153,0.5537190082644629,0-0-0,0.0,0.71900826446281,0.31543624161073824,0,0.0,0.5365853658536586,0.5666666666666667,0,0.0,0.3818181818181818,0.5619834710743802,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06006493506493504,0.1824228986091514,2.0,-0.5134099616858236
Utah,2-0-0,1.0,0.8662790697674418,0.6691176470588236,1-0-0,1.0,0.8596491228070176,0.7777777777777778,1-0-0,1.0,0.6956521739130435,0.47916666666666663,0,0.0,0.43609022556390975,0.42016806722689076,1-0-0,1.0,0.7889908256880734,0.5808823529411765,0,0.0,0.5858585858585859,0.4809160305343511,0,0.0,0.7160493827160493,0.5573770491803279,2-0-0,1.0,0.7011494252873564,0.4935897435897436,2-0-0,1.0,0.5982142857142856,0.5352941176470588,0,0.0,0.1694915254237288,0.5,0,0.0,0.47663551401869153,0.5537190082644629,1-0-0,1.0,0.6033057851239669,0.38926174496644295,0,0.0,0.5365853658536586,0.5666666666666667,1-0-0,1.0,0.7,0.6528925619834711,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.012355699855699731,0.06672041927030836,2.0,-0.01489995742869299
IL-Chicago,1-0-0,1.0,0.7732558139534884,0.7647058823529411,1-0-0,1.0,0.6052631578947368,0.7857142857142857,0-0-0,0.0,0.7463768115942029,0.296875,0,0.0,0.43609022556390975,0.42016806722689076,1-0-0,1.0,0.5779816513761469,0.7647058823529411,0,0.0,0.5858585858585859,0.4809160305343511,1-0-0,1.0,0.8641975308641975,0.8524590163934427,0,0.0,0.26436781609195403,0.34615384615384615,1-0-0,1.0,0.5267857142857142,0.611764705882353,0,0.0,0.1694915254237288,0.5,0,0.0,0.47663551401869153,0.5537190082644629,0-0-0,0.0,0.7107438016528926,0.31543624161073824,0,0.0,0.5365853658536586,0.5666666666666667,1-0-0,1.0,0.49090909090909085,0.859504132231405,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.059072871572871666,0.17415843579923407,1.8,-0.5998297147722434
IU Indy,1-0-0,1.0,0.6686046511627907,0.7426470588235294,1-0-0,1.0,0.37719298245614036,0.7619047619047619,0-0-0,0.0,0.8043478260869565,0.296875,0,0.0,0.43609022556390975,0.42016806722689076,1-0-0,1.0,0.3394495412844037,0.7426470588235294,1-0-0,1.0,0.4444444444444444,0.7328244274809159,1-0-0,1.0,0.5432098765432098,0.8278688524590165,0,0.0,0.26436781609195403,0.34615384615384615,0-0-0,0.0,0.7589285714285714,0.4,0,0.0,0.1694915254237288,0.5,0,0.0,0.47663551401869153,0.5537190082644629,0-0-0,0.0,0.7768595041322315,0.31543624161073824,0,0.0,0.5365853658536586,0.5666666666666667,1-0-0,1.0,0.2545454545454545,0.8347107438016529,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.314484126984127,0.2402741382785729,1.4,-0.2788420604512558
Wyoming,1-0-0,1.0,0.6453488372093024,0.5588235294117647,0,0.0,0.5,0.5,1-0-0,1.0,0.536231884057971,0.3385416666666667,0,0.0,0.43609022556390975,0.42016806722689076,1-0-0,1.0,0.6055045871559633,0.5588235294117647,0,0.0,0.5858585858585859,0.4809160305343511,0,0.0,0.7160493827160493,0.5573770491803279,1-0-0,1.0,0.4367816091954023,0.3974358974358974,1-0-0,1.0,0.4285714285714285,0.4470588235294118,0,0.0,0.1694915254237288,0.5,0,0.0,0.47663551401869153,0.5537190082644629,1-0-0,1.0,0.47107438016528924,0.36912751677852346,0,0.0,0.5365853658536586,0.5666666666666667,0,0.0,0.3818181818181818,0.5619834710743802,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.15728715728715736,-0.06551098568836933,1.2,-0.279267773520647
Oregon St,2-0-0,1.0,0.7209302325581395,0.7691176470588235,2-0-0,1.0,0.7236842105263157,0.7904761904761906,1-0-0,1.0,0.5652173913043478,0.4375,0,0.0,0.43609022556390975,0.42016806722689076,1-0-0,1.0,0.724770642201835,0.8382352941176471,0,0.0,0.5858585858585859,0.4809160305343511,0,0.0,0.7160493827160493,0.5573770491803279,2-0-0,1.0,0.5574712643678161,0.5807692307692307,2-0-0,1.0,0.4866071428571428,0.6152941176470589,0,0.0,0.1694915254237288,0.5,0,0.0,0.47663551401869153,0.5537190082644629,0,0.0,0.3140495867768595,0.31543624161073824,0,0.0,0.5365853658536586,0.5666666666666667,1-0-0,1.0,0.6363636363636362,0.9421487603305785,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,-0.09925144300144306,-0.22253577907679906,1.4,-0.1585781183482332
