Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-,all_games_ATS Record_numeric,equal_rest_ATS Record_numeric,four_plus_days_off_ATS Record_numeric,is_after_loss_ATS Record_numeric,is_after_win_ATS Record_numeric,is_away_ATS Record_numeric,is_dog_ATS Record_numeric,is_fav_ATS Record_numeric,is_home_ATS Record_numeric,no_rest_ATS Record_numeric,one_day_off_ATS Record_numeric,rest_advantage_ATS Record_numeric,rest_disadvantage_ATS Record_numeric,two_three_days_off_ATS Record_numeric,Home_Away_Advantage,Rest_Days_Advantage,Momentum_all_games_ATS Record_numeric_Last5,Matchup_Strength_Diff
Mercyhurst,3-0-0,1.0,0.4577922077922078,1.0,3-0-0,1.0,0.6493827160493827,0.9999999999999998,1-0-0,0.9999999999999999,0.05449591280653954,0.7333333333333334,1-0-0,0.9999999999999999,0.6688963210702341,1.0,1-0-0,1.0,0.9999999999999999,1.0,2-0-0,1.0,0.3014705882352941,1.0,3-0-0,0.9999999999999999,0.9999999999999999,1.0,0,0.0,0.22885572139303478,0.4814814814814815,1-0-0,1.0,0.8304347826086955,0.9999999999999999,0,0.0,0.631578947368421,0.5473372781065089,1-0-0,1.0,0.7567567567567568,1.0,0-0-0,0.0,1.0,0.28346456692913385,0-0-0,0.0,0.0,0.3333333333333333,1-0-0,1.0,1.0,0.9999999999999998,3.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5289641943734014,1.0,3.0,-0.7711442786069651
Le Moyne,18-13-1,0.3097199341021417,0.4675324675324676,0.5094339622641509,8-11-0,0.42100000000000004,0.545679012345679,0.38970588235294107,9-4-0,0.50402576489533,0.5858310626702997,1.0,9-5-1,0.44131455399061015,0.7190635451505016,0.6026490066225166,8-7-0,0.533,0.2926829268292682,0.34545454545454546,11-9-1,0.28,0.20220588235294112,0.5252525252525253,12-10-1,0.26774193548387093,0.5181347150259067,0.34579439252336447,6-3-0,0.8893333333333334,0.880597014925373,1.0,7-4-0,0.636,0.7217391304347827,0.5909090909090908,0,0.0,0.631578947368421,0.5473372781065089,3-6-1,0.11066666666666664,0.6351351351351352,0.43750000000000006,4-1-0,0.8,0.8944591029023747,1.0,6-1-1,0.8570000000000001,0.13313609467455623,1.0,6-3-0,0.667,0.5108108108108109,0.5759493670886076,5.5,-3.0,5.0,4.5,1.0,2.5,2.5,3.0,3.0,0.0,-2.5,3.0,5.5,3.0,0.5195332480818415,0.7613230082278185,4.25,0.3624622998994663
St. Thomas,51-37-2,0.3080724876441516,0.685064935064935,0.33962264150943394,38-19-2,0.667,0.7358024691358024,0.6470588235294117,16-20-0,0.10466988727858295,0.5994550408719346,0.4,21-17-2,0.300469483568075,0.68561872909699,0.32450331125827814,28-19-0,0.596,0.5087108013937282,0.3515151515151515,24-21-2,0.2528,0.48529411764705876,0.27272727272727276,23-20-2,0.25,0.7305699481865284,0.3644859813084112,28-17-0,0.8293333333333335,0.5771144278606964,0.5740740740740741,19-14-0,0.5760000000000001,0.6869565217391305,0.40909090909090906,7-1-0,0.875,0.7052631578947368,0.7692307692307693,15-10-2,0.4666666666666667,0.6918918918918919,0.40625000000000006,3-7-0,0.3,0.8100263852242745,0.0,10-11-0,0.47600000000000003,0.455621301775148,0.17094017094017092,13-6-0,0.684,0.7810810810810812,0.5253164556962024,15.0,20.0,-4.0,5.0,9.0,4.0,4.0,11.0,5.0,6.0,6.0,-4.0,-1.0,7.0,0.2016624040920717,0.3544050834491265,7.833333333333333,-0.15345552032583198
NC Central,131-97-4,0.2998352553542011,0.6136363636363636,0.3018867924528301,70-56-2,0.556,0.6691358024691357,0.41911764705882343,48-35-0,0.32045088566827695,0.5749318801089918,0.8266666666666667,54-32-3,0.4178403755868544,0.4916387959866221,0.304635761589404,72-60-1,0.546,0.5923344947735191,0.34545454545454546,62-49-2,0.2944,0.3529411764705882,0.31313131313131315,61-45-2,0.31612903225806455,0.4766839378238341,0.24299065420560745,69-51-2,0.7666666666666667,0.6915422885572139,0.5925925925925927,42-29-1,0.5920000000000001,0.7521739130434781,0.3766233766233765,10-11-0,0.47600000000000003,0.6105263157894737,0.485207100591716,39-33-0,0.3893333333333334,0.7162162162162163,0.3541666666666667,29-17-0,0.63,0.6147757255936677,0.5511811023622046,32-24-2,0.5710000000000001,0.4023668639053255,0.42735042735042733,34-18-4,0.654,0.5729729729729731,0.40506329113924044,36.0,15.0,13.0,23.5,12.5,14.0,17.0,19.0,13.5,-1.0,6.0,12.0,9.0,18.0,0.39923273657288993,0.21240886168834217,14.875,0.21485835073337978
SE Louisiana,118-93-2,0.27347611202635913,0.4967532467532468,0.1792452830188679,62-58-2,0.517,0.5851851851851851,0.3235294117647058,39-28-1,0.32689210950080516,0.4550408719346049,0.38666666666666666,64-38-2,0.4178403755868544,0.42474916387959866,0.21192052980132453,51-53-0,0.49,0.3554006968641114,0.2424242424242424,66-48-0,0.3264,0.3492647058823529,0.30303030303030304,80-54-0,0.35,0.533678756476684,0.21495327102803738,37-39-2,0.6493333333333334,0.45273631840796014,0.43827160493827166,33-30-2,0.524,0.36086956521739133,0.1818181818181818,9-7-0,0.563,0.6131578947368421,0.5236686390532544,21-19-1,0.3666666666666667,0.545945945945946,0.3854166666666667,33-16-0,0.674,0.4775725593667547,0.4330708661417323,23-19-0,0.5479999999999999,0.3668639053254439,0.28205128205128205,49-39-0,0.557,0.5243243243243244,0.27215189873417717,26.0,5.0,11.5,27.0,-2.0,18.0,26.0,-1.0,4.0,2.0,2.5,17.0,4.0,10.0,0.011604859335038409,0.1107086540413108,17.1,-0.08094243806872381
Sam Hous St,136-108-6,0.27018121911037896,0.698051948051948,0.2641509433962264,72-57-3,0.5579999999999999,0.728395061728395,0.4485294117647058,46-32-2,0.33977455716586147,0.6621253405994549,0.68,46-38-1,0.2926447574334897,0.7023411371237458,0.20529801324503313,86-68-5,0.5579999999999999,0.5087108013937282,0.34545454545454546,63-51-4,0.28479999999999994,0.5404411764705882,0.32323232323232326,60-59-3,0.19999999999999996,0.5854922279792746,0.1588785046728972,75-47-3,0.8200000000000001,0.7014925373134328,0.6358024691358025,43-29-1,0.5970000000000001,0.6608695652173913,0.3571428571428571,12-16-0,0.429,0.581578947368421,0.5414201183431953,23-12-1,0.5426666666666667,0.7702702702702704,0.47395833333333337,23-26-0,0.469,0.6543535620052772,0.1889763779527559,41-25-3,0.621,0.5828402366863906,0.5128205128205128,55-48-3,0.534,0.6513513513513515,0.26582278481012656,31.0,16.5,15.0,8.5,20.5,14.0,2.5,29.5,14.5,-4.0,11.5,-3.0,17.5,8.5,0.12042838874680306,0.07151332531888654,22.7,0.11600030933415817
Colgate,134-107-4,0.26853377265238887,0.5454545454545454,0.3018867924528301,74-53-4,0.583,0.6666666666666666,0.5073529411764705,35-29-3,0.27053140096618367,0.5040871934604905,0.6,42-30-2,0.34741784037558676,0.4916387959866221,0.26490066225165565,89-73-1,0.549,0.4006968641114982,0.34545454545454546,72-56-2,0.30079999999999996,0.4779411764705882,0.393939393939394,41-30-3,0.3193548387096773,0.6217616580310881,0.3644859813084112,89-76-1,0.7186666666666667,0.7213930348258706,0.54320987654321,56-42-1,0.5710000000000001,0.3391304347826087,0.3701298701298701,7-5-1,0.583,0.6526315789473683,0.5414201183431953,15-12-0,0.40800000000000003,0.6540540540540541,0.6302083333333335,32-30-0,0.516,0.395778364116095,0.3307086614173228,28-24-0,0.539,0.5118343195266273,0.37606837606837606,77-61-0,0.5579999999999999,0.5216216216216217,0.29746835443037967,29.0,23.0,7.5,13.0,16.5,17.0,12.5,13.5,14.5,2.5,3.0,2.0,4.0,16.0,-0.13881074168797952,-0.11605595541053226,27.4,0.09963137679478251
Yale,309-248-16,0.26688632619439867,0.6103896103896104,0.27358490566037735,214-172-10,0.554,0.7086419753086419,0.41176470588235287,162-109-7,0.3526570048309178,0.5940054495912807,0.7066666666666667,118-102-4,0.2738654147104851,0.5484949832775919,0.2450331125827815,181-143-11,0.559,0.4668989547038327,0.32121212121212117,174-129-12,0.3184,0.5551470588235294,0.43434343434343436,144-116-10,0.2806451612903226,0.6528497409326424,0.3177570093457944,163-127-6,0.7493333333333334,0.616915422885572,0.5308641975308642,105-105-3,0.5,0.42173913043478256,0.19480519480519476,87-76-2,0.534,0.6763157894736842,0.5650887573964497,18-17-3,0.352,0.7216216216216217,0.35937500000000006,50-39-5,0.562,0.453825857519789,0.3700787401574803,45-37-1,0.549,0.5798816568047338,0.5128205128205128,42-46-4,0.47700000000000004,0.545945945945946,0.240506329113924,69.0,47.0,56.5,18.0,43.5,51.0,33.0,39.0,1.5,12.0,2.5,13.5,8.5,-2.0,-0.13340792838874688,-0.12605579928494481,38.2,-0.03593431804707037
N Florida,141-115-2,0.2602965403624383,0.4350649350649351,0.2830188679245283,83-73-2,0.532,0.5753086419753086,0.4338235294117646,47-34-0,0.32367149758454106,0.4305177111716621,0.6666666666666667,61-56-0,0.2503912363067292,0.35451505016722407,0.2450331125827815,73-55-2,0.5700000000000001,0.3449477351916376,0.34545454545454546,76-66-1,0.256,0.27205882352941174,0.2828282828282829,91-67-2,0.31612903225806455,0.5025906735751294,0.32710280373831774,47-47-0,0.6666666666666667,0.5820895522388059,0.4876543209876544,55-36-1,0.604,0.3173913043478261,0.4285714285714285,8-14-0,0.364,0.4631578947368421,0.5355029585798817,32-29-0,0.3666666666666667,0.5027027027027028,0.33333333333333337,23-18-0,0.561,0.3482849604221636,0.3779527559055118,35-24-0,0.593,0.3727810650887574,0.4615384615384615,54-38-2,0.5870000000000001,0.47567567567567576,0.38607594936708856,27.0,11.0,13.0,5.0,19.0,10.5,25.0,0.0,19.5,-6.0,3.0,5.0,11.0,17.0,0.045332480818414345,-0.0244961046665938,36.4,0.07949887866367644
S Dakota St,239-196-6,0.25700164744645804,0.6590909090909091,0.2830188679245283,139-122-2,0.533,0.7530864197530864,0.4338235294117646,97-77-3,0.288244766505636,0.6021798365122616,0.56,72-55-1,0.3223787167449139,0.5618729096989966,0.3112582781456954,158-135-5,0.539,0.5749128919860627,0.3333333333333333,105-86-2,0.28,0.5110294117647058,0.31313131313131315,69-65-3,0.21774193548387089,0.7357512953367875,0.27102803738317754,166-129-3,0.7506666666666667,0.7412935323383084,0.5679012345679013,97-66-1,0.595,0.5739130434782609,0.40909090909090906,20-22-2,0.47600000000000003,0.7421052631578947,0.5502958579881657,58-40-1,0.45600000000000007,0.7756756756756757,0.45312500000000006,51-37-2,0.58,0.5224274406332454,0.4015748031496063,49-37-2,0.5700000000000001,0.5414201183431954,0.4358974358974359,64-57-0,0.529,0.618918918918919,0.3481012658227847,46.0,18.0,21.5,17.5,25.5,20.0,5.5,38.5,31.5,-1.0,18.5,15.0,13.0,7.0,0.06288363171355504,-0.018992677709949946,40.4,0.0055422370015209
