Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Houston,Detroit,Detroit,4.0,218.5.,200,True
Boston,Milwaukee,Boston,-5.0,230.,220,False
New York,Indiana,Indiana,3.0,229.5.,253,True
Washington,Orlando,Orlando,-11.5,223.,215,True
Charlotte,Philadelphia,Charlotte,5.0,213.5.,212,False
Miami,Minnesota,Miami,7.5,218.,189,False
Golden State,Oklahoma City,Golden State,6.5,228.,243,False
Sacramento,Phoenix,Sacramento,-1.0,229.5.,245,False
Memphis,Portland,Memphis,-1.0,226.,223,False
Toronto,L.A. Lakers,L.A. Lakers,-10.5,235.5.,226,True
