Team,ATS Record,Cover %,MOV,ATS +/-
San Antonio,681-593-30,53.5%,8.0,+0.7
Okla City,507-469-10,52.0%,6.6,0.0
Utah,491-459-21,51.7%,6.5,-0.1
New York,320-300-5,51.6%,4.4,-0.5
Memphis,424-403-16,51.3%,5.0,-0.4
Golden State,548-521-22,51.3%,7.6,+0.1
Portland,411-392-12,51.2%,5.2,-0.2
Indiana,467-447-18,51.1%,5.4,-0.2
LA Clippers,504-484-13,51.0%,6.2,-0.1
Miami,597-574-26,51.0%,5.8,-0.4
Phoenix,493-476-15,50.9%,5.9,-0.6
Denver,543-525-19,50.8%,6.2,-0.3
Charlotte,242-234-5,50.8%,4.5,-0.2
Philadelphia,399-386-16,50.8%,5.3,-0.3
Toronto,446-433-12,50.7%,5.8,-0.2
Boston,616-605-23,50.5%,6.4,-0.1
Milwaukee,466-465-24,50.1%,5.5,-0.7
Orlando,358-364-14,49.6%,5.1,-0.7
Chicago,404-411-12,49.6%,4.9,-0.6
Detroit,387-394-16,49.6%,5.1,-0.7
Cleveland,478-487-22,49.5%,6.2,-0.4
Dallas,550-561-29,49.5%,5.7,-0.6
Houston,503-518-15,49.3%,6.0,-0.4
Atlanta,387-400-10,49.2%,4.4,-1.1
Brooklyn,337-353-14,48.8%,4.1,-1.1
New Orleans,350-374-13,48.3%,4.2,-1.1
Sacramento,296-330-17,47.3%,3.9,-1.4
LA Lakers,462-540-19,46.1%,5.4,-1.2
Washington,295-352-13,45.6%,3.9,-1.1
Minnesota,316-383-11,45.2%,4.7,-0.9
