Team,Over Record,Over %,Under %,Total +/-
Denver,2-0-0,100.0%,0.0%,+18.8
Golden State,5-0-0,100.0%,0.0%,+17.1
Dallas,3-0-0,100.0%,0.0%,+8.0
New York,1-0-0,100.0%,0.0%,+19.5
Atlanta,5-1-0,83.3%,16.7%,+3.5
Memphis,3-1-0,75.0%,25.0%,+6.6
Miami,3-1-0,75.0%,25.0%,+4.5
Sacramento,3-1-0,75.0%,25.0%,+12.0
Indiana,4-2-0,66.7%,33.3%,+6.7
Orlando,4-2-0,66.7%,33.3%,-3.9
Washington,6-4-0,60.0%,40.0%,+4.2
Toronto,7-5-0,58.3%,41.7%,+5.4
Philadelphia,4-3-0,57.1%,42.9%,+2.3
New Orleans,4-3-0,57.1%,42.9%,-1.5
Chicago,6-5-0,54.6%,45.5%,+1.5
San Antonio,4-4-0,50.0%,50.0%,-4.7
Portland,6-6-1,50.0%,50.0%,-0.6
Phoenix,2-2-0,50.0%,50.0%,-1.0
LA Lakers,2-2-0,50.0%,50.0%,+0.8
Brooklyn,4-5-0,44.4%,55.6%,+6.9
LA Clippers,3-4-1,42.9%,57.1%,+2.3
Detroit,4-7-0,36.4%,63.6%,-1.5
Utah,4-7-0,36.4%,63.6%,-3.5
Houston,1-2-0,33.3%,66.7%,-5.3
Milwaukee,1-3-0,25.0%,75.0%,-6.4
Charlotte,1-9-0,10.0%,90.0%,-10.3
Cleveland,0-2-0,0.0%,100.0%,-5.8
Okla City,0-1-0,0.0%,100.0%,-39.5
