Team,Over Record,Over %,Under %,Total +/-
LA Lakers,1-0-0,100.0%,0.0%,+27.0
New York,1-0-0,100.0%,0.0%,+15.0
Washington,1-0-0,100.0%,0.0%,+4.5
Minnesota,2-0-0,100.0%,0.0%,+5.5
Utah,1-0-0,100.0%,0.0%,+31.5
Philadelphia,1-0-0,100.0%,0.0%,+1.5
Memphis,3-1-0,75.0%,25.0%,+0.8
Phoenix,3-1-0,75.0%,25.0%,+1.4
Indiana,2-1-0,66.7%,33.3%,+2.5
Okla City,2-1-0,66.7%,33.3%,+7.0
Denver,2-1-0,66.7%,33.3%,+23.3
Dallas,2-2-0,50.0%,50.0%,+0.4
Chicago,1-1-0,50.0%,50.0%,+2.3
Atlanta,2-2-0,50.0%,50.0%,-3.0
Boston,2-2-0,50.0%,50.0%,+6.4
LA Clippers,1-2-0,33.3%,66.7%,+0.3
Toronto,1-2-0,33.3%,66.7%,+10.2
Brooklyn,1-2-0,33.3%,66.7%,-4.0
Houston,1-2-0,33.3%,66.7%,+4.3
San Antonio,1-2-0,33.3%,66.7%,-14.7
Cleveland,1-2-0,33.3%,66.7%,+4.2
Detroit,1-3-0,25.0%,75.0%,-10.3
New Orleans,0-1-1,0.0%,100.0%,-11.3
Milwaukee,0-2-0,0.0%,100.0%,-9.0
Orlando,0-3-0,0.0%,100.0%,-32.3
Charlotte,0-1-0,0.0%,100.0%,-3.5
Portland,0-3-0,0.0%,100.0%,-19.5
Sacramento,0-1-0,0.0%,100.0%,-10.5
