Team,ATS Record,Cover %,MOV,ATS +/-
New York,148-124-3,54.4%,5.5,+0.8
Philadelphia,232-197-9,54.1%,6.7,+0.4
Orlando,117-101-3,53.7%,4.9,-0.2
Boston,354-316-15,52.8%,6.7,+0.2
Portland,209-190-8,52.4%,5.5,+0.2
LA Clippers,300-280-6,51.7%,6.8,+0.1
San Antonio,231-217-7,51.6%,7.6,+0.5
Milwaukee,304-287-17,51.4%,6.7,-0.4
Golden State,358-341-19,51.2%,8.6,+0.1
Indiana,209-200-9,51.1%,5.1,-0.2
Memphis,198-190-8,51.0%,5.1,-0.2
Utah,251-241-14,51.0%,7.0,+0.2
Okla City,235-227-4,50.9%,6.9,+0.3
Charlotte,150-145-2,50.9%,4.9,-0.1
Dallas,218-211-11,50.8%,5.4,-0.4
Houston,236-236-7,50.0%,6.3,-0.4
Chicago,159-160-4,49.8%,4.3,-0.9
Toronto,275-277-4,49.8%,6.3,-0.1
Phoenix,202-205-5,49.6%,5.0,-1.0
Miami,240-244-17,49.6%,4.4,-1.0
New Orleans,179-185-4,49.2%,4.6,-0.6
Detroit,114-119-3,48.9%,3.9,-1.0
Atlanta,201-212-5,48.7%,4.1,-1.4
Denver,251-271-12,48.1%,5.5,-0.8
Cleveland,241-264-15,47.7%,6.2,-0.5
Sacramento,140-155-8,47.5%,3.5,-1.5
Brooklyn,148-168-4,46.8%,4.5,-0.9
LA Lakers,166-194-6,46.1%,4.3,-1.5
Washington,154-184-7,45.6%,3.5,-1.6
Minnesota,157-190-7,45.2%,5.1,-0.8
