Team,Over Record,Over %,Under %,Total +/-
Phoenix,505-427-9,54.2%,45.8%,+1.3
Washington,379-349-13,52.1%,47.9%,+1.6
Toronto,452-431-10,51.2%,48.8%,+1.3
Milwaukee,456-436-7,51.1%,48.9%,+0.8
New York,361-352-7,50.6%,49.4%,+0.7
Portland,427-417-13,50.6%,49.4%,+0.6
Utah,466-460-13,50.3%,49.7%,+0.7
Minnesota,356-354-3,50.1%,49.9%,-0.4
Atlanta,418-418-7,50.0%,50.0%,+0.6
Sacramento,354-356-15,49.9%,50.1%,-0.1
Okla City,479-482-13,49.8%,50.2%,+0.2
Philadelphia,411-415-10,49.8%,50.2%,-0.1
Detroit,392-397-21,49.7%,50.3%,0.0
Charlotte,309-317-4,49.4%,50.6%,-0.1
Denver,509-525-10,49.2%,50.8%,0.0
Golden State,502-519-19,49.2%,50.8%,0.0
LA Clippers,455-472-20,49.1%,50.9%,0.0
Cleveland,470-492-9,48.9%,51.1%,+0.4
Brooklyn,383-405-5,48.6%,51.4%,+0.4
Dallas,508-541-15,48.4%,51.6%,-0.2
Boston,535-573-16,48.3%,51.7%,+0.3
Miami,527-568-10,48.1%,51.9%,-0.2
Memphis,422-456-12,48.1%,51.9%,0.0
Chicago,421-456-6,48.0%,52.0%,+0.3
LA Lakers,466-505-12,48.0%,52.0%,-0.5
New Orleans,378-413-16,47.8%,52.2%,-0.1
Orlando,371-406-10,47.8%,52.3%,-0.2
San Antonio,552-607-14,47.6%,52.4%,-0.4
Houston,454-519-11,46.7%,53.3%,-0.4
Indiana,429-497-13,46.3%,53.7%,-0.5
