Team,ATS Record,Cover %,MOV,ATS +/-
Charlotte,1-0-0,100.0%,5.0,+13.0
Utah,1-0-0,100.0%,-2.0,+0.5
Okla City,1-0-0,100.0%,15.0,+17.0
Golden State,1-0-0,100.0%,36.0,+28.5
Brooklyn,1-0-0,100.0%,-4.0,+2.5
LA Clippers,1-0-0,100.0%,-3.0,+2.0
LA Lakers,1-0-0,100.0%,7.0,+8.0
Dallas,1-0-0,100.0%,11.0,+2.5
Indiana,1-0-0,100.0%,6.0,+0.5
Cleveland,1-0-0,100.0%,30.0,+23.5
Orlando,1-0-0,100.0%,19.0,+21.0
Boston,1-0-0,100.0%,23.0,+17.0
Milwaukee,1-0-0,100.0%,15.0,+11.0
New Orleans,1-0-0,100.0%,12.0,+7.0
Washington,0-1-0,0.0%,-20.0,-6.0
Denver,0-2-0,0.0%,-11.0,-13.0
Portland,0-1-0,0.0%,-36.0,-28.5
Minnesota,0-1-0,0.0%,-7.0,-8.0
Toronto,0-1-0,0.0%,-30.0,-23.5
Sacramento,0-1-0,0.0%,-2.0,-1.0
Phoenix,0-1-0,0.0%,3.0,-2.0
New York,0-1-0,0.0%,-23.0,-17.0
Chicago,0-1-0,0.0%,-12.0,-7.0
Detroit,0-1-0,0.0%,-6.0,-0.5
Memphis,0-1-0,0.0%,2.0,-0.5
Atlanta,0-1-0,0.0%,4.0,-2.5
Philadelphia,0-1-0,0.0%,-15.0,-11.0
Houston,0-1-0,0.0%,-5.0,-13.0
San Antonio,0-1-0,0.0%,-11.0,-2.5
Miami,0-1-0,0.0%,-19.0,-21.0
