Team,ATS Record,Cover %,MOV,ATS +/-
Philadelphia,254-205-8,55.3%,0.5,+0.7
Boston,294-241-10,55.0%,3.7,+0.4
Orlando,248-215-6,53.6%,-2.9,+0.4
Utah,239-210-9,53.2%,2.4,+1.0
Okla City,235-213-5,52.5%,0.9,+0.2
Dallas,249-226-11,52.4%,0.7,+0.9
Indiana,244-228-10,51.7%,0.5,+0.3
New York,227-213-10,51.6%,-2.1,+0.6
LA Clippers,228-214-4,51.6%,2.6,+0.5
San Antonio,236-223-7,51.4%,0.6,0.0
Denver,233-225-7,50.9%,1.8,+0.2
Miami,250-243-10,50.7%,0.9,+0.1
Golden State,259-252-9,50.7%,5.1,+0.1
Charlotte,228-226-8,50.2%,-1.7,+0.4
Phoenix,221-222-5,49.9%,-1.1,-0.6
New Orleans,211-212-5,49.9%,-0.2,+0.6
Houston,245-249-9,49.6%,0.6,0.0
Memphis,227-231-8,49.6%,-0.5,+0.4
Brooklyn,222-226-12,49.6%,-1.8,+0.2
Toronto,243-248-6,49.5%,2.1,-0.2
Milwaukee,242-250-10,49.2%,2.3,-0.5
Sacramento,197-205-8,49.0%,-2.6,-0.7
Atlanta,233-256-5,47.7%,-0.8,-0.6
Cleveland,226-251-12,47.4%,1.0,-0.2
Portland,205-233-12,46.8%,-2.3,-1.0
Minnesota,214-246-7,46.5%,-1.1,+0.1
Chicago,205-239-3,46.2%,-2.8,-1.3
Detroit,187-220-13,46.0%,-4.4,-0.9
Washington,203-243-12,45.5%,-2.5,-0.5
LA Lakers,202-242-5,45.5%,-1.9,-0.8
