Team,ATS Record,Cover %,MOV,ATS +/-
Boston,84-63-3,57.1%,3.2,+1.9
Toronto,84-66-3,56.0%,0.9,+1.5
Miami,74-60-7,55.2%,-1.2,+0.4
New Orleans,80-70-0,53.3%,-2.8,+0.1
Milwaukee,81-72-3,52.9%,1.4,+0.5
Phoenix,76-69-0,52.4%,-3.5,-0.5
Memphis,80-74-0,52.0%,-2.6,-0.3
Sacramento,80-74-7,52.0%,-5.2,-0.2
Okla City,75-70-3,51.7%,-1.7,-0.2
Portland,78-73-5,51.7%,-0.4,+1.3
Orlando,76-72-4,51.4%,-5.8,-0.4
Golden State,76-72-5,51.4%,3.7,-0.1
Detroit,80-76-3,51.3%,-4.8,+0.5
Utah,73-70-7,51.1%,0.9,+0.8
Dallas,74-71-4,51.0%,-1.4,+0.8
San Antonio,75-72-3,51.0%,-0.1,+0.5
Washington,78-77-2,50.3%,-2.8,+0.5
Denver,71-71-3,50.0%,-0.9,+0.5
LA Lakers,69-70-0,49.6%,-4.4,-0.4
Philadelphia,71-74-4,49.0%,-2.9,0.0
Charlotte,74-78-3,48.7%,-3.8,+0.1
New York,69-73-3,48.6%,-3.9,+0.7
Minnesota,67-71-6,48.6%,-3.4,+0.1
LA Clippers,76-81-1,48.4%,2.6,+1.3
Indiana,70-77-2,47.6%,-2.5,-0.4
Cleveland,73-81-5,47.4%,-2.6,-1.6
Chicago,73-81-3,47.4%,-3.6,-0.9
Houston,69-77-3,47.3%,-1.2,+0.1
Atlanta,72-84-4,46.2%,-2.7,-1.8
Brooklyn,63-82-2,43.5%,-7.2,-2.7
