Team,Over Record,Over %,Under %,Total +/-
Atlanta,6-1-0,85.7%,14.3%,+9.3
New York,8-2-0,80.0%,20.0%,+13.6
Memphis,7-2-0,77.8%,22.2%,+6.9
Indiana,7-2-0,77.8%,22.2%,+2.4
Denver,7-2-0,77.8%,22.2%,+5.8
Toronto,6-2-0,75.0%,25.0%,+6.5
Cleveland,8-3-0,72.7%,27.3%,+10.1
San Antonio,5-2-0,71.4%,28.6%,+7.7
Golden State,7-3-0,70.0%,30.0%,+1.0
Phoenix,6-3-0,66.7%,33.3%,+2.2
Portland,5-3-0,62.5%,37.5%,+5.7
Houston,6-4-1,60.0%,40.0%,-0.5
Miami,6-4-0,60.0%,40.0%,+2.6
New Orleans,7-5-0,58.3%,41.7%,-0.3
Okla City,4-3-0,57.1%,42.9%,-5.3
Minnesota,5-4-0,55.6%,44.4%,+1.2
LA Lakers,5-4-0,55.6%,44.4%,+3.7
Brooklyn,5-4-0,55.6%,44.4%,+1.2
Chicago,6-5-0,54.6%,45.5%,+3.2
LA Clippers,3-3-1,50.0%,50.0%,-2.1
Boston,3-3-0,50.0%,50.0%,+4.6
Washington,4-4-0,50.0%,50.0%,+2.8
Dallas,3-3-0,50.0%,50.0%,-2.3
Orlando,5-6-0,45.5%,54.6%,-4.4
Philadelphia,4-5-0,44.4%,55.6%,-1.0
Milwaukee,4-5-0,44.4%,55.6%,-1.9
Sacramento,3-4-0,42.9%,57.1%,+2.2
Detroit,4-8-0,33.3%,66.7%,-0.3
Charlotte,2-8-0,20.0%,80.0%,-8.8
Utah,1-5-0,16.7%,83.3%,-6.3
