Team,Over Record,Over %,Under %,Total +/-
Denver,210-163-7,56.3%,43.7%,+2.6
Indiana,234-184-6,56.0%,44.0%,+2.1
Minnesota,253-204-8,55.4%,44.6%,+1.7
San Antonio,217-180-7,54.7%,45.3%,+2.1
Washington,247-213-6,53.7%,46.3%,+1.4
Houston,219-191-8,53.4%,46.6%,+1.8
Atlanta,232-205-6,53.1%,46.9%,+2.1
Sacramento,237-215-7,52.4%,47.6%,+1.4
Toronto,198-181-0,52.2%,47.8%,+0.6
Milwaukee,185-172-6,51.8%,48.2%,+0.1
New Orleans,226-212-4,51.6%,48.4%,+0.2
Philadelphia,221-208-3,51.5%,48.5%,+0.3
Boston,181-171-3,51.4%,48.6%,0.0
Portland,223-211-4,51.4%,48.6%,+1.0
Okla City,198-188-7,51.3%,48.7%,+0.9
Cleveland,207-200-3,50.9%,49.1%,-0.1
LA Lakers,234-228-3,50.7%,49.4%,-0.3
Utah,192-192-6,50.0%,50.0%,+0.8
Miami,202-204-3,49.8%,50.3%,-0.8
Dallas,206-216-6,48.8%,51.2%,+0.6
LA Clippers,172-181-5,48.7%,51.3%,+1.0
Chicago,216-229-6,48.5%,51.5%,+0.1
Charlotte,220-236-6,48.3%,51.8%,+0.3
Phoenix,216-233-5,48.1%,51.9%,0.0
Detroit,245-265-5,48.0%,52.0%,+0.2
Brooklyn,222-241-8,48.0%,52.1%,-0.1
Orlando,227-266-6,46.0%,54.0%,-1.2
Golden State,144-169-2,46.0%,54.0%,-0.4
New York,219-262-6,45.5%,54.5%,-0.9
Memphis,191-230-5,45.4%,54.6%,-0.7
