Team,ATS Record,Cover %,MOV,ATS +/-
Utah,242-210-12,53.5%,3.7,+1.1
Boston,308-269-15,53.4%,4.9,+0.9
Okla City,245-215-5,53.3%,2.7,+0.4
Orlando,167-155-3,51.9%,-2.7,-0.4
Memphis,217-204-7,51.5%,0.7,+0.6
Houston,234-222-6,51.3%,2.8,+0.1
New York,171-164-6,51.0%,-1.1,+0.2
Portland,207-199-14,51.0%,0.1,+0.1
Philadelphia,219-213-8,50.7%,2.4,+0.1
Golden State,307-302-17,50.4%,6.0,-0.4
LA Clippers,262-259-5,50.3%,3.3,+0.1
Toronto,253-251-8,50.2%,3.1,+0.2
Brooklyn,183-182-5,50.1%,-0.8,-0.3
Cleveland,239-240-10,49.9%,2.8,+0.3
San Antonio,220-224-4,49.6%,2.5,-0.3
New Orleans,190-196-5,49.2%,-0.4,-0.3
Charlotte,165-174-5,48.7%,-1.7,-0.2
Atlanta,203-215-4,48.6%,-0.2,-0.7
Indiana,201-217-9,48.1%,-0.5,-0.8
Washington,176-190-6,48.1%,-1.3,-0.9
Dallas,208-227-8,47.8%,0.2,-0.8
Milwaukee,246-273-15,47.4%,2.9,-1.3
Denver,233-259-12,47.4%,1.3,-1.0
Miami,224-251-13,47.2%,-0.2,-1.0
Phoenix,187-210-5,47.1%,0.9,-0.9
Chicago,173-195-7,47.0%,-1.9,-1.4
Sacramento,159-186-9,46.1%,-2.7,-1.4
LA Lakers,178-209-3,46.0%,0.0,-0.5
Minnesota,163-192-11,45.9%,-0.3,-0.8
Detroit,127-155-10,45.0%,-3.4,-1.4
