Team,Over Record,Over %,Under %,Total +/-
Charlotte,3-0-0,100.0%,0.0%,+25.2
Detroit,1-0-0,100.0%,0.0%,+22.0
New Orleans,2-0-0,100.0%,0.0%,+1.5
Cleveland,2-0-0,100.0%,0.0%,+8.8
Atlanta,3-0-0,100.0%,0.0%,+4.7
Chicago,2-1-0,66.7%,33.3%,+14.5
Utah,3-2-0,60.0%,40.0%,-4.3
Boston,3-2-0,60.0%,40.0%,+3.5
Washington,3-2-0,60.0%,40.0%,-2.3
Sacramento,4-3-0,57.1%,42.9%,-3.2
Miami,1-1-0,50.0%,50.0%,+1.5
Orlando,1-1-0,50.0%,50.0%,+2.5
Minnesota,2-2-0,50.0%,50.0%,+5.9
Golden State,2-2-0,50.0%,50.0%,+1.6
Philadelphia,2-2-0,50.0%,50.0%,-6.6
LA Lakers,3-3-0,50.0%,50.0%,+2.7
Brooklyn,2-2-0,50.0%,50.0%,+21.3
Phoenix,1-1-0,50.0%,50.0%,-2.3
Indiana,1-1-0,50.0%,50.0%,-8.0
Portland,1-2-1,33.3%,66.7%,-4.0
Memphis,1-2-0,33.3%,66.7%,+4.7
Toronto,1-2-0,33.3%,66.7%,-12.2
Okla City,1-3-0,25.0%,75.0%,-15.4
LA Clippers,1-4-0,20.0%,80.0%,+1.2
San Antonio,1-4-0,20.0%,80.0%,-11.5
New York,0-5-0,0.0%,100.0%,-9.6
Dallas,0-3-0,0.0%,100.0%,-22.3
Houston,0-1-0,0.0%,100.0%,-16.0
Milwaukee,0-3-0,0.0%,100.0%,-12.3
Denver,0-1-0,0.0%,100.0%,-22.5
