Team,ATS Record,Cover %,MOV,ATS +/-
Cleveland,14-4-0,77.8%,12.4,+5.6
Brooklyn,11-5-1,68.8%,-3.2,+3.2
Houston,12-6-0,66.7%,8.7,+5.0
LA Clippers,12-6-0,66.7%,3.0,+5.0
Toronto,11-6-0,64.7%,-5.9,+2.8
Memphis,11-6-0,64.7%,6.6,+5.3
Charlotte,10-6-0,62.5%,-4.6,+1.3
Portland,10-6-1,62.5%,-7.5,+0.9
Golden State,10-6-0,62.5%,8.8,+5.7
Okla City,9-7-0,56.3%,10.6,+1.9
Orlando,10-8-0,55.6%,3.9,+2.2
San Antonio,9-8-0,52.9%,0.6,+3.3
Detroit,9-8-1,52.9%,-1.8,+1.7
Miami,7-7-0,50.0%,1.1,+0.6
Utah,8-8-0,50.0%,-9.1,-1.8
Dallas,8-8-1,50.0%,5.5,+1.7
New York,7-8-1,46.7%,5.1,-0.3
Chicago,8-10-0,44.4%,-6.5,-0.9
LA Lakers,7-9-0,43.8%,-0.5,-4.3
Indiana,7-9-1,43.8%,-3.6,-4.6
Denver,6-8-1,42.9%,2.7,+0.7
Boston,7-10-0,41.2%,9.4,-1.0
Sacramento,6-10-1,37.5%,1.5,-3.4
Milwaukee,6-10-1,37.5%,0.2,-3.2
Minnesota,6-10-0,37.5%,2.0,-3.9
Atlanta,6-11-0,35.3%,-5.2,-4.1
Phoenix,5-11-0,31.3%,-2.4,-2.8
New Orleans,5-12-0,29.4%,-11.4,-7.5
Washington,4-10-1,28.6%,-14.4,-4.2
Philadelphia,4-12-0,25.0%,-8.4,-6.7
