Team,Over Record,Over %,Under %,Total +/-
Atlanta,8-2-0,80.0%,20.0%,+6.1
Denver,7-2-0,77.8%,22.2%,+11.1
Cleveland,9-3-0,75.0%,25.0%,+9.3
Toronto,6-2-0,75.0%,25.0%,+8.7
Indiana,9-3-0,75.0%,25.0%,+1.7
New York,7-3-0,70.0%,30.0%,+12.5
Washington,6-3-0,66.7%,33.3%,+7.3
Houston,7-4-1,63.6%,36.4%,+3.4
Golden State,7-4-0,63.6%,36.4%,+2.7
Brooklyn,7-4-0,63.6%,36.4%,+9.3
Phoenix,7-4-0,63.6%,36.4%,+0.2
Miami,5-3-0,62.5%,37.5%,+3.6
Memphis,7-5-0,58.3%,41.7%,-0.3
Chicago,7-5-0,58.3%,41.7%,+4.2
Minnesota,4-3-0,57.1%,42.9%,+2.4
LA Lakers,5-4-0,55.6%,44.4%,+5.3
Utah,5-5-0,50.0%,50.0%,+2.4
Okla City,5-5-0,50.0%,50.0%,-4.5
New Orleans,5-5-0,50.0%,50.0%,-0.4
San Antonio,6-6-0,50.0%,50.0%,0.0
Philadelphia,5-6-0,45.5%,54.6%,-0.7
LA Clippers,4-6-1,40.0%,60.0%,-1.1
Sacramento,4-6-0,40.0%,60.0%,-0.4
Orlando,5-8-0,38.5%,61.5%,-8.8
Portland,3-5-1,37.5%,62.5%,-1.2
Charlotte,4-7-0,36.4%,63.6%,-4.4
Dallas,4-7-0,36.4%,63.6%,-6.5
Boston,4-7-0,36.4%,63.6%,+0.2
Milwaukee,3-6-0,33.3%,66.7%,-7.6
Detroit,4-9-0,30.8%,69.2%,-6.8
