Team,Over Record,Over %,Under %,Total +/-
San Antonio,46-25-0,64.8%,35.2%,+5.3
New York,33-18-3,64.7%,35.3%,+5.5
Philadelphia,37-21-1,63.8%,36.2%,+4.2
Miami,45-26-0,63.4%,36.6%,+4.5
Brooklyn,36-23-0,61.0%,39.0%,+6.0
Golden State,40-28-0,58.8%,41.2%,+1.1
Sacramento,35-25-0,58.3%,41.7%,+3.1
Chicago,32-23-1,58.2%,41.8%,+2.5
Portland,36-26-0,58.1%,41.9%,+4.1
Boston,40-30-2,57.1%,42.9%,+3.1
New Orleans,32-24-0,57.1%,42.9%,+1.4
Charlotte,29-22-0,56.9%,43.1%,+1.0
Indiana,33-27-2,55.0%,45.0%,+4.7
Memphis,27-23-1,54.0%,46.0%,+3.3
Atlanta,29-25-2,53.7%,46.3%,+2.6
Orlando,32-29-0,52.5%,47.5%,+0.1
Washington,28-26-2,51.9%,48.2%,+2.6
LA Clippers,32-30-2,51.6%,48.4%,+3.0
Milwaukee,28-27-0,50.9%,49.1%,-0.6
Utah,29-28-1,50.9%,49.1%,+0.8
Phoenix,31-34-2,47.7%,52.3%,-1.8
Dallas,31-34-0,47.7%,52.3%,0.0
Detroit,30-33-2,47.6%,52.4%,-3.2
LA Lakers,36-40-1,47.4%,52.6%,+0.4
Minnesota,26-29-1,47.3%,52.7%,+0.3
Houston,24-31-1,43.6%,56.4%,+0.8
Cleveland,27-37-2,42.2%,57.8%,-1.2
Denver,28-40-0,41.2%,58.8%,-4.5
Toronto,23-37-0,38.3%,61.7%,-3.1
Okla City,22-40-1,35.5%,64.5%,-4.4
