Team,ATS Record,Cover %,MOV,ATS +/-
Orlando,9-3-0,75.0%,11.0,+4.7
Cleveland,11-4-0,73.3%,14.6,+5.7
LA Clippers,4-2-0,66.7%,9.8,+4.8
San Antonio,4-2-0,66.7%,10.0,+5.5
Houston,9-5-0,64.3%,11.4,+5.1
Memphis,7-5-0,58.3%,10.2,+4.9
Okla City,9-7-0,56.3%,11.0,+1.9
New York,7-7-1,50.0%,6.9,+0.8
Golden State,6-6-0,50.0%,9.3,+2.1
Brooklyn,2-2-0,50.0%,-0.8,-2.5
Chicago,1-1-0,50.0%,5.0,-1.5
Dallas,5-6-0,45.5%,8.4,+0.4
Miami,4-5-0,44.4%,3.7,-0.7
Boston,8-10-0,44.4%,10.7,+0.2
LA Lakers,5-7-0,41.7%,2.5,-3.6
Milwaukee,5-7-1,41.7%,3.5,-3.2
Sacramento,4-7-1,36.4%,2.2,-5.3
Phoenix,3-6-0,33.3%,5.6,+0.2
Indiana,3-6-1,33.3%,-1.7,-7.9
Minnesota,5-11-0,31.3%,1.8,-4.8
Detroit,2-5-0,28.6%,2.0,-1.0
New Orleans,1-4-0,20.0%,-8.8,-12.9
Atlanta,2-8-0,20.0%,-1.9,-6.6
Denver,2-8-1,20.0%,-0.6,-6.0
Philadelphia,1-5-0,16.7%,-4.0,-7.8
Charlotte,0-1-0,0.0%,5.0,-1.5
