Team,ATS Record,Cover %,MOV,ATS +/-
Toronto,111-88-4,55.8%,1.8,+1.7
Sacramento,109-89-5,55.1%,-3.6,+0.3
Memphis,105-86-1,55.0%,-2.8,+0.3
Okla City,121-101-4,54.5%,0.0,+0.5
Detroit,106-90-6,54.1%,-5.3,+0.1
Boston,120-103-6,53.8%,3.2,+1.4
Milwaukee,102-90-3,53.1%,2.4,+0.2
Miami,97-86-7,53.0%,-1.4,+0.2
Washington,98-89-2,52.4%,-2.7,+0.1
Portland,112-104-3,51.9%,-1.2,+0.3
Utah,101-96-7,51.3%,0.2,+0.5
Dallas,104-99-5,51.2%,-1.1,+0.1
Golden State,101-97-4,51.0%,3.9,+0.2
Orlando,93-90-5,50.8%,-4.7,+0.3
Philadelphia,105-104-7,50.2%,-1.0,+0.9
Denver,108-108-4,50.0%,0.1,+0.4
Phoenix,95-96-1,49.7%,-4.4,-1.2
Chicago,90-91-6,49.7%,-2.7,-0.1
New Orleans,103-105-2,49.5%,-2.6,-0.4
LA Clippers,113-117-1,49.1%,2.1,+0.4
San Antonio,95-99-5,49.0%,-0.5,+0.1
Indiana,90-94-3,48.9%,-2.3,-0.2
LA Lakers,104-109-4,48.8%,-3.8,+0.1
Houston,92-97-4,48.7%,-1.8,-0.7
Charlotte,82-87-6,48.5%,-4.8,-0.1
Cleveland,98-104-5,48.5%,-1.5,-0.7
New York,88-97-3,47.6%,-3.7,+0.8
Minnesota,82-91-4,47.4%,-3.6,-0.7
Atlanta,91-107-2,46.0%,-3.2,-1.5
Brooklyn,87-106-2,45.1%,-5.5,-1.7
