Team,Over Record,Over %,Under %,Total +/-
Atlanta,14-5-0,73.7%,26.3%,+4.3
Memphis,13-6-0,68.4%,31.6%,+4.6
Cleveland,13-6-0,68.4%,31.6%,+8.2
Indiana,13-6-0,68.4%,31.6%,+0.7
Denver,11-6-0,64.7%,35.3%,+7.7
New York,11-7-0,61.1%,38.9%,+7.9
Phoenix,11-7-0,61.1%,38.9%,+1.9
Chicago,12-8-0,60.0%,40.0%,+7.1
Dallas,11-8-0,57.9%,42.1%,-0.4
Minnesota,10-8-0,55.6%,44.4%,+2.4
Golden State,10-8-0,55.6%,44.4%,-0.7
Philadelphia,9-8-0,52.9%,47.1%,-0.4
Brooklyn,10-9-0,52.6%,47.4%,+6.3
LA Lakers,9-9-0,50.0%,50.0%,+3.3
New Orleans,9-9-1,50.0%,50.0%,-2.0
Miami,8-8-0,50.0%,50.0%,-0.5
Boston,9-9-0,50.0%,50.0%,+1.6
Sacramento,9-10-0,47.4%,52.6%,-0.3
San Antonio,9-10-0,47.4%,52.6%,-2.3
Houston,9-10-1,47.4%,52.6%,-2.6
Toronto,9-10-0,47.4%,52.6%,+1.2
Washington,8-9-0,47.1%,52.9%,-1.5
Orlando,9-11-0,45.0%,55.0%,-6.1
Utah,8-10-0,44.4%,55.6%,+0.4
Okla City,8-10-0,44.4%,55.6%,-5.9
Detroit,8-12-0,40.0%,60.0%,-1.0
Portland,7-11-1,38.9%,61.1%,-4.4
Milwaukee,7-11-0,38.9%,61.1%,-2.5
Charlotte,7-11-0,38.9%,61.1%,-2.1
LA Clippers,7-12-1,36.8%,63.2%,-2.6
