Team,ATS Record,Cover %,MOV,ATS +/-
Cleveland,1-0-0,100.0%,28.0,+14.0
Memphis,6-1-0,85.7%,8.0,+7.4
Houston,5-1-0,83.3%,10.3,+8.6
Golden State,4-1-0,80.0%,8.0,+6.5
Brooklyn,7-2-1,77.8%,0.4,+7.9
San Antonio,6-2-0,75.0%,0.5,+5.6
Miami,6-2-0,75.0%,5.9,+5.6
Portland,8-3-0,72.7%,-4.7,+3.4
New York,5-2-0,71.4%,13.1,+8.9
Toronto,10-4-0,71.4%,-1.8,+5.5
Boston,2-1-0,66.7%,14.7,+3.3
Chicago,7-4-0,63.6%,-1.0,+2.9
Denver,4-3-0,57.1%,9.1,+6.1
Phoenix,4-3-0,57.1%,0.3,+3.1
Dallas,4-3-1,57.1%,8.9,+3.6
Indiana,5-4-1,55.6%,-0.8,-0.5
Charlotte,6-5-0,54.6%,-6.5,-2.1
Detroit,6-5-0,54.6%,-0.5,+2.9
LA Clippers,4-4-0,50.0%,0.3,+0.8
Utah,6-7-0,46.2%,-9.8,-2.0
Atlanta,5-6-0,45.5%,-2.4,-0.5
Minnesota,4-5-0,44.4%,-1.2,-5.0
Sacramento,4-5-1,44.4%,1.5,-1.8
Milwaukee,3-6-0,33.3%,-2.0,-3.9
Philadelphia,4-9-0,30.8%,-6.0,-4.0
LA Lakers,2-5-0,28.6%,-8.4,-10.1
New Orleans,4-10-0,28.6%,-14.0,-8.1
Orlando,2-5-0,28.6%,-3.6,-0.4
Okla City,1-3-0,25.0%,7.3,-2.0
Washington,3-10-1,23.1%,-16.6,-6.7
