Team,ATS Record,Cover %,MOV,ATS +/-
Philadelphia,239-191-6,55.6%,2.8,+0.8
Memphis,228-196-7,53.8%,2.2,+0.8
Boston,243-218-11,52.7%,6.3,+0.6
Golden State,247-222-12,52.7%,8.1,+0.5
Okla City,221-199-8,52.6%,4.2,+1.0
Indiana,215-196-13,52.3%,3.2,+0.8
Utah,214-198-13,51.9%,5.3,+0.9
San Antonio,218-202-3,51.9%,3.8,+0.4
New Orleans,209-207-4,50.2%,1.4,+0.1
Detroit,199-199-9,50.0%,-1.0,+0.2
Atlanta,217-218-2,49.9%,1.8,-0.4
Toronto,218-220-6,49.8%,4.6,0.0
Portland,206-210-10,49.5%,1.6,-0.2
Milwaukee,213-218-13,49.4%,5.4,-0.1
Denver,211-217-10,49.3%,4.9,+0.3
Houston,212-219-9,49.2%,2.9,-0.1
Dallas,207-215-11,49.1%,3.1,+0.2
Washington,203-211-7,49.0%,0.7,+0.1
LA Clippers,213-225-2,48.6%,4.8,-0.4
Orlando,193-204-8,48.6%,-1.3,-0.3
Cleveland,219-232-8,48.6%,3.0,-0.3
New York,198-214-7,48.1%,-0.6,-0.1
Charlotte,193-209-5,48.0%,-0.4,-0.4
LA Lakers,197-216-6,47.7%,0.7,+0.2
Chicago,197-216-5,47.7%,-0.7,-1.4
Phoenix,204-226-2,47.4%,0.7,-1.1
Miami,200-224-15,47.2%,2.8,-0.7
Sacramento,182-215-12,45.8%,-1.1,-1.3
Brooklyn,187-221-10,45.8%,-0.3,-0.7
Minnesota,184-230-7,44.4%,0.7,-0.7
