Team,ATS Record,Cover %,MOV,ATS +/-
Golden State,10-2-0,83.3%,12.3,+10.2
LA Clippers,7-3-0,70.0%,0.2,+3.7
Houston,9-4-0,69.2%,11.5,+5.8
Cleveland,8-4-0,66.7%,12.3,+4.3
Milwaukee,6-3-1,66.7%,5.5,+0.5
Charlotte,8-4-0,66.7%,-5.4,+1.8
Okla City,6-3-0,66.7%,10.0,+3.4
Orlando,9-5-0,64.3%,8.9,+4.8
Toronto,6-4-0,60.0%,-4.2,+3.7
Brooklyn,6-4-1,60.0%,-4.2,+2.2
Memphis,7-5-0,58.3%,9.0,+5.3
Boston,4-3-0,57.1%,11.0,+2.9
Dallas,4-3-1,57.1%,5.1,+3.2
Portland,7-6-0,53.9%,-10.2,-1.4
New York,6-6-1,50.0%,6.2,+1.0
Chicago,6-6-0,50.0%,-6.3,0.0
LA Lakers,5-6-0,45.5%,0.3,-1.5
Sacramento,4-5-0,44.4%,1.3,-4.1
Atlanta,4-5-0,44.4%,-0.7,-0.6
Detroit,6-8-1,42.9%,-3.1,+0.7
Indiana,5-7-1,41.7%,-2.2,-5.2
Denver,4-6-1,40.0%,-2.7,-3.7
Utah,3-5-0,37.5%,-12.6,-7.1
Miami,4-7-0,36.4%,-1.5,-2.4
New Orleans,5-10-0,33.3%,-11.8,-7.7
Minnesota,3-7-0,30.0%,2.7,-4.2
Washington,2-6-1,25.0%,-14.6,-4.6
Phoenix,2-7-0,22.2%,-3.4,-3.6
Philadelphia,2-8-0,20.0%,-9.1,-6.5
San Antonio,2-8-0,20.0%,-4.6,-4.1
