Team,ATS Record,Cover %,MOV,ATS +/-
LA Clippers,10-3-0,76.9%,5.4,+6.7
Houston,9-3-0,75.0%,12.6,+8.9
Toronto,7-3-0,70.0%,-0.9,+6.4
Cleveland,9-4-0,69.2%,8.5,+2.7
Charlotte,9-4-0,69.2%,-5.2,+1.1
Golden State,8-4-0,66.7%,6.7,+3.6
Portland,7-4-0,63.6%,-6.0,+1.5
Chicago,8-5-0,61.5%,-5.3,+1.5
Orlando,9-6-0,60.0%,7.6,+3.0
Utah,6-4-0,60.0%,-7.6,-0.6
Brooklyn,7-5-1,58.3%,-4.2,+1.5
Okla City,7-5-0,58.3%,8.5,0.0
Memphis,8-6-0,57.1%,8.5,+3.9
New York,6-5-1,54.6%,8.2,+2.7
Detroit,8-7-0,53.3%,-0.5,+2.6
San Antonio,6-6-0,50.0%,0.1,+1.8
Boston,5-6-0,45.5%,7.6,-2.6
Sacramento,5-6-1,45.5%,3.3,-1.1
Milwaukee,4-5-0,44.4%,1.1,-2.7
Denver,4-5-1,44.4%,0.5,-2.1
Atlanta,5-7-0,41.7%,-2.9,-0.5
LA Lakers,4-6-0,40.0%,-3.8,-6.1
Dallas,4-7-1,36.4%,5.8,+1.1
New Orleans,4-8-0,33.3%,-11.2,-7.5
Washington,3-6-1,33.3%,-11.6,-3.0
Minnesota,3-6-0,33.3%,2.3,-4.6
Indiana,4-9-1,30.8%,-5.2,-7.6
Miami,3-7-0,30.0%,-2.1,-2.5
Philadelphia,3-8-0,27.3%,-6.1,-4.8
Phoenix,3-8-0,27.3%,-2.5,-3.6
