Team,ATS Record,Cover %,MOV,ATS +/-
Houston,2-0-0,100.0%,6.0,+10.8
Orlando,1-0-0,100.0%,10.0,+5.5
Phoenix,2-0-0,100.0%,7.0,+4.5
Dallas,3-0-0,100.0%,12.7,+9.8
Memphis,2-0-0,100.0%,3.0,+4.5
San Antonio,2-0-0,100.0%,9.5,+13.5
Miami,3-0-0,100.0%,13.7,+10.0
Atlanta,2-1-0,66.7%,1.0,+2.3
Portland,2-1-0,66.7%,-6.3,+0.7
Washington,2-2-0,50.0%,-16.5,-4.8
Charlotte,1-1-0,50.0%,3.0,+1.8
Denver,1-1-0,50.0%,-3.0,-3.5
Toronto,2-2-0,50.0%,-3.8,+3.0
LA Clippers,1-1-0,50.0%,2.0,+1.8
Brooklyn,1-1-0,50.0%,-9.5,-1.3
Sacramento,1-1-0,50.0%,-4.0,-9.0
Chicago,1-1-0,50.0%,5.0,-1.5
Cleveland,1-1-0,50.0%,1.5,-8.8
Indiana,1-1-0,50.0%,1.5,+4.3
Minnesota,2-3-0,40.0%,1.2,-2.0
Milwaukee,2-3-0,40.0%,2.4,-3.5
New Orleans,1-2-0,33.3%,-15.7,-8.2
Golden State,1-3-0,25.0%,0.0,-1.6
New York,1-3-0,25.0%,-2.0,-6.5
LA Lakers,1-4-0,20.0%,-4.2,-8.9
Philadelphia,1-4-0,20.0%,-7.2,-7.1
Utah,1-4-0,20.0%,-12.8,-5.7
Okla City,0-1-0,0.0%,12.0,-0.5
Boston,0-4-0,0.0%,6.8,-5.9
Detroit,0-1-0,0.0%,-2.0,-4.5
