Team,ATS Record,Cover %,MOV,ATS +/-
Boston,195-161-6,54.8%,2.2,+1.7
Memphis,206-173-2,54.4%,-2.1,+0.3
New Orleans,191-167-7,53.4%,-3.1,+0.6
Portland,190-168-7,53.1%,-1.3,+1.3
Toronto,185-166-7,52.7%,-1.4,+0.9
Golden State,186-171-8,52.1%,-0.1,+0.6
Dallas,178-165-7,51.9%,0.4,+0.3
Okla City,174-164-7,51.5%,-1.7,+0.1
Chicago,196-187-6,51.2%,-1.0,+0.2
Phoenix,181-174-3,51.0%,-1.3,-0.1
Miami,168-162-13,50.9%,-0.5,-0.4
San Antonio,175-169-8,50.9%,2.4,+0.5
Orlando,178-177-7,50.1%,-3.3,-0.4
Charlotte,185-186-6,49.9%,-4.9,0.0
New York,175-176-7,49.9%,-3.5,+0.2
Milwaukee,191-196-7,49.4%,-1.3,-0.2
Sacramento,178-183-10,49.3%,-5.5,-0.9
LA Clippers,188-195-4,49.1%,-0.7,+0.4
LA Lakers,165-172-3,49.0%,-2.1,-0.6
Minnesota,174-184-9,48.6%,-3.7,-0.1
Detroit,185-197-7,48.4%,-3.0,-0.7
Atlanta,189-203-6,48.2%,-2.5,-0.7
Washington,183-197-4,48.2%,-3.8,-0.1
Philadelphia,178-192-5,48.1%,-3.1,+0.1
Houston,172-191-5,47.4%,-0.9,-0.2
Utah,172-191-9,47.4%,-1.4,-0.5
Denver,163-187-7,46.6%,-2.0,-1.1
Cleveland,175-201-10,46.5%,-2.9,-1.4
Indiana,175-209-5,45.6%,-2.1,-0.9
Brooklyn,168-206-5,44.9%,-5.2,-1.5
