Team,Over Record,Over %,Under %,Total +/-
New Orleans,233-183-4,56.0%,44.0%,+1.7
Washington,227-186-8,55.0%,45.0%,+2.1
Boston,252-216-5,53.9%,46.2%,+1.1
San Antonio,221-199-3,52.6%,47.4%,+1.2
Atlanta,228-206-5,52.5%,47.5%,+1.8
Toronto,232-210-3,52.5%,47.5%,+0.9
Denver,227-206-5,52.4%,47.6%,+1.5
Sacramento,211-194-5,52.1%,47.9%,+1.4
Milwaukee,230-212-3,52.0%,48.0%,+0.9
Miami,225-212-3,51.5%,48.5%,+0.9
Detroit,205-194-9,51.4%,48.6%,+0.5
Cleveland,232-220-8,51.3%,48.7%,+1.1
Indiana,216-206-3,51.2%,48.8%,+1.1
Philadelphia,222-212-2,51.2%,48.9%,+0.3
Portland,215-207-6,51.0%,49.1%,+2.0
Okla City,213-206-9,50.8%,49.2%,+1.0
Minnesota,213-207-3,50.7%,49.3%,-1.3
Houston,216-215-10,50.1%,49.9%,0.0
Phoenix,215-215-3,50.0%,50.0%,-0.3
Golden State,225-247-9,47.7%,52.3%,-0.7
Orlando,191-211-3,47.5%,52.5%,-0.1
Brooklyn,196-219-5,47.2%,52.8%,-0.9
Chicago,194-222-4,46.6%,53.4%,-0.5
LA Clippers,201-232-8,46.4%,53.6%,-0.3
Utah,196-227-4,46.3%,53.7%,-0.5
Memphis,193-229-11,45.7%,54.3%,-1.0
LA Lakers,191-227-2,45.7%,54.3%,-2.0
Charlotte,183-221-5,45.3%,54.7%,-0.8
New York,187-228-5,45.1%,54.9%,-0.3
Dallas,191-235-7,44.8%,55.2%,-0.7
