Team,ATS Record,Cover %,MOV,ATS +/-
Miami,227-175-10,56.5%,1.9,+1.7
Boston,196-156-4,55.7%,3.4,+1.0
Dallas,231-186-12,55.4%,1.3,+1.9
Indiana,226-193-10,53.9%,0.9,+1.4
Philadelphia,229-197-9,53.8%,-2.4,+0.7
Sacramento,239-211-15,53.1%,-2.1,+0.4
Denver,197-178-8,52.5%,2.0,+1.2
Milwaukee,188-170-5,52.5%,2.6,+0.6
San Antonio,206-189-11,52.2%,-0.8,+0.7
Golden State,164-152-4,51.9%,3.9,+1.1
Detroit,261-248-12,51.3%,-3.7,+0.6
Memphis,215-206-6,51.1%,-1.6,+0.2
Chicago,229-220-6,51.0%,-1.8,+0.5
Phoenix,230-221-5,51.0%,-3.3,-0.3
LA Clippers,182-176-2,50.8%,2.2,+0.3
Toronto,190-187-5,50.4%,1.3,+0.4
Okla City,194-191-9,50.4%,-0.7,+0.2
New Orleans,223-220-6,50.3%,-0.8,+0.8
New York,240-241-8,49.9%,-3.0,+0.7
Orlando,244-247-10,49.7%,-4.1,0.0
Brooklyn,229-235-11,49.4%,-2.9,+0.3
Utah,189-198-9,48.8%,0.1,-0.4
LA Lakers,225-236-9,48.8%,-3.3,-0.2
Charlotte,220-236-13,48.3%,-3.5,-0.5
Atlanta,213-229-4,48.2%,-1.8,-0.6
Minnesota,222-244-3,47.6%,-1.9,+0.3
Portland,209-230-4,47.6%,-2.9,-0.8
Houston,194-218-8,47.1%,-2.0,-0.3
Washington,217-244-12,47.1%,-3.1,-0.4
Cleveland,178-223-11,44.4%,-2.0,-1.3
