Team,Over Record,Over %,Under %,Total +/-
New Orleans,195-172-2,53.1%,46.9%,+0.6
Sacramento,161-143-5,53.0%,47.0%,+0.8
Phoenix,219-195-3,52.9%,47.1%,+0.3
Boston,361-324-7,52.7%,47.3%,+1.1
Philadelphia,230-208-4,52.5%,47.5%,+1.3
Toronto,287-263-6,52.2%,47.8%,+0.5
Milwaukee,317-292-6,52.1%,48.0%,+1.0
Cleveland,271-250-7,52.0%,48.0%,+0.8
Okla City,240-225-10,51.6%,48.4%,+1.2
Washington,174-166-5,51.2%,48.8%,+1.0
Miami,256-249-3,50.7%,49.3%,+0.2
Minnesota,181-177-3,50.6%,49.4%,-0.3
Detroit,119-117-4,50.4%,49.6%,+0.4
San Antonio,226-228-4,49.8%,50.2%,+0.5
Indiana,209-213-4,49.5%,50.5%,+0.5
Charlotte,146-149-2,49.5%,50.5%,+1.7
Houston,233-240-12,49.3%,50.7%,-0.3
Denver,261-273-5,48.9%,51.1%,+0.7
Atlanta,204-214-5,48.8%,51.2%,0.0
Portland,195-206-6,48.6%,51.4%,+1.3
LA Clippers,281-300-9,48.4%,51.6%,-0.1
Utah,242-259-5,48.3%,51.7%,0.0
Brooklyn,153-164-4,48.3%,51.7%,-0.6
Golden State,342-371-10,48.0%,52.0%,-0.2
Dallas,210-229-6,47.8%,52.2%,0.0
Chicago,152-169-4,47.4%,52.7%,+0.4
LA Lakers,172-196-3,46.7%,53.3%,-0.9
Orlando,106-121-2,46.7%,53.3%,-1.8
Memphis,183-209-12,46.7%,53.3%,-0.4
New York,130-151-3,46.3%,53.7%,-0.4
