Team,Over Record,Over %,Under %,Total +/-
Sacramento,461-391-13,54.1%,45.9%,+1.9
Milwaukee,476-413-9,53.5%,46.5%,+1.4
Denver,475-425-12,52.8%,47.2%,+1.3
Atlanta,474-430-8,52.4%,47.6%,+1.7
Washington,451-412-20,52.3%,47.7%,+1.5
Detroit,460-426-20,51.9%,48.1%,+0.3
New Orleans,447-421-11,51.5%,48.5%,+0.6
Boston,493-469-12,51.3%,48.8%,+0.4
Golden State,474-452-14,51.2%,48.8%,+0.2
Phoenix,461-442-9,51.1%,49.0%,0.0
Okla City,457-441-17,50.9%,49.1%,+0.6
Portland,443-432-11,50.6%,49.4%,+1.6
Miami,481-475-9,50.3%,49.7%,+0.6
Toronto,448-444-7,50.2%,49.8%,+1.2
San Antonio,465-479-8,49.3%,50.7%,+0.6
Indiana,441-455-16,49.2%,50.8%,+0.4
Brooklyn,434-450-7,49.1%,50.9%,-0.2
Minnesota,425-441-10,49.1%,50.9%,-1.0
Dallas,447-465-13,49.0%,51.0%,+0.5
Philadelphia,433-455-9,48.8%,51.2%,-0.5
Houston,432-461-15,48.4%,51.6%,-0.6
Charlotte,389-415-12,48.4%,51.6%,-0.1
New York,421-450-6,48.3%,51.7%,+0.7
Cleveland,448-480-12,48.3%,51.7%,+0.2
Orlando,418-448-13,48.3%,51.7%,-0.1
LA Lakers,441-478-8,48.0%,52.0%,-0.9
Utah,417-465-11,47.3%,52.7%,-0.4
Memphis,415-476-12,46.6%,53.4%,-0.4
LA Clippers,413-477-16,46.4%,53.6%,-0.5
Chicago,409-485-6,45.8%,54.3%,-0.6
