Team,ATS Record,Cover %,MOV,ATS +/-
Cleveland,3-0-0,100.0%,1.3,+5.2
Okla City,1-0-0,100.0%,15.0,+17.0
Minnesota,1-0-0,100.0%,-2.0,+6.0
Memphis,6-2-0,75.0%,2.1,+7.3
Dallas,5-2-1,71.4%,3.3,+6.9
Houston,5-2-0,71.4%,-0.3,+3.4
Golden State,7-3-0,70.0%,-0.5,+3.5
Toronto,16-8-0,66.7%,-4.9,+2.9
Brooklyn,12-6-1,66.7%,-4.3,+4.3
Denver,4-2-0,66.7%,1.5,+6.5
Atlanta,7-4-0,63.6%,-3.4,+4.0
LA Clippers,10-6-0,62.5%,-3.9,+1.8
Charlotte,13-9-0,59.1%,-6.4,+0.8
Detroit,10-7-1,58.8%,-4.3,+2.2
Portland,12-9-1,57.1%,-8.1,+0.2
New York,1-1-0,50.0%,2.0,+6.0
Milwaukee,3-3-0,50.0%,-7.3,-0.3
Chicago,10-11-0,47.6%,-6.0,+0.5
Utah,10-12-0,45.5%,-8.0,-0.8
Indiana,4-5-0,44.4%,-6.2,-1.4
San Antonio,7-9-0,43.8%,-5.7,+0.1
Miami,3-4-0,42.9%,-5.6,-0.6
New Orleans,7-11-0,38.9%,-12.1,-4.5
Philadelphia,5-8-0,38.5%,-8.7,-3.8
Sacramento,3-5-0,37.5%,-1.9,0.0
LA Lakers,3-6-0,33.3%,-16.1,-12.4
Phoenix,3-6-0,33.3%,-8.0,-3.0
Washington,6-14-1,30.0%,-15.6,-5.0
Orlando,2-6-0,25.0%,-8.1,-2.6
Boston,0-1-0,0.0%,-4.0,-2.5
