Team,ATS Record,Cover %,MOV,ATS +/-
Houston,3-0-0,100.0%,5.0,+8.7
San Antonio,6-0-0,100.0%,8.5,+13.1
Miami,4-0-0,100.0%,9.0,+6.6
Chicago,5-1-0,83.3%,10.7,+9.4
Charlotte,3-1-0,75.0%,-1.0,+1.5
Phoenix,3-1-0,75.0%,12.5,+5.9
Orlando,2-1-0,66.7%,9.3,+2.8
Toronto,2-1-0,66.7%,1.7,+5.5
Brooklyn,4-2-0,66.7%,-5.0,+2.5
LA Clippers,4-2-0,66.7%,3.5,+2.3
Dallas,2-1-0,66.7%,9.3,+1.5
Indiana,2-1-0,66.7%,4.0,+4.7
Atlanta,4-2-0,66.7%,1.0,+2.7
Minnesota,5-3-0,62.5%,11.0,+5.9
Portland,3-2-0,60.0%,-1.4,+4.0
Okla City,3-2-0,60.0%,13.2,+4.0
Memphis,2-2-0,50.0%,0.5,-2.8
Cleveland,2-2-0,50.0%,6.3,-4.1
New Orleans,2-2-0,50.0%,-11.3,-5.3
Sacramento,3-4-1,42.9%,4.0,+0.3
Utah,2-3-0,40.0%,-12.8,-5.4
New York,2-3-0,40.0%,2.8,-2.1
Washington,2-4-0,33.3%,-17.3,-5.7
Denver,1-2-0,33.3%,2.7,-2.5
Golden State,2-4-0,33.3%,-2.0,-6.1
Detroit,1-2-0,33.3%,3.0,+3.5
LA Lakers,2-5-0,28.6%,-0.6,-6.8
Boston,2-5-0,28.6%,10.3,-0.9
Milwaukee,1-4-0,20.0%,-2.0,-6.2
Philadelphia,1-5-0,16.7%,-7.0,-7.8
