Team,Over Record,Over %,Under %,Total +/-
Washington,456-387-14,54.1%,45.9%,+1.4
Minnesota,449-392-8,53.4%,46.6%,+0.8
Toronto,469-432-9,52.1%,48.0%,+0.7
Denver,463-429-10,51.9%,48.1%,+1.0
San Antonio,443-415-11,51.6%,48.4%,+0.7
Portland,443-424-10,51.1%,48.9%,+1.0
Indiana,440-421-10,51.1%,48.9%,+1.0
Atlanta,446-428-10,51.0%,49.0%,+1.0
Phoenix,438-426-9,50.7%,49.3%,0.0
Milwaukee,458-446-9,50.7%,49.3%,+0.6
Boston,484-472-10,50.6%,49.4%,+0.6
New Orleans,425-419-8,50.4%,49.6%,+0.2
Philadelphia,442-439-9,50.2%,49.8%,+0.1
Sacramento,409-410-14,49.9%,50.1%,+0.4
Cleveland,453-455-9,49.9%,50.1%,+0.2
Utah,426-435-12,49.5%,50.5%,+0.7
Houston,434-446-16,49.3%,50.7%,+0.1
LA Lakers,428-440-6,49.3%,50.7%,-0.3
Okla City,424-439-13,49.1%,50.9%,0.0
Charlotte,400-416-9,49.0%,51.0%,+0.2
Detroit,399-415-13,49.0%,51.0%,+0.3
LA Clippers,432-453-17,48.8%,51.2%,+0.3
Chicago,407-427-10,48.8%,51.2%,+0.7
Miami,445-467-4,48.8%,51.2%,-0.6
Orlando,405-428-10,48.6%,51.4%,-0.5
Brooklyn,410-437-12,48.4%,51.6%,+0.4
Memphis,414-442-16,48.4%,51.6%,+0.2
Golden State,450-495-13,47.6%,52.4%,-0.2
New York,396-437-13,47.5%,52.5%,0.0
Dallas,416-464-10,47.3%,52.7%,0.0
