Team,Over Record,Over %,Under %,Total +/-
Minnesota,235-185-5,56.0%,44.1%,+2.8
Washington,224-195-6,53.5%,46.5%,+1.0
LA Lakers,224-195-4,53.5%,46.5%,+1.5
Toronto,229-207-6,52.5%,47.5%,+0.6
Charlotte,215-195-4,52.4%,47.6%,+1.2
Utah,221-202-8,52.3%,47.8%,+1.7
Indiana,219-205-7,51.7%,48.4%,+1.1
Memphis,219-206-5,51.5%,48.5%,+1.4
LA Clippers,221-209-8,51.4%,48.6%,+0.9
Chicago,212-203-6,51.1%,48.9%,+1.9
Phoenix,216-207-6,51.1%,48.9%,+0.4
Denver,219-213-4,50.7%,49.3%,+0.2
Portland,216-214-4,50.2%,49.8%,-0.5
San Antonio,211-211-8,50.0%,50.0%,-0.3
New York,206-207-8,49.9%,50.1%,+0.3
Brooklyn,207-209-7,49.8%,50.2%,+1.7
Milwaukee,219-222-6,49.7%,50.3%,+0.5
Houston,212-217-6,49.4%,50.6%,+0.5
Atlanta,216-222-5,49.3%,50.7%,+0.1
Orlando,204-210-7,49.3%,50.7%,-1.0
Philadelphia,213-220-7,49.2%,50.8%,-0.4
Dallas,214-223-3,49.0%,51.0%,+0.2
Cleveland,221-233-1,48.7%,51.3%,-0.5
Golden State,224-246-4,47.7%,52.3%,+0.3
Okla City,203-224-4,47.5%,52.5%,-0.7
Sacramento,192-212-9,47.5%,52.5%,-0.8
Boston,217-242-4,47.3%,52.7%,-0.1
Detroit,192-220-4,46.6%,53.4%,0.0
Miami,204-239-0,46.1%,54.0%,-2.2
New Orleans,189-229-4,45.2%,54.8%,-1.2
