Team,Over Record,Over %,Under %,Total +/-
Minnesota,214-181-5,54.2%,45.8%,+1.8
Denver,248-216-2,53.5%,46.6%,+1.4
Charlotte,180-160-4,52.9%,47.1%,+1.7
Toronto,225-200-1,52.9%,47.1%,+2.0
LA Clippers,249-228-7,52.2%,47.8%,+0.6
Indiana,208-194-6,51.7%,48.3%,+0.9
Brooklyn,219-206-3,51.5%,48.5%,+1.6
Philadelphia,220-207-8,51.5%,48.5%,+1.3
Phoenix,216-206-7,51.2%,48.8%,+1.2
Milwaukee,208-199-1,51.1%,48.9%,+0.4
Boston,226-217-9,51.0%,49.0%,+1.6
Okla City,231-224-7,50.8%,49.2%,+0.8
LA Lakers,255-249-5,50.6%,49.4%,+0.3
Miami,225-222-5,50.3%,49.7%,-0.3
Cleveland,218-216-5,50.2%,49.8%,+0.6
Chicago,193-194-2,49.9%,50.1%,+1.7
Golden State,221-224-6,49.7%,50.3%,+0.9
Dallas,224-230-7,49.3%,50.7%,-0.3
San Antonio,223-229-5,49.3%,50.7%,+0.1
Houston,211-219-4,49.1%,50.9%,+0.6
New York,203-213-2,48.8%,51.2%,-0.4
New Orleans,203-213-6,48.8%,51.2%,-0.8
Detroit,208-219-8,48.7%,51.3%,+0.2
Atlanta,196-213-3,47.9%,52.1%,-0.2
Orlando,182-201-8,47.5%,52.5%,-0.7
Utah,209-231-5,47.5%,52.5%,+0.3
Washington,183-203-5,47.4%,52.6%,+0.2
Memphis,190-213-9,47.2%,52.9%,-0.2
Sacramento,205-231-10,47.0%,53.0%,-0.7
Portland,204-238-8,46.2%,53.9%,-1.1
