Team,Over Record,Over %,Under %,Total +/-
Toronto,1-0-0,100.0%,0.0%,+17.0
Brooklyn,2-0-0,100.0%,0.0%,+19.5
Sacramento,1-0-0,100.0%,0.0%,+10.0
Philadelphia,1-0-1,100.0%,0.0%,+5.3
Milwaukee,1-0-0,100.0%,0.0%,+10.5
Memphis,2-0-0,100.0%,0.0%,+23.5
San Antonio,2-0-0,100.0%,0.0%,+5.0
New Orleans,1-0-0,100.0%,0.0%,+9.0
Miami,2-0-0,100.0%,0.0%,+12.5
Atlanta,1-0-0,100.0%,0.0%,+12.5
Utah,2-0-0,100.0%,0.0%,+23.5
Portland,2-0-0,100.0%,0.0%,+14.8
New York,1-0-0,100.0%,0.0%,+19.5
Golden State,1-0-0,100.0%,0.0%,+22.0
Dallas,2-0-0,100.0%,0.0%,+25.0
Phoenix,2-1-0,66.7%,33.3%,+7.8
Chicago,1-1-0,50.0%,50.0%,-10.3
LA Clippers,1-1-0,50.0%,50.0%,-2.5
Boston,1-1-0,50.0%,50.0%,+8.5
Cleveland,1-1-0,50.0%,50.0%,+2.3
Okla City,1-1-0,50.0%,50.0%,-12.8
Orlando,1-1-0,50.0%,50.0%,-9.0
LA Lakers,0-2-0,0.0%,100.0%,-20.3
Indiana,0-1-1,0.0%,100.0%,-6.0
Houston,0-1-0,0.0%,100.0%,-15.5
Minnesota,0-2-0,0.0%,100.0%,-20.3
Charlotte,0-2-0,0.0%,100.0%,-22.5
Washington,0-2-0,0.0%,100.0%,-9.8
Denver,0-3-0,0.0%,100.0%,-23.8
Detroit,0-2-0,0.0%,100.0%,-7.3
