Team,ATS Record,Cover %,MOV,ATS +/-
LA Clippers,11-4-0,73.3%,4.3,+6.4
Cleveland,16-6-0,72.7%,10.5,+3.5
Orlando,12-5-0,70.6%,6.2,+1.8
Okla City,13-7-0,65.0%,10.8,+3.3
Memphis,11-7-0,61.1%,9.2,+5.7
Brooklyn,6-4-0,60.0%,-6.5,-0.1
Houston,10-7-0,58.8%,5.5,+2.8
Charlotte,4-3-0,57.1%,-5.1,+2.2
Toronto,4-3-0,57.1%,-8.3,+1.1
Dallas,9-8-0,52.9%,3.8,+1.4
Golden State,7-7-0,50.0%,2.5,-0.2
New York,7-8-1,46.7%,6.6,-0.2
Milwaukee,6-7-1,46.2%,3.9,-0.4
Portland,3-4-1,42.9%,-9.8,-0.9
Minnesota,6-8-0,42.9%,6.2,+0.1
Philadelphia,3-4-0,42.9%,-7.4,-8.5
LA Lakers,6-8-0,42.9%,0.1,-1.8
Denver,5-8-1,38.5%,-0.8,-3.1
Chicago,4-7-1,36.4%,-6.1,+0.3
Atlanta,5-9-0,35.7%,-3.9,-3.6
Washington,1-2-0,33.3%,-11.7,-3.5
San Antonio,4-9-0,30.8%,-0.8,-0.5
Miami,4-9-0,30.8%,1.8,-1.5
Sacramento,4-9-0,30.8%,2.6,-2.7
Detroit,3-7-1,30.0%,-7.6,-4.8
Indiana,3-9-0,25.0%,-4.4,-8.5
Boston,5-16-0,23.8%,6.9,-3.5
Phoenix,3-11-0,21.4%,-1.4,-5.6
Utah,1-4-0,20.0%,-18.4,-11.3
New Orleans,1-4-0,20.0%,-10.0,-9.1
