Team,ATS Record,Cover %,MOV,ATS +/-
Memphis,469-414-18,53.1%,1.1,+0.7
Okla City,507-466-11,52.1%,2.4,+0.2
San Antonio,602-558-20,51.9%,4.6,+0.3
New York,370-352-9,51.3%,-0.7,+0.3
Cleveland,489-470-21,51.0%,2.4,+0.1
Orlando,397-383-17,50.9%,0.1,-0.2
Brooklyn,398-386-14,50.8%,-1.0,-0.5
Utah,465-454-22,50.6%,1.8,+0.1
Portland,425-418-18,50.4%,-0.1,+0.1
Boston,557-549-29,50.4%,3.9,+0.5
Denver,515-512-24,50.2%,2.0,-0.2
Houston,492-489-12,50.2%,2.5,+0.1
Toronto,441-441-16,50.0%,1.4,+0.3
New Orleans,397-400-11,49.8%,-0.4,-0.1
Golden State,508-512-25,49.8%,3.1,-0.5
LA Clippers,466-476-14,49.5%,2.0,0.0
Phoenix,460-471-15,49.4%,2.0,-0.4
Detroit,390-405-21,49.1%,0.6,-0.3
Miami,534-555-25,49.0%,2.1,-0.4
Charlotte,305-319-9,48.9%,-2.1,+0.1
Dallas,516-541-19,48.8%,1.9,-0.7
Philadelphia,401-423-17,48.7%,0.3,-0.5
Chicago,425-452-13,48.5%,-0.2,-0.7
Indiana,446-481-19,48.1%,0.4,-0.6
Atlanta,403-441-8,47.8%,-0.7,-0.7
Milwaukee,420-469-20,47.2%,0.8,-1.1
Washington,339-391-12,46.4%,-1.9,-0.8
LA Lakers,448-526-15,46.0%,1.7,-0.7
Sacramento,326-389-16,45.6%,-2.3,-1.5
Minnesota,316-388-17,44.9%,-1.0,-1.0
