Team,Over Record,Over %,Under %,Total +/-
Sacramento,234-192-6,54.9%,45.1%,+2.3
Portland,239-201-8,54.3%,45.7%,+2.4
Milwaukee,250-215-3,53.8%,46.2%,+1.5
Washington,228-198-9,53.5%,46.5%,+1.1
Philadelphia,220-194-5,53.1%,46.9%,+0.5
Phoenix,255-226-3,53.0%,47.0%,+0.9
Atlanta,216-197-4,52.3%,47.7%,+2.2
Cleveland,226-208-6,52.1%,47.9%,+1.1
Toronto,198-188-1,51.3%,48.7%,+0.5
Utah,222-214-4,50.9%,49.1%,+1.4
Detroit,204-201-4,50.4%,49.6%,-0.3
Houston,211-209-9,50.2%,49.8%,+0.7
Dallas,206-207-7,49.9%,50.1%,+1.0
Orlando,214-215-6,49.9%,50.1%,-0.1
LA Lakers,213-214-5,49.9%,50.1%,-0.3
Charlotte,195-196-5,49.9%,50.1%,0.0
Indiana,206-210-7,49.5%,50.5%,-0.1
Denver,222-227-4,49.4%,50.6%,+0.6
Brooklyn,204-209-3,49.4%,50.6%,+0.4
Boston,195-201-6,49.2%,50.8%,+0.6
LA Clippers,221-235-9,48.5%,51.5%,+1.1
Chicago,220-235-6,48.4%,51.7%,+0.3
Golden State,226-242-4,48.3%,51.7%,+1.0
New Orleans,212-228-5,48.2%,51.8%,-0.2
Minnesota,200-220-6,47.6%,52.4%,-0.1
San Antonio,197-220-9,47.2%,52.8%,+0.1
New York,190-214-5,47.0%,53.0%,-0.5
Okla City,195-229-7,46.0%,54.0%,-1.1
Miami,195-233-1,45.6%,54.4%,-1.2
Memphis,190-229-6,45.4%,54.7%,-1.4
