Team,Over Record,Over %,Under %,Total +/-
Washington,101-54-2,65.2%,34.8%,+2.4
Detroit,84-67-0,55.6%,44.4%,+1.9
Phoenix,86-69-1,55.5%,44.5%,+0.7
Philadelphia,92-81-1,53.2%,46.8%,+1.3
Milwaukee,93-87-1,51.7%,48.3%,+1.2
Memphis,82-77-4,51.6%,48.4%,+1.7
Minnesota,77-73-1,51.3%,48.7%,+0.6
Portland,80-76-1,51.3%,48.7%,+2.3
Chicago,74-72-1,50.7%,49.3%,+2.9
Toronto,83-81-2,50.6%,49.4%,-0.6
Denver,80-80-2,50.0%,50.0%,+1.6
Orlando,69-70-1,49.6%,50.4%,-0.4
Boston,89-92-1,49.2%,50.8%,-0.3
Utah,80-83-1,49.1%,50.9%,+2.2
Cleveland,88-93-1,48.6%,51.4%,-0.1
Indiana,68-72-1,48.6%,51.4%,+0.9
Golden State,103-111-2,48.1%,51.9%,+0.6
Charlotte,66-72-1,47.8%,52.2%,+0.3
San Antonio,74-81-1,47.7%,52.3%,-0.5
Houston,72-79-6,47.7%,52.3%,-1.0
Miami,78-87-0,47.3%,52.7%,-0.2
Atlanta,75-84-0,47.2%,52.8%,+0.6
Sacramento,72-81-1,47.1%,52.9%,0.0
LA Lakers,68-78-2,46.6%,53.4%,-1.1
New York,70-82-2,46.1%,54.0%,-0.9
New Orleans,74-87-1,46.0%,54.0%,-2.0
Okla City,71-84-1,45.8%,54.2%,-1.1
Dallas,72-86-2,45.6%,54.4%,+0.3
Brooklyn,74-89-2,45.4%,54.6%,+0.1
LA Clippers,71-96-2,42.5%,57.5%,+0.2
