Team,ATS Record,Cover %,MOV,ATS +/-
Memphis,234-173-5,57.5%,-2.0,+1.2
Boston,234-209-9,52.8%,2.5,+1.2
Toronto,220-198-9,52.6%,-1.3,+0.8
Dallas,237-214-10,52.6%,0.6,0.0
Sacramento,225-211-11,51.6%,-3.8,-0.1
New Orleans,214-201-8,51.6%,-3.0,+0.4
Okla City,234-221-9,51.4%,-1.4,-0.1
Washington,199-189-4,51.3%,-3.7,+0.3
LA Clippers,245-235-5,51.0%,-0.3,+0.4
San Antonio,229-220-9,51.0%,2.5,+0.6
Chicago,194-189-8,50.7%,-1.2,+0.6
Miami,222-217-13,50.6%,0.1,-0.1
New York,208-205-7,50.4%,-3.5,+0.5
Detroit,215-212-8,50.4%,-3.2,-0.6
Portland,225-222-3,50.3%,-2.0,+0.1
Milwaukee,202-201-6,50.1%,-1.9,-0.5
Utah,217-218-10,49.9%,-0.6,+0.3
Charlotte,167-169-10,49.7%,-6.0,-0.3
Orlando,190-193-8,49.6%,-3.0,+0.2
Indiana,200-205-4,49.4%,-2.2,-0.5
Philadelphia,210-216-9,49.3%,-2.2,+0.5
Golden State,219-228-5,49.0%,-0.5,-0.1
Cleveland,209-219-11,48.8%,-2.2,-1.0
Houston,206-220-9,48.4%,-0.8,-0.2
Phoenix,202-221-6,47.8%,-2.5,-1.2
Denver,218-241-9,47.5%,-0.7,-0.6
LA Lakers,238-265-6,47.3%,-1.7,-0.5
Minnesota,185-206-9,47.3%,-3.9,-0.4
Atlanta,192-215-6,47.2%,-3.2,-0.6
Brooklyn,188-237-3,44.2%,-4.8,-1.5
