Team,Over Record,Over %,Under %,Total +/-
Utah,429-386-14,52.6%,47.4%,+1.3
San Antonio,310-279-11,52.6%,47.4%,+0.3
Milwaukee,431-399-11,51.9%,48.1%,+0.6
Minnesota,518-490-16,51.4%,48.6%,+0.9
Indiana,449-425-15,51.4%,48.6%,+0.8
Denver,379-363-9,51.1%,48.9%,+0.2
Washington,559-538-21,51.0%,49.0%,+0.9
Atlanta,515-496-9,50.9%,49.1%,+0.6
Toronto,460-447-7,50.7%,49.3%,+1.4
Portland,486-473-9,50.7%,49.3%,+0.1
New York,552-544-9,50.4%,49.6%,+0.6
Golden State,384-379-7,50.3%,49.7%,+0.5
LA Lakers,423-418-8,50.3%,49.7%,-0.2
Dallas,357-353-8,50.3%,49.7%,+0.7
Sacramento,532-527-22,50.2%,49.8%,+0.6
LA Clippers,399-397-19,50.1%,49.9%,+0.7
Chicago,480-478-12,50.1%,49.9%,+0.6
Memphis,470-471-6,50.0%,50.1%,+0.1
Phoenix,406-412-11,49.6%,50.4%,+0.2
Philadelphia,482-497-16,49.2%,50.8%,-0.1
Charlotte,557-579-16,49.0%,51.0%,-0.1
Orlando,499-524-16,48.8%,51.2%,0.0
Brooklyn,523-551-14,48.7%,51.3%,+0.6
Detroit,480-510-14,48.5%,51.5%,-0.1
Houston,373-398-8,48.4%,51.6%,+1.0
Cleveland,412-449-5,47.9%,52.2%,-0.3
Boston,329-359-6,47.8%,52.2%,+0.3
New Orleans,475-529-14,47.3%,52.7%,-0.1
Okla City,393-438-8,47.3%,52.7%,-0.4
Miami,347-394-5,46.8%,53.2%,-1.3
