Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,2-0-0,100.0%,-6.0,+7.3
Lipscomb,80-46-1,63.5%,-6.1,+2.8
Gard-Webb,78-50-0,60.9%,-6.9,+2.6
SE Louisiana,79-54-0,59.4%,-9.6,+0.3
TX-Arlington,101-70-4,59.1%,-6.1,+2.5
Arizona,90-64-1,58.4%,-3.1,+1.3
IPFW,121-87-3,58.2%,-6.1,+1.1
Florida A&M,102-74-0,58.0%,-10.7,+1.9
Miami,194-141-8,57.9%,-4.3,+1.8
Tennessee,149-110-3,57.5%,-3.6,+2.0
N Florida,90-67-2,57.3%,-10.3,+1.6
Colgate,40-30-3,57.1%,-8.1,+1.9
NC Central,60-45-1,57.1%,-10.8,+0.7
Le Moyne,12-9-1,57.1%,-8.5,+2.0
Jksnville St,174-133-10,56.7%,-7.1,+1.3
Jackson St,78-60-3,56.5%,-11.6,+0.7
Oakland,113-87-3,56.5%,-8.1,+0.3
S Car State,99-77-5,56.3%,-12.7,+1.0
Col Charlestn,127-99-6,56.2%,-4.6,+1.9
E Kentucky,175-138-7,55.9%,-7.9,+1.0
Gonzaga,62-49-0,55.9%,-2.7,+2.1
Marquette,171-136-5,55.7%,-4.9,+0.8
TX A&M-Com,25-20-2,55.6%,-10.2,+0.1
Princeton,120-96-5,55.6%,-6.0,+1.2
Coastal Car,88-71-5,55.4%,-5.4,+1.1
E Tenn St,104-84-4,55.3%,-6.7,+1.0
Yale,143-116-10,55.2%,-7.4,+1.4
Cornell,190-155-11,55.1%,-7.8,+1.2
TX A&M-CC,71-58-2,55.0%,-7.6,+1.6
Memphis,126-103-4,55.0%,-4.4,+1.2
Stetson,89-73-6,54.9%,-8.9,+0.8
Canisius,210-174-18,54.7%,-6.6,+0.8
Xavier,123-102-9,54.7%,-2.8,+1.7
Seton Hall,200-168-3,54.4%,-5.5,+0.9
SC Upstate,101-85-3,54.3%,-9.2,+0.8
Creighton,121-102-3,54.3%,-3.2,+1.8
Kent St,145-124-6,53.9%,-4.3,+1.4
Temple,166-142-8,53.9%,-5.3,+1.0
Wisconsin,132-113-12,53.9%,-3.2,+1.7
Kansas City,119-102-4,53.9%,-8.1,+1.1
TX Southern,63-54-3,53.9%,-12.7,+1.4
Lehigh,70-60-0,53.9%,-7.7,+0.7
W Kentucky,154-132-3,53.9%,-5.5,+1.1
Presbyterian,92-79-3,53.8%,-10.1,-0.2
Notre Dame,181-156-4,53.7%,-4.6,+1.5
Rob Morris,87-75-2,53.7%,-8.6,0.0
Campbell,66-57-2,53.7%,-5.5,+1.1
Army,67-58-3,53.6%,-6.5,+0.7
Miss State,179-155-11,53.6%,-6.0,+0.6
Providence,204-177-5,53.5%,-4.8,+1.6
Texas,144-125-3,53.5%,-4.7,+0.8
St Peters,205-178-11,53.5%,-7.0,+0.9
UAB,160-139-6,53.5%,-4.8,+1.4
Hofstra,153-133-16,53.5%,-6.1,+1.0
St. Thomas,23-20-2,53.5%,-5.9,+2.0
NW State,85-74-3,53.5%,-12.5,-0.1
Manhattan,196-171-7,53.4%,-6.9,+0.1
Kentucky,79-69-2,53.4%,-2.4,+2.0
Norfolk St,64-56-1,53.3%,-10.3,+0.3
Prairie View,66-58-3,53.2%,-11.6,+1.0
Idaho,250-220-10,53.2%,-8.3,+0.8
Wofford,175-154-3,53.2%,-7.8,+0.9
Nevada,132-117-6,53.0%,-5.5,+1.1
Niagara,203-180-4,53.0%,-6.3,+0.8
NC A&T,80-71-2,53.0%,-10.5,+0.4
WI-Milwkee,206-183-11,53.0%,-7.5,+0.7
LA Tech,163-145-6,52.9%,-6.9,+0.2
GA Tech,237-211-7,52.9%,-6.5,+0.6
Saint Louis,202-180-2,52.9%,-6.6,+0.6
Troy,175-156-8,52.9%,-6.4,+1.1
Utah Valley,65-58-1,52.9%,-6.6,+1.8
Siena,187-167-6,52.8%,-6.1,+0.9
Florida St,188-168-5,52.8%,-6.5,+0.5
Connecticut,104-93-3,52.8%,-4.4,+1.0
Wright St,171-153-8,52.8%,-6.4,+0.6
N Illinois,254-228-15,52.7%,-8.6,+0.1
Lg Beach St,225-202-11,52.7%,-8.7,+0.1
Harvard,129-116-5,52.7%,-7.0,+0.9
Penn St,246-222-10,52.6%,-7.5,+0.7
Oregon,155-140-4,52.5%,-5.0,+1.2
