Team,ATS Record,Cover %,MOV,ATS +/-
Grambling St,1-0-0,100.0%,-24.0,+1.5
Marshall,1-0-0,100.0%,14.0,+4.5
Villanova,1-0-0,100.0%,37.0,+14.5
Wash State,1-0-0,100.0%,23.0,+7.5
Beth-Cook,1-0-0,100.0%,-5.0,+18.0
Kansas City,1-0-0,100.0%,-26.0,+2.5
E Washingtn,1-0-0,100.0%,7.0,+15.0
Geo Mason,1-0-0,100.0%,38.0,+22.5
UC Davis,1-0-0,100.0%,4.0,+2.0
Buffalo,1-0-0,100.0%,-9.0,+14.5
St Fran (PA),1-0-0,100.0%,1.0,+9.0
St. Thomas,1-0-0,100.0%,-9.0,+3.5
Campbell,1-0-0,100.0%,-9.0,+7.0
Utah St,1-0-0,100.0%,29.0,+15.0
Auburn,1-0-0,100.0%,5.0,+10.5
Rice,1-0-0,100.0%,-8.0,+2.0
Cleveland St,1-0-0,100.0%,-13.0,+10.0
Winthrop,1-0-0,100.0%,-6.0,+3.0
Columbia,1-0-0,100.0%,21.0,+8.5
NW State,1-0-0,100.0%,-16.0,+9.5
Rider,1-0-0,100.0%,1.0,+4.0
Arizona St,2-0-0,100.0%,-0.5,+13.0
Bucknell,1-0-0,100.0%,-28.0,+0.5
Florida Intl,1-0-0,100.0%,-5.0,+2.0
F Dickinson,1-0-0,100.0%,-26.0,+10.0
Austin Peay,1-0-0,100.0%,6.0,+8.5
Lehigh,1-0-0,100.0%,-8.0,+6.5
Idaho St,1-0-0,100.0%,-6.0,+17.5
Neb Omaha,1-0-0,100.0%,-4.0,+16.5
Texas A&M,1-0-0,100.0%,26.0,+1.0
UC Irvine,1-0-0,100.0%,20.0,+23.5
Norfolk St,1-0-0,100.0%,14.0,+18.5
St Peters,1-0-0,100.0%,-10.0,+6.5
Wright St,1-0-0,100.0%,13.0,+17.0
Butler,1-0-0,100.0%,20.0,+2.5
Wake Forest,1-0-0,100.0%,2.0,+4.0
SC Upstate,1-0-0,100.0%,-19.0,+5.0
Morehead St,1-0-0,100.0%,-27.0,+1.0
W Georgia,1-0-0,100.0%,-23.0,+0.5
N Florida,1-0-0,100.0%,12.0,+26.0
TX-Pan Am,1-0-0,100.0%,-13.0,+16.0
Furman,1-0-0,100.0%,9.0,+1.0
Lipscomb,2-0-0,100.0%,-3.5,+2.0
Kennesaw St,1-0-0,100.0%,-4.0,+6.5
Presbyterian,1-0-0,100.0%,-9.0,+13.0
Maine,1-0-0,100.0%,2.0,+5.5
Binghamton,1-0-0,100.0%,-24.0,+4.0
San Diego,1-0-0,100.0%,14.0,+11.5
LIU,1-0-0,100.0%,9.0,+20.5
Coppin St,1-1-0,50.0%,-29.5,-4.5
Wisconsin,1-1-0,50.0%,21.5,+5.3
SIU Edward,1-1-0,50.0%,-25.5,+1.5
Youngs St,0-1-0,0.0%,-34.0,-15.0
Morgan St,0-1-0,0.0%,-18.0,-8.5
Arkansas,0-1-0,0.0%,-5.0,-0.5
High Point,0-1-0,0.0%,9.0,-14.0
Sacred Hrt,0-2-0,0.0%,-20.5,-1.5
New Orleans,0-1-0,0.0%,-17.0,-4.5
Sac State,0-0-1,0.0%,-7.0,0.0
Quinnipiac,0-1-0,0.0%,-23.0,-3.0
Boise St,0-1-0,0.0%,-11.0,-13.0
Oakland,0-1-0,0.0%,-44.0,-27.0
Missouri,0-1-0,0.0%,7.0,-11.5
Alabama,0-1-0,0.0%,8.0,-9.5
Texas Tech,0-1-0,0.0%,21.0,-13.0
Central Ark,0-1-0,0.0%,-35.0,-5.5
TX A&M-Com,0-1-0,0.0%,-32.0,-1.0
Alcorn St,0-2-0,0.0%,-44.0,-19.3
Georgetown,0-1-0,0.0%,12.0,-3.5
LSU,0-1-0,0.0%,13.0,-6.0
Montana St,0-1-0,0.0%,-20.0,-10.0
W Illinois,0-1-0,0.0%,-13.0,-7.5
TN State,0-1-0,0.0%,-15.0,-4.0
S Methodist,0-1-0,0.0%,13.0,-1.0
Cal Poly,0-1-0,0.0%,-18.0,-3.5
Princeton,0-1-0,0.0%,3.0,-4.5
TX Southern,0-1-0,0.0%,-28.0,-10.5
Marquette,0-1-0,0.0%,8.0,-18.5
Richmond,0-1-0,0.0%,-7.0,-16.0
Maryland,0-1-0,0.0%,31.0,-0.5
Seattle,0-1-0,0.0%,-2.0,-3.0
UL Monroe,0-2-0,0.0%,-25.5,-8.8
Vermont,0-2-0,0.0%,-32.5,-27.5
BYU,0-1-0,0.0%,6.0,-16.0
Colgate,0-1-0,0.0%,-17.0,-20.5
Harvard,0-1-0,0.0%,-12.0,-13.5
Washington,0-1-0,0.0%,-10.0,-3.5
Ark Pine Bl,0-1-0,0.0%,-23.0,-1.5
Portland,0-1-0,0.0%,-41.0,-34.0
UAB,0-1-0,0.0%,10.0,-11.5
Stonehill,0-2-0,0.0%,-28.0,-2.5
