Team,ATS Record,Cover %,MOV,ATS +/-
Neb Omaha,2-0-0,100.0%,-0.5,+12.0
Presbyterian,1-0-0,100.0%,-9.0,+13.0
Col Charlestn,1-0-0,100.0%,15.0,+10.0
CS Bakersfld,1-0-0,100.0%,5.0,+2.5
N Florida,3-0-0,100.0%,7.7,+14.8
Buffalo,1-0-0,100.0%,0.0,+14.5
Rice,1-0-0,100.0%,-8.0,+2.0
Siena,2-0-0,100.0%,5.0,+11.5
S Alabama,1-0-0,100.0%,-10.0,+7.5
McNeese St,1-0-0,100.0%,-8.0,+9.5
NC-Grnsboro,1-0-0,100.0%,-13.0,+1.0
Tulane,2-0-0,100.0%,24.5,+8.3
Delaware,1-0-0,100.0%,6.0,+12.5
Wagner,1-0-0,100.0%,-21.0,+5.0
Furman,2-0-0,100.0%,5.5,+2.8
Hofstra,2-0-0,100.0%,7.5,+7.8
Oregon St,1-0-0,100.0%,32.0,+23.0
Gard-Webb,1-0-0,100.0%,-19.0,+1.0
Arizona,1-0-0,100.0%,58.0,+25.0
Winthrop,2-0-0,100.0%,4.5,+3.5
Northeastrn,1-0-0,100.0%,-3.0,+4.5
TN State,1-0-0,100.0%,-8.0,+15.5
Denver,1-0-0,100.0%,-9.0,+12.5
Connecticut,2-0-0,100.0%,40.0,+3.0
Ohio St,1-0-0,100.0%,34.0,+15.0
Texas A&M,1-0-0,100.0%,26.0,+1.0
VCU,2-0-0,100.0%,23.0,+10.0
Indiana,1-0-0,100.0%,35.0,+8.0
Cleveland St,1-0-0,100.0%,-13.0,+10.0
N Carolina,1-0-0,100.0%,-3.0,+5.0
Austin Peay,2-0-0,100.0%,4.0,+14.0
SC Upstate,1-0-0,100.0%,-19.0,+5.0
Campbell,1-0-0,100.0%,-9.0,+7.0
N Illinois,1-0-0,100.0%,13.0,+15.5
Maine,1-0-0,100.0%,2.0,+5.5
Oral Roberts,1-0-0,100.0%,-9.0,+1.5
Jacksonville,1-0-0,100.0%,-21.0,+3.5
Utah,2-0-0,100.0%,33.0,+6.5
Davidson,1-0-0,100.0%,6.0,+0.5
Tennessee,2-0-0,100.0%,28.5,+16.5
Cal Poly,1-0-0,100.0%,4.0,+8.5
Wash State,2-0-0,100.0%,20.0,+11.5
Radford,1-0-0,100.0%,12.0,+9.0
Lg Beach St,1-0-0,100.0%,-1.0,+8.5
Utah St,1-0-0,100.0%,46.5,+15.0
Nevada,2-0-0,100.0%,20.0,+8.3
IPFW,1-0-0,100.0%,-7.0,+4.5
Baylor,1-0-0,100.0%,37.0,+21.0
IL-Chicago,2-0-0,100.0%,1.5,+12.0
S Illinois,1-0-0,100.0%,-7.0,+5.0
Texas,1-0-0,100.0%,47.0,+16.5
Drexel,2-0-0,100.0%,4.5,+11.8
Stanford,2-0-0,100.0%,26.5,+9.3
San Francisco,2-0-0,100.0%,20.5,+13.8
Arizona St,2-0-0,100.0%,-0.5,+13.0
UC Riverside,1-0-0,100.0%,28.0,+7.5
Rider,2-0-0,100.0%,11.0,+9.3
SE Louisiana,1-0-0,100.0%,-10.0,+11.5
Portland St,1-0-0,100.0%,9.0,+7.0
Middle Tenn,2-0-0,100.0%,20.0,+16.5
Bucknell,2-0-0,100.0%,-11.0,+1.8
St Bonavent,2-0-0,100.0%,9.0,+3.8
Fordham,1-0-0,100.0%,15.0,+1.0
Kennesaw St,1-0-0,100.0%,-4.0,+6.5
North Texas,1-0-0,100.0%,22.5,+5.5
Auburn,1-0-1,100.0%,14.0,+5.3
Ball St,1-0-0,100.0%,-8.0,+8.0
Toledo,1-0-0,100.0%,9.0,+2.0
NC A&T,1-0-0,100.0%,-16.0,+10.5
Howard,1-0-0,100.0%,4.0,+1.5
Illinois St,1-0-0,100.0%,10.0,+12.5
Citadel,1-0-0,100.0%,23.5,+19.0
Texas St,1-0-0,100.0%,17.5,+10.0
Albany,1-0-0,100.0%,14.0,+18.0
Hsn Christian,1-0-0,100.0%,-31.0,+2.5
Fresno St,1-0-0,100.0%,-5.0,+7.5
DePaul,2-0-0,100.0%,32.0,+19.0
VMI,1-0-0,100.0%,25.5,+15.5
New Mexico,2-0-0,100.0%,13.5,+7.8
E Kentucky,2-0-0,100.0%,-4.5,+12.5
U Mass,1-0-0,100.0%,-6.0,+3.0
F Dickinson,1-0-0,100.0%,-26.0,+10.0
Rob Morris,1-0-0,100.0%,12.0,+3.5
Drake,1-0-0,100.0%,15.0,+11.0
Kansas City,1-0-0,100.0%,31.0,+2.5
Coastal Car,1-0-0,100.0%,-4.0,+8.5
S Carolina,1-0-0,100.0%,26.0,+19.0
E Michigan,1-0-0,100.0%,3.0,+6.5
Memphis,1-0-0,100.0%,6.0,+7.5
Morehead St,1-0-0,100.0%,-27.0,+1.0
NC-Wilmgton,1-0-0,100.0%,8.0,+2.5
La Salle,2-0-0,100.0%,18.5,+13.8
Loyola-MD,1-0-0,100.0%,18.0,+15.5
Nicholls,1-0-0,100.0%,2.0,+8.5
North Dakota,1-0-0,100.0%,6.0,+11.5
Binghamton,1-0-0,100.0%,-24.0,+4.0
E Washingtn,1-0-0,100.0%,-7.0,+11.5
Hawaii,2-0-0,100.0%,10.5,+6.5
St Fran (PA),1-0-0,100.0%,-30.0,+1.0
Liberty,1-0-0,100.0%,19.0,+3.0
N Colorado,2-0-0,100.0%,3.5,+11.8
UC Irvine,2-0-0,100.0%,17.5,+18.8
Longwood,2-0-0,100.0%,16.0,+9.5
SIU Edward,1-0-0,100.0%,-19.0,+8.0
LA Tech,2-0-0,100.0%,12.5,+12.5
NW State,1-0-0,100.0%,-21.0,+13.0
Arkansas St,1-0-0,100.0%,-9.0,+16.5
Detroit,1-0-0,100.0%,-22.0,+2.0
St. Thomas,2-0-0,100.0%,2.5,+7.0
Maryland ES,1-0-0,100.0%,-18.0,+0.5
LIU,1-0-0,100.0%,9.0,+20.5
Mercyhurst,1-0-0,100.0%,18.0,+12.0
Grambling St,1-0-0,100.0%,-2.0,+22.0
N Alabama,2-0-0,100.0%,27.0,+11.3
