Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,1-0-0,100.0%,5.0,+12.5
W Georgia,2-1-0,66.7%,-15.0,+1.2
Le Moyne,9-5-1,64.3%,6.5,+6.5
NC Central,47-28-3,62.7%,6.7,+2.2
SE Louisiana,61-37-2,62.2%,-2.2,+0.5
Miss State,80-50-3,61.5%,1.8,+1.6
Kansas,39-25-2,60.9%,10.0,+1.9
Michigan St,59-38-1,60.8%,7.9,+1.5
Wofford,63-41-0,60.6%,6.1,+2.7
Stony Brook,54-36-3,60.0%,2.4,+1.6
St Marys,42-28-1,60.0%,8.8,+1.5
Colgate,35-24-1,59.3%,3.6,+1.4
Sam Hous St,40-28-1,58.8%,6.0,+1.3
W Kentucky,68-48-1,58.6%,3.9,+1.1
BYU,55-39-3,58.5%,8.4,+2.3
E Washingtn,62-44-1,58.5%,3.2,+3.4
Cincinnati,54-39-1,58.1%,7.5,+1.3
Baylor,47-34-3,58.0%,6.5,+1.2
Utah Valley,51-37-1,58.0%,4.6,+2.7
S Alabama,78-57-2,57.8%,1.0,+1.7
Boise St,56-41-2,57.7%,7.7,+1.9
Florida A&M,71-52-0,57.7%,-9.2,+1.6
Creighton,64-47-0,57.7%,5.8,+1.9
Syracuse,72-53-2,57.6%,4.1,+2.4
Cornell,66-49-1,57.4%,-1.4,+1.3
Dayton,48-36-4,57.1%,7.5,+1.6
UC Davis,64-48-2,57.1%,2.8,+1.2
Valparaiso,77-58-2,57.0%,0.7,+0.6
UAB,54-41-2,56.8%,6.4,+1.3
Presbyterian,64-49-4,56.6%,-3.1,+0.7
N Carolina,52-40-5,56.5%,8.6,+1.5
GA Tech,86-67-0,56.2%,-0.9,+0.5
NC-Asheville,50-39-1,56.2%,1.5,+0.5
S Dakota St,46-36-0,56.1%,6.2,+2.0
TX-Arlington,69-54-4,56.1%,1.4,+1.2
Campbell,51-40-1,56.0%,3.2,+1.5
Maine,67-53-2,55.8%,-6.6,+0.8
TX A&M-CC,49-39-0,55.7%,1.4,+1.2
Buffalo,59-47-2,55.7%,1.3,+0.2
Norfolk St,40-32-0,55.6%,3.4,+2.1
Montana,56-45-3,55.5%,5.5,+2.1
Arkansas St,77-62-4,55.4%,0.1,+0.2
Virginia,36-29-3,55.4%,7.5,-1.1
St. Thomas,21-17-2,55.3%,5.5,+2.3
Queens,16-13-3,55.2%,-0.9,-0.1
Alabama,64-52-3,55.2%,5.2,+1.9
E Tenn St,54-44-3,55.1%,5.8,+0.4
Hawaii,55-45-1,55.0%,5.0,+0.8
Duke,39-32-2,54.9%,12.1,+1.5
Central Ark,67-55-3,54.9%,-6.2,-0.4
Stetson,56-46-5,54.9%,-2.7,+0.9
Furman,51-42-2,54.8%,6.7,+1.1
Akron,51-42-0,54.8%,6.1,+0.1
Maryland ES,57-47-2,54.8%,-7.6,0.0
St Peters,74-61-2,54.8%,0.5,+1.0
Maryland BC,46-38-2,54.8%,-0.4,+1.8
Oregon,52-43-1,54.7%,6.6,+1.9
Loyola Mymt,81-67-5,54.7%,-1.9,-0.2
USC,64-53-0,54.7%,2.6,+0.6
St Bonavent,53-44-6,54.6%,3.7,+1.1
Penn St,77-64-1,54.6%,0.9,+1.4
Gonzaga,18-15-1,54.6%,20.1,+1.0
N Kentucky,54-45-0,54.6%,4.8,+1.6
Mass Lowell,48-40-1,54.6%,1.5,+1.5
Lehigh,49-41-1,54.4%,-0.9,-0.5
NW State,56-47-2,54.4%,-6.2,+0.4
San Diego St,38-32-5,54.3%,11.5,+2.2
S Car State,66-56-3,54.1%,-6.9,+0.6
TX Southern,54-46-4,54.0%,-2.6,+1.8
N Florida,54-46-0,54.0%,0.2,+1.6
Hampton,61-52-2,54.0%,-2.9,+0.4
Purdue,41-35-4,54.0%,8.6,+1.2
Wichita St,48-41-3,53.9%,4.8,+0.3
TX A&M-Com,21-18-0,53.9%,-2.5,+0.1
Tennessee,57-49-1,53.8%,5.3,+0.7
Auburn,57-49-4,53.8%,2.3,+1.2
Houston,36-31-0,53.7%,10.2,+2.7
TX Christian,72-62-1,53.7%,-0.1,+1.0
Austin Peay,74-64-3,53.6%,-0.8,-0.3
Morehead St,61-53-6,53.5%,2.7,+0.1
Miss Val St,92-80-1,53.5%,-16.5,-0.1
Rob Morris,63-55-2,53.4%,-1.5,-0.1
Siena,72-63-3,53.3%,-2.4,+0.4
Ohio,64-56-4,53.3%,3.5,+0.7
Villanova,40-35-1,53.3%,7.5,-0.9
Delaware,73-64-3,53.3%,-2.4,+0.3
NC A&T,57-50-2,53.3%,-7.0,-0.1
Temple,66-58-5,53.2%,0.9,+0.1
U Penn,58-51-2,53.2%,0.4,+0.5
Liberty,34-30-0,53.1%,4.0,-0.1
WI-Grn Bay,80-71-5,53.0%,-1.9,+0.7
UCSD,27-24-1,52.9%,0.5,+0.6
Nevada,54-48-1,52.9%,2.7,+0.4
Memphis,55-49-0,52.9%,5.7,+0.5
Lipscomb,47-42-1,52.8%,2.5,-0.5
Indiana,66-59-1,52.8%,3.1,+0.2
Wm & Mary,68-61-5,52.7%,0.3,0.0
Charlotte,79-71-5,52.7%,-1.9,+0.3
UNLV,70-63-3,52.6%,2.4,+0.5
Elon,81-73-3,52.6%,-2.2,+0.5
UTSA,81-73-2,52.6%,-2.3,+1.2
Fordham,82-74-5,52.6%,-3.3,+0.5
N Hampshire,53-48-1,52.5%,2.6,+0.8
Texas,64-58-2,52.5%,4.2,+0.4
Maryland,55-50-2,52.4%,3.3,+0.4
Army,55-50-3,52.4%,0.7,-0.3
Yale,33-30-1,52.4%,8.4,+1.3
Cleveland St,78-71-3,52.4%,-1.2,+0.7
N Arizona,94-86-2,52.2%,-5.3,-0.6
Hofstra,48-44-2,52.2%,5.6,+0.6
Hsn Christian,61-56-3,52.1%,-3.6,-0.4
Mississippi,73-67-2,52.1%,0.1,-0.5
North Texas,62-57-2,52.1%,0.1,-0.2
Cal Baptist,38-35-2,52.1%,3.4,+0.7
Sac State,77-71-5,52.0%,-1.2,-0.5
High Point,52-48-1,52.0%,1.6,-0.4
S Utah,78-72-2,52.0%,-1.0,+0.5
Notre Dame,66-61-2,52.0%,1.4,+0.2
Fla Atlantic,66-61-4,52.0%,-0.3,+0.3
App State,72-67-4,51.8%,0.9,+1.0
Lg Beach St,73-68-2,51.8%,-1.6,-0.2
Richmond,64-60-3,51.6%,2.8,+1.2
W Virginia,64-60-1,51.6%,2.3,-0.1
Utah Tech,32-30-2,51.6%,-3.7,+0.5
UCF,65-61-1,51.6%,-0.2,+0.3
S Carolina,65-61-0,51.6%,1.2,+1.2
Manhattan,83-78-5,51.6%,-2.8,-0.3
Vanderbilt,84-79-5,51.5%,-1.6,+0.2
UC Riverside,69-65-4,51.5%,0.9,+0.5
Nicholls,35-33-0,51.5%,0.6,+0.9
Binghamton,54-51-3,51.4%,-3.2,+1.1
Albany,54-51-1,51.4%,1.3,+0.6
Louisiana,55-52-1,51.4%,5.1,+0.5
U Mass,75-71-4,51.4%,0.2,-0.1
Brown,58-55-6,51.3%,-0.6,-0.1
Kentucky,39-37-1,51.3%,9.1,+0.8
Michigan,60-57-0,51.3%,4.7,+0.5
TN Tech,80-76-5,51.3%,-2.4,-0.6
Florida,63-60-2,51.2%,5.7,+0.2
Niagara,84-80-1,51.2%,-3.1,+0.2
Dartmouth,64-61-8,51.2%,-2.3,+0.3
Marist,89-85-5,51.2%,-5.5,0.0
Northwestern,70-67-7,51.1%,-0.3,+0.6
Tarleton St,24-23-0,51.1%,2.9,+0.3
Wake Forest,75-72-5,51.0%,-1.4,+0.6
Sacred Hrt,51-49-0,51.0%,-0.2,+1.1
St Josephs,78-75-6,51.0%,-2.1,0.0
Davidson,55-53-2,50.9%,4.8,+0.9
Merrimack,29-28-0,50.9%,0.2,-0.9
Bucknell,58-56-0,50.9%,-1.2,+0.1
Ohio St,59-57-2,50.9%,3.9,-0.2
Texas A&M,59-57-2,50.9%,1.1,-1.2
S Illinois,63-61-5,50.8%,0.8,-0.4
Iowa St,64-62-2,50.8%,0.3,+0.1
Alabama St,64-62-2,50.8%,-7.6,-1.3
Geo Mason,70-68-3,50.7%,0.0,+0.4
Bradley,70-68-8,50.7%,0.6,+1.8
Oklahoma St,73-71-3,50.7%,0.1,+0.8
Belmont,37-36-1,50.7%,6.7,+0.8
Oregon St,83-81-3,50.6%,-4.5,-0.3
Radford,45-44-2,50.6%,3.2,+0.4
