Team,Over Record,Over %,Under %,Total +/-
W Georgia,2-0-0,100.0%,0.0%,+7.8
S Indiana,15-7-0,68.2%,31.8%,+6.0
Lipscomb,54-31-1,63.5%,36.5%,+5.9
Neb Omaha,79-47-0,62.7%,37.3%,+3.5
Hsn Christian,38-23-0,62.3%,37.7%,+5.2
Queens,13-8-1,61.9%,38.1%,+3.5
NW State,41-27-1,60.3%,39.7%,+4.2
Idaho St,132-88-1,60.0%,40.0%,+4.1
Stetson,40-28-1,58.8%,41.2%,+2.2
Oakland,98-69-4,58.7%,41.3%,+3.2
CS Bakersfld,61-44-0,58.1%,41.9%,+1.5
Austin Peay,115-83-6,58.1%,41.9%,+3.6
N Florida,47-34-0,58.0%,42.0%,+3.8
Central Mich,64-47-1,57.7%,42.3%,+3.0
E Illinois,118-87-3,57.6%,42.4%,+1.7
McNeese St,35-26-1,57.4%,42.6%,+4.9
NC-Asheville,39-29-4,57.4%,42.7%,+3.0
St Josephs,79-59-2,57.3%,42.8%,+3.5
South Dakota,73-55-2,57.0%,43.0%,+4.1
Loyola-MD,65-49-2,57.0%,43.0%,+4.5
Boise St,104-79-0,56.8%,43.2%,+1.5
Bucknell,34-26-1,56.7%,43.3%,+1.8
VMI,48-37-0,56.5%,43.5%,+6.0
Belmont,83-64-2,56.5%,43.5%,+2.8
Longwood,35-27-1,56.5%,43.6%,+0.6
New Orleans,70-54-2,56.5%,43.6%,+2.8
NC-Wilmgton,97-75-2,56.4%,43.6%,+2.7
Prairie View,49-38-0,56.3%,43.7%,+2.4
Lehigh,36-28-1,56.3%,43.8%,+0.7
E Michigan,54-42-0,56.3%,43.8%,+1.1
Boston Col,86-67-2,56.2%,43.8%,+2.0
St Bonavent,83-65-1,56.1%,43.9%,+3.1
Grd Canyon,61-48-0,56.0%,44.0%,+1.4
Sam Hous St,43-34-0,55.8%,44.2%,-0.5
Charl South,29-23-1,55.8%,44.2%,+1.3
Auburn,73-58-2,55.7%,44.3%,+2.4
Denver,117-93-5,55.7%,44.3%,+2.2
San Jose St,98-78-2,55.7%,44.3%,+3.2
Youngs St,99-79-2,55.6%,44.4%,+2.0
Binghamton,35-28-1,55.6%,44.4%,-0.4
Miss Val St,56-45-0,55.5%,44.6%,+2.5
Sacred Hrt,41-33-0,55.4%,44.6%,+1.8
Duke,118-95-0,55.4%,44.6%,+2.5
Buffalo,72-58-1,55.4%,44.6%,+3.3
Wright St,103-83-3,55.4%,44.6%,+1.3
Montana St,130-105-0,55.3%,44.7%,+1.8
UCSD,26-21-2,55.3%,44.7%,+3.2
SE Missouri,110-89-6,55.3%,44.7%,+3.4
Lafayette,27-22-2,55.1%,44.9%,+1.8
Alabama,98-80-2,55.1%,44.9%,+1.9
E Washingtn,136-111-2,55.1%,44.9%,+2.4
Indiana St,66-54-2,55.0%,45.0%,+1.1
IPFW,77-63-7,55.0%,45.0%,+1.9
Oral Roberts,80-66-1,54.8%,45.2%,+3.2
Wake Forest,92-76-3,54.8%,45.2%,+2.2
Hofstra,99-82-3,54.7%,45.3%,+2.5
SIU Edward,65-54-1,54.6%,45.4%,+2.0
Arkansas St,113-94-6,54.6%,45.4%,+3.1
Rice,96-80-0,54.6%,45.5%,+3.9
Campbell,36-30-0,54.6%,45.5%,+2.0
Ball St,61-51-2,54.5%,45.5%,+0.4
Pepperdine,135-113-3,54.4%,45.6%,+2.4
TX-Pan Am,43-36-1,54.4%,45.6%,-0.5
High Point,37-31-1,54.4%,45.6%,+1.7
Holy Cross,37-31-0,54.4%,45.6%,+1.3
Mercer,50-42-3,54.4%,45.7%,+2.2
Toledo,65-55-2,54.2%,45.8%,+2.2
Troy,113-96-6,54.1%,45.9%,+2.2
S Utah,96-82-3,53.9%,46.1%,+1.8
Temple,97-83-3,53.9%,46.1%,+1.9
North Dakota,77-66-1,53.9%,46.2%,+1.3
S Dakota St,91-78-1,53.9%,46.2%,+0.8
Morgan St,50-43-2,53.8%,46.2%,+1.0
Rob Morris,50-43-1,53.8%,46.2%,-0.3
Towson,87-75-2,53.7%,46.3%,+3.2
Marquette,102-88-1,53.7%,46.3%,+0.8
W Kentucky,126-109-5,53.6%,46.4%,+3.0
Kent St,67-58-7,53.6%,46.4%,+1.8
Villanova,105-91-6,53.6%,46.4%,+0.4
Radford,38-33-1,53.5%,46.5%,+2.5
Montana,132-115-4,53.4%,46.6%,+1.7
Gonzaga,163-142-1,53.4%,46.6%,+1.3
AR Lit Rock,120-105-2,53.3%,46.7%,+1.4
CS Fullerton,121-106-4,53.3%,46.7%,+2.6
Washington,138-121-1,53.3%,46.7%,+1.7
Tulsa,91-80-3,53.2%,46.8%,+2.0
Nevada,108-95-2,53.2%,46.8%,+0.9
BYU,129-114-4,53.1%,46.9%,+2.4
TN Martin,112-99-4,53.1%,46.9%,+3.6
Tarleton St,26-23-1,53.1%,46.9%,+3.0
W Virginia,105-93-3,53.0%,47.0%,+1.4
Baylor,81-72-3,52.9%,47.1%,+1.5
USC,140-125-1,52.8%,47.2%,+1.8
Georgia,84-75-0,52.8%,47.2%,+0.9
Missouri St,67-60-0,52.8%,47.2%,+2.4
Santa Clara,126-113-4,52.7%,47.3%,+0.3
Texas Tech,88-79-5,52.7%,47.3%,+1.2
Vanderbilt,79-71-3,52.7%,47.3%,+1.3
