Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,1-0-0,100.0%,-17.0,+2.0
Le Moyne,9-4-0,69.2%,2.5,+4.0
Presbyterian,29-15-2,65.9%,-2.1,+1.3
Sam Hous St,43-26-2,62.3%,7.7,+2.6
Yale,66-40-4,62.3%,9.0,+2.7
St Fran (PA),48-30-1,61.5%,0.7,+2.3
S Methodist,48-31-2,60.8%,10.6,+1.9
NW State,36-24-2,60.0%,-1.6,+0.4
St Peters,66-44-0,60.0%,-0.9,+0.8
Chattanooga,48-32-0,60.0%,6.6,+2.5
LA Tech,75-52-1,59.1%,8.3,+1.2
Purdue,62-43-3,59.1%,12.6,+1.2
Akron,33-23-1,58.9%,10.8,+3.4
Connecticut,53-37-1,58.9%,10.2,+1.7
Nevada,48-34-2,58.5%,6.8,+1.6
NC Central,43-31-0,58.1%,5.1,+2.5
Abl Christian,36-26-0,58.1%,4.4,+0.7
UCF,51-37-2,58.0%,3.6,+0.5
Alabama,44-32-2,57.9%,7.8,+2.2
Hofstra,63-46-1,57.8%,5.3,+1.0
North Texas,72-53-2,57.6%,5.2,+1.5
Grd Canyon,57-42-2,57.6%,6.3,+1.1
New Mexico,42-31-3,57.5%,8.0,+0.9
Buffalo,42-31-2,57.5%,5.2,+1.1
S Alabama,65-48-3,57.5%,1.7,+1.4
Hampton,35-26-1,57.4%,0.6,+0.9
Wofford,47-35-1,57.3%,7.3,+1.8
Vermont,36-27-2,57.1%,7.4,+1.1
GA Tech,40-30-1,57.1%,4.7,+2.0
Houston,52-39-3,57.1%,15.1,+2.4
Navy,28-21-0,57.1%,0.9,+1.2
BYU,68-51-6,57.1%,10.1,+1.8
Furman,40-30-0,57.1%,8.8,+0.5
Citadel,44-33-2,57.1%,-4.3,+0.2
Alab A&M,49-37-0,57.0%,-7.0,+0.9
Delaware,63-48-2,56.8%,-0.7,+1.0
Gard-Webb,35-27-1,56.5%,2.0,+1.6
USC,66-51-0,56.4%,5.6,+0.8
Iowa St,53-41-1,56.4%,11.5,+1.1
N Florida,40-31-0,56.3%,0.0,+1.1
Northwestern,49-38-0,56.3%,7.4,+2.5
Idaho St,67-52-2,56.3%,-1.7,+1.4
SE Louisiana,36-28-1,56.3%,-1.6,-1.2
Villanova,54-42-1,56.3%,12.0,+0.4
Duke,50-39-1,56.2%,15.0,+1.9
TX A&M-CC,37-29-0,56.1%,3.2,+0.2
Seton Hall,51-40-3,56.0%,5.3,+1.0
Clemson,51-40-0,56.0%,7.1,+0.9
Auburn,38-30-1,55.9%,11.5,+2.6
S Car State,43-34-1,55.8%,-3.3,+0.7
St Marys,77-61-3,55.8%,11.6,+1.2
Canisius,53-42-5,55.8%,-0.8,+1.0
Indiana,54-43-1,55.7%,6.1,+1.1
Minnesota,50-40-1,55.6%,2.9,+1.6
N Alabama,30-24-1,55.6%,-1.0,+0.7
Morehead St,65-52-3,55.6%,2.5,+1.5
Utah Valley,56-45-0,55.5%,2.3,+1.6
Oregon St,63-51-1,55.3%,-0.5,+0.6
Gonzaga,81-66-5,55.1%,20.0,+2.6
UAB,66-54-4,55.0%,6.0,+1.2
Oakland,61-50-1,55.0%,1.2,+0.8
Wake Forest,39-32-2,54.9%,3.6,+1.3
Fla Gulf Cst,39-32-0,54.9%,2.9,+1.9
Baylor,51-42-1,54.8%,11.7,+0.3
E Washingtn,74-61-1,54.8%,4.2,+1.4
Temple,41-34-5,54.7%,1.2,-0.2
UL Monroe,65-54-0,54.6%,0.7,+1.4
Stony Brook,36-30-1,54.6%,1.1,+0.5
Kansas City,49-41-3,54.4%,1.2,-0.1
S Dakota St,62-52-1,54.4%,6.4,+0.1
Marquette,44-37-0,54.3%,8.6,+0.6
Maryland ES,38-32-3,54.3%,-4.6,-0.6
IL-Chicago,52-44-0,54.2%,0.0,+0.7
Xavier,46-39-5,54.1%,7.3,+1.1
Longwood,33-28-1,54.1%,-1.1,+1.0
Vanderbilt,35-30-2,53.9%,6.3,+0.4
Texas St,58-50-5,53.7%,3.9,+0.1
UTSA,58-50-2,53.7%,-0.4,-0.1
Norfolk St,44-38-2,53.7%,5.3,+1.7
Kentucky,45-39-3,53.6%,12.0,+0.4
Fla Atlantic,60-52-2,53.6%,4.8,+1.1
Monmouth,53-46-2,53.5%,0.4,+0.8
Kansas,62-54-1,53.5%,11.4,+0.9
McNeese St,31-27-1,53.5%,0.4,+1.4
Tennessee,39-34-2,53.4%,9.9,+0.6
UC Irvine,63-55-5,53.4%,6.5,-0.2
TX Southern,48-42-4,53.3%,2.2,+1.9
Penn St,40-35-2,53.3%,5.1,+1.2
Lafayette,24-21-0,53.3%,-0.9,+0.7
Oregon,65-57-2,53.3%,7.9,+0.5
S Carolina,33-29-2,53.2%,6.5,-0.6
Bucknell,26-23-0,53.1%,2.5,+1.4
Syracuse,44-39-0,53.0%,6.7,+0.2
TX-Arlington,63-56-2,52.9%,4.9,+1.3
Binghamton,27-24-1,52.9%,-1.3,+0.6
Central Mich,27-24-2,52.9%,2.5,+0.2
Lehigh,28-25-1,52.8%,-0.9,-1.0
TN Tech,56-50-2,52.8%,-1.9,+0.2
Lamar,28-25-1,52.8%,3.0,+0.8
Arizona,66-59-2,52.8%,11.8,+0.5
Montana St,67-60-3,52.8%,1.4,+0.9
Florida A&M,48-43-0,52.8%,-7.5,+0.7
SIU Edward,49-44-1,52.7%,-0.5,-0.4
Wisconsin,49-44-3,52.7%,7.8,+0.1
Rob Morris,40-36-0,52.6%,-1.9,-1.2
Maryland BC,31-28-0,52.5%,0.9,+2.5
Loyola-MD,21-19-2,52.5%,-1.5,+0.3
Kent St,32-29-3,52.5%,5.4,+0.3
WI-Milwkee,56-51-1,52.3%,-0.8,+0.4
Oral Roberts,57-52-0,52.3%,2.7,+0.4
WI-Grn Bay,58-53-2,52.3%,-0.7,-0.3
Georgia,35-32-2,52.2%,4.6,+0.2
Evansville,35-32-1,52.2%,-2.3,-0.4
Sacred Hrt,37-34-1,52.1%,0.6,+0.4
UCSD,25-23-1,52.1%,-0.2,-0.3
E Michigan,25-23-0,52.1%,3.3,+0.5
Grambling St,38-35-1,52.1%,-2.3,+0.6
U Mass,38-35-2,52.1%,1.7,0.0
W Kentucky,65-60-2,52.0%,4.1,+0.1
Sac State,65-60-4,52.0%,-0.2,+0.8
Jackson St,41-38-2,51.9%,-1.4,-0.2
Coastal Car,55-51-3,51.9%,3.3,0.0
Stetson,31-29-2,51.7%,-1.1,+1.6
High Point,31-29-1,51.7%,4.5,+0.6
Hawaii,63-59-1,51.6%,4.7,+0.4
Utah,64-60-3,51.6%,5.3,+0.1
Rider,49-46-3,51.6%,0.8,+0.6
La Salle,33-31-3,51.6%,-0.7,+0.5
South Dakota,50-47-2,51.6%,1.4,+0.4
E Kentucky,51-48-3,51.5%,2.6,+1.0
Michigan St,53-50-0,51.5%,8.9,0.0
TN State,53-50-2,51.5%,-0.5,+0.4
Belmont,54-51-1,51.4%,8.0,+0.5
Cornell,56-53-1,51.4%,-0.5,+0.7
Lg Beach St,57-54-1,51.4%,2.0,+0.3
W Carolina,38-36-1,51.4%,-1.2,-0.1
AR Lit Rock,58-55-0,51.3%,0.6,+1.0
N Carolina,59-56-2,51.3%,10.3,+0.7
Samford,41-39-2,51.3%,0.9,-1.0
Marshall,62-59-2,51.2%,1.8,+0.2
GA Southern,63-60-3,51.2%,1.8,-0.1
San Diego St,45-43-2,51.1%,10.2,+0.4
Dayton,48-46-2,51.1%,8.2,+1.2
Merrimack,25-24-0,51.0%,0.3,-0.2
Bradley,26-25-1,51.0%,4.2,+0.2
Princeton,53-51-1,51.0%,7.3,+1.0
LIU,27-26-1,50.9%,-3.8,-0.1
S Illinois,28-27-4,50.9%,2.2,+0.4
Missouri St,29-28-3,50.9%,6.1,+1.3
Santa Clara,61-59-4,50.8%,0.2,0.0
Indiana St,32-31-0,50.8%,0.4,-1.8
New Orleans,33-32-0,50.8%,-0.2,-1.0
NC-Asheville,33-32-1,50.8%,1.1,-0.5
Saint Louis,34-33-1,50.8%,3.2,-0.4
LSU,38-37-2,50.7%,9.8,+0.5
Rhode Island,39-38-0,50.7%,5.3,+0.7
Beth-Cook,41-40-1,50.6%,-0.9,+0.8
Creighton,42-41-0,50.6%,8.2,+0.1
CS Bakersfld,48-47-2,50.5%,1.8,+1.6
Wright St,55-54-1,50.5%,5.0,-0.2
Brown,55-54-2,50.5%,-1.0,+0.1
N Arizona,61-60-2,50.4%,-5.4,-1.5
Jksnville St,53-53-2,50.0%,4.2,-0.3
Colgate,30-30-3,50.0%,2.5,+0.4
W Georgia,1-1-0,50.0%,-19.0,-2.8
Ark Pine Bl,41-41-1,50.0%,-7.8,-0.1
Alabama St,40-40-2,50.0%,-5.1,-0.7
Providence,42-42-2,50.0%,4.1,+0.9
Boston Col,34-34-0,50.0%,1.6,+0.2
Hsn Christian,30-30-0,50.0%,-4.0,-0.9
St Josephs,35-35-0,50.0%,0.4,-0.1
Queens,11-11-1,50.0%,-1.3,+0.1
N Colorado,58-58-3,50.0%,2.6,+0.2
Murray St,54-54-2,50.0%,11.2,+0.7
San Francisco,62-63-2,49.6%,5.1,+0.9
UC Davis,62-63-1,49.6%,0.9,+0.5
Middle Tenn,59-60-3,49.6%,2.2,-0.2
E Illinois,54-55-1,49.5%,-3.5,-0.2
Rice,54-55-3,49.5%,-2.2,-0.7
Boise St,41-42-1,49.4%,7.4,0.0
Davidson,39-40-0,49.4%,4.9,-1.3
UCSB,64-66-2,49.2%,3.8,-0.4
Radford,32-33-1,49.2%,2.3,-0.8
S Utah,64-66-1,49.2%,-0.6,-0.7
Air Force,31-32-1,49.2%,-4.0,-2.2
Campbell,31-32-0,49.2%,2.0,-0.2
Geo Mason,30-31-3,49.2%,1.4,+0.2
TN Martin,58-60-0,49.2%,-1.1,-0.6
App State,58-60-2,49.2%,1.1,-0.8
Iona,57-59-1,49.1%,3.3,+0.8
Louisiana,55-57-1,49.1%,5.3,-0.3
Arizona St,54-56-6,49.1%,0.3,-0.7
Towson,54-56-3,49.1%,1.8,+0.5
Bowling Grn,26-27-2,49.1%,6.9,+0.8
Wm & Mary,47-49-1,49.0%,2.2,-0.5
Stanford,47-49-3,49.0%,3.0,-1.0
TX Christian,40-42-1,48.8%,9.4,+0.1
E Tenn St,40-42-3,48.8%,6.8,+0.1
Arkansas,39-41-3,48.8%,8.6,+0.4
Utah St,38-40-0,48.7%,9.4,+1.3
Prairie View,38-40-3,48.7%,-2.0,+0.5
Charlotte,56-59-1,48.7%,-0.6,-0.6
Cleveland St,55-58-0,48.7%,-2.7,0.0
Drake,36-38-1,48.7%,5.7,+1.3
Missouri,35-37-1,48.6%,4.3,-0.7
Florida Intl,52-55-3,48.6%,-1.7,-0.1
Washington,51-54-3,48.6%,1.4,-0.5
Illinois St,33-35-3,48.5%,1.0,+0.6
N Hampshire,30-32-0,48.4%,3.0,-0.5
Miami,44-47-1,48.4%,7.6,-0.8
Illinois,44-47-3,48.4%,8.0,+0.4
Iowa,43-46-3,48.3%,7.3,+0.6
Notre Dame,42-45-0,48.3%,5.7,+0.5
Maryland,42-45-3,48.3%,8.2,+0.4
Austin Peay,50-54-2,48.1%,0.4,-1.3
Liberty,36-39-2,48.0%,10.4,-0.5
James Mad,47-51-4,48.0%,3.2,-0.6
E Carolina,35-38-1,48.0%,-1.5,-1.1
Siena,46-50-2,47.9%,-1.2,-0.8
Drexel,54-59-2,47.8%,-1.9,-0.7
Northeastrn,54-59-6,47.8%,0.0,-0.5
N Mex State,43-47-0,47.8%,9.2,-1.1
Seattle,53-58-0,47.8%,1.4,+0.1
NC State,42-46-2,47.7%,6.3,+1.1
Miss State,31-34-1,47.7%,8.0,-0.1
